Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
16:04:30..001,4.67502696,-0.003716,-0.00030054,0.00020819,0.00621171,-0.00005921,0.00148679,0.0045062,-0.0002448,-0.00229796,16:04:30..052,,,,
16:04:30..064,4.62848355,-0.003736,-0.00030067,0.00020831,0.00621174,-0.00005974,0.00148663,0.00450565,-0.00024575,-0.00229829,16:04:30..095,,,,
16:04:30..131,4.51988226,-0.003736,-0.00030041,0.00020848,0.00621197,-0.00005902,0.00148696,0.00450592,-0.00024524,-0.00229761,16:04:30..095,,,,
16:04:30..166,4.63882653,-0.003813,-0.00030081,0.00020866,0.00621137,-0.00005949,0.0014877,0.00450599,-0.00024519,-0.00229764,16:04:30..183,,,,
16:04:30..228,4.58711163,-0.003826,-0.00030079,0.0002082,0.00621169,-0.00005956,0.00148675,0.00450659,-0.00024524,-0.00229775,16:04:30..266,,,,
16:04:30..277,4.59745461,-0.003826,-0.00030056,0.0002083,0.00621203,-0.00005914,0.00148713,0.00450653,-0.00024559,-0.00229792,16:04:30..266,,,,
16:04:30..310,4.58194014,-0.003812,-0.00030109,0.00020788,0.0062117,-0.00005991,0.00148744,0.0045062,-0.0002449,-0.00229815,16:04:30..309,,,,
16:04:30..343,4.57676865,-0.00381,-0.00030096,0.00020851,0.00621175,-0.00005949,0.00148686,0.00450638,-0.00024568,-0.0022985,16:04:30..309,,,,
16:04:30..377,4.5509112,-0.003851,-0.00030053,0.00020853,0.00621215,-0.00005896,0.00148703,0.0045055,-0.00024531,-0.00229737,16:04:30..367,,,,
16:04:30..420,4.62848355,-0.003849,-0.00030089,0.0002079,0.00621216,-0.00005978,0.0014874,0.00450555,-0.00024579,-0.00229762,16:04:30..455,,,,
16:04:30..494,4.63365504,-0.003849,-0.00030081,0.00020826,0.00621157,-0.00005905,0.00148716,0.00450644,-0.00024524,-0.00229795,16:04:30..494,,,,
16:04:30..528,4.61296908,-0.003892,-0.00030054,0.0002082,0.00621208,-0.00005941,0.00148705,0.00450667,-0.00024539,-0.00229789,16:04:30..536,,,,
16:04:30..577,4.59228312,-0.003946,-0.00030075,0.0002079,0.00621144,-0.00005903,0.00148722,0.00450651,-0.00024553,-0.00229776,16:04:30..579,,,,
16:04:30..614,4.58711163,-0.003946,-0.00030101,0.00020784,0.00621153,-0.00006008,0.00148707,0.0045064,-0.0002451,-0.00229767,16:04:30..579,,,,
16:04:30..646,4.60779759,-0.00395,-0.00030059,0.00020805,0.00621321,-0.00005924,0.00148743,0.00450587,-0.00024557,-0.0022975,16:04:30..668,,,,
16:04:30..722,4.63882653,-0.00395,-0.00030075,0.00020783,0.00621392,-0.00006002,0.00148694,0.00450625,-0.00024538,-0.00229775,16:04:30..720,,,,
16:04:30..753,4.53539673,-0.003939,-0.00030091,0.00020836,0.00621326,-0.00005965,0.00148685,0.00450523,-0.00024586,-0.00229825,16:04:30..761,,,,
16:04:30..838,4.61296908,-0.003939,-0.00030081,0.00020815,0.00621273,-0.00005967,0.00148644,0.00450535,-0.00024559,-0.00229857,16:04:30..836,,,,
16:04:30..869,4.57159716,-0.003861,-0.00030117,0.00020799,0.00621218,-0.00005956,0.00148687,0.0045061,-0.00024601,-0.00229777,16:04:30..880,,,,
16:04:30..942,4.57676865,-0.003861,-0.00030068,0.00020832,0.00621229,-0.00005934,0.00148702,0.00450573,-0.00024506,-0.00229766,16:04:30..975,,,,
16:04:30..994,4.59228312,-0.003861,-0.00030078,0.00020822,0.00621225,-0.00005944,0.00148684,0.00450532,-0.00024557,-0.00229838,16:04:30..975,,,,
16:04:31..027,4.57159716,-0.003865,-0.00030141,0.00020814,0.00621415,-0.00005982,0.00148688,0.00450588,-0.00024595,-0.00229789,16:04:31..062,,,,
16:04:31..095,4.62331206,-0.003865,-0.000301,0.00020797,0.00621316,-0.00005904,0.00148691,0.00450544,-0.00024576,-0.00229726,16:04:31..062,,,,
16:04:31..127,4.59745461,-0.003934,-0.00030073,0.00020836,0.00621306,-0.00005933,0.00148723,0.00450663,-0.0002451,-0.00229668,16:04:31..148,,,,
16:04:31..237,4.56642567,-0.003934,-0.00030105,0.00020821,0.00621334,-0.00005947,0.00148707,0.00450597,-0.00024545,-0.00229706,16:04:31..236,,,,
16:04:31..268,4.51988226,-0.003885,-0.00030084,0.00020788,0.00621301,-0.00005932,0.00148696,0.00450571,-0.00024557,-0.0022973,16:04:31..278,,,,
16:04:31..339,4.54056822,-0.003885,-0.00030111,0.00020808,0.00621289,-0.00006004,0.00148709,0.00450598,-0.00024559,-0.00229688,16:04:31..337,,,,
16:04:31..370,4.56642567,-0.003859,-0.00030112,0.0002082,0.00621275,-0.00005981,0.00148703,0.00450573,-0.00024528,-0.00229773,16:04:31..381,,,,
16:04:31..409,4.57676865,-0.003859,-0.0003011,0.00020859,0.00621258,-0.0000594,0.00148688,0.00450556,-0.00024539,-0.00229768,16:04:31..381,,,,
16:04:31..441,4.57159716,-0.003875,-0.0003005,0.00020856,0.00621254,-0.00005949,0.00148701,0.00450589,-0.00024564,-0.00229779,16:04:31..472,,,,
16:04:31..491,4.62331206,-0.003875,-0.00030132,0.00020848,0.00621243,-0.00005922,0.00148682,0.00450605,-0.00024584,-0.00229766,16:04:31..472,,,,
16:04:31..523,4.53022524,-0.003891,-0.00030093,0.0002082,0.00621215,-0.00005972,0.00148702,0.00450586,-0.00024581,-0.00229826,16:04:31..575,,,,
16:04:31..613,4.57676865,-0.003891,-0.00030084,0.00020831,0.00621281,-0.00005943,0.00148688,0.00450588,-0.00024552,-0.00229781,16:04:31..575,,,,
16:04:31..645,4.53022524,-0.003975,-0.00030069,0.00020816,0.00621345,-0.00005979,0.00148759,0.00450686,-0.00024542,-0.00229797,16:04:31..663,,,,
16:04:31..735,4.56642567,-0.003975,-0.00030154,0.00020759,0.00621305,-0.00006003,0.00148717,0.00450636,-0.00024558,-0.00229786,16:04:31..733,,,,
16:04:31..766,4.59745461,-0.003992,-0.00030107,0.00020799,0.00621248,-0.00005969,0.00148677,0.00450653,-0.00024633,-0.00229773,16:04:31..767,,,,
16:04:31..878,4.53539673,-0.003992,-0.00030096,0.00020843,0.00621293,-0.00005995,0.00148765,0.00450689,-0.00024511,-0.00229744,16:04:31..876,,,,
16:04:31..910,4.52505375,-0.004011,-0.00030109,0.00020803,0.0062107,-0.00005965,0.00148716,0.0045057,-0.00024535,-0.00229817,16:04:31..919,,,,
