Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
16:36:12..374,4.74742782,-0.001315,-0.00031897,0.00019739,0.00537519,-0.0000774,0.0013341,0.00511646,-0.00098648,-0.00204334,16:36:12..401,,,,
16:36:12..478,4.72674186,-0.001315,-0.00031888,0.00019761,0.00537487,-0.00007729,0.00133379,0.00511556,-0.00098665,-0.00204245,16:36:12..401,,,,
16:36:12..511,4.87671507,-0.001315,-0.00031929,0.00019774,0.00537642,-0.0000773,0.00133321,0.00511587,-0.00098668,-0.00204434,16:36:12..478,,,,
16:36:12..545,4.70088441,-0.001248,-0.00031995,0.00019685,0.00537553,-0.00007743,0.00133241,0.00511603,-0.00098629,-0.00204401,16:36:12..562,,,,
16:36:12..652,4.75259931,-0.001248,-0.00031977,0.00019693,0.00537536,-0.00007742,0.00133213,0.0051173,-0.00098628,-0.00204456,16:36:12..687,,,,
16:36:12..695,4.69054143,-0.001248,-0.00031949,0.00019722,0.00537543,-0.00007742,0.00133281,0.00511676,-0.00098666,-0.00204487,16:36:12..687,,,,
16:36:12..727,4.72674186,-0.001169,-0.00032104,0.00019537,0.00537526,-0.00007691,0.00133213,0.00511815,-0.00098667,-0.00204801,16:36:12..730,,,,
16:36:12..873,4.88705805,-0.001169,-0.00032131,0.00019508,0.00537517,-0.0000771,0.00133168,0.00511889,-0.00098656,-0.0020478,16:36:12..871,,,,
16:36:12..905,4.90257252,-0.001149,-0.00032341,0.00019357,0.00537483,-0.000076,0.00133204,0.00512123,-0.00098636,-0.00205217,16:36:12..871,,,,
16:36:12..999,4.89740103,-0.001149,-0.00032294,0.00019376,0.00537464,-0.00007618,0.00133244,0.00512207,-0.00098591,-0.00205144,16:36:13..047,,,,
16:36:13..088,4.63365504,-0.001141,-0.00032321,0.00019361,0.0053746,-0.00007606,0.00133232,0.00512258,-0.00098637,-0.00205156,16:36:13..047,,,,
16:36:13..123,4.69054143,-0.001143,-0.00032358,0.00019252,0.00537415,-0.00007674,0.00133215,0.00513322,-0.00098498,-0.00204982,16:36:13..133,,,,
16:36:13..203,4.74225633,-0.001143,-0.00032345,0.00019236,0.00537403,-0.00007695,0.0013323,0.00513385,-0.00098471,-0.00205043,16:36:13..248,,,,
16:36:13..280,4.8094857,-0.001143,-0.00032354,0.00019256,0.00537401,-0.00007686,0.00133183,0.00513383,-0.0009847,-0.00204994,16:36:13..248,,,,
16:36:13..313,4.87154358,-0.001145,-0.00032355,0.00019298,0.0053749,-0.00007654,0.00133099,0.00513309,-0.00098448,-0.00205035,16:36:13..336,,,,
16:36:13..375,4.85602911,-0.001158,-0.00032345,0.00019207,0.00537433,-0.00007659,0.00133114,0.00513383,-0.00098496,-0.00205048,16:36:13..380,,,,
16:36:13..428,4.65951249,-0.001158,-0.00032368,0.00019238,0.00537452,-0.00007682,0.00133035,0.005133,-0.00098491,-0.00204997,16:36:13..380,,,,
16:36:13..464,4.73708484,-0.001179,-0.0003225,0.00019345,0.00537408,-0.00007661,0.00133142,0.00512947,-0.00098491,-0.00205081,16:36:13..478,,,,
16:36:13..548,4.90257252,-0.001179,-0.00032209,0.00019307,0.00537385,-0.00007656,0.00133181,0.00512966,-0.00098484,-0.00205039,16:36:13..548,,,,
16:36:13..580,4.85085762,-0.0012,-0.00032307,0.000193,0.00537306,-0.0000758,0.00133165,0.00513853,-0.00098452,-0.00205362,16:36:13..548,,,,
16:36:13..649,4.93360146,-0.0012,-0.00032304,0.00019254,0.00537283,-0.00007593,0.00133156,0.00513772,-0.00098524,-0.00205314,16:36:13..695,,,,
16:36:13..702,4.8612006,-0.0012,-0.00032318,0.00019235,0.00537294,-0.00007539,0.00133179,0.00513561,-0.0009845,-0.00205336,16:36:13..695,,,,
16:36:13..736,4.73708484,-0.001272,-0.00032197,0.0001935,0.00537384,-0.00007585,0.00133211,0.00513123,-0.00098569,-0.00205075,16:36:13..738,,,,
16:36:13..837,4.8612006,-0.001272,-0.00032216,0.00019353,0.00537386,-0.00007538,0.00133243,0.00513204,-0.00098547,-0.00205023,16:36:13..835,,,,
16:36:13..869,4.77328527,-0.001315,-0.00032024,0.00019502,0.00537258,-0.00007639,0.00133227,0.00512425,-0.0009853,-0.00204497,16:36:13..870,,,,
16:36:13..941,4.65951249,-0.001294,-0.00032021,0.00019436,0.00537243,-0.00007633,0.00133257,0.00512406,-0.00098543,-0.00204496,16:36:13..987,,,,
16:36:14..013,4.8094857,-0.001294,-0.00032058,0.00019498,0.00537197,-0.00007624,0.00133188,0.00512379,-0.00098559,-0.00204476,16:36:13..987,,,,
16:36:14..047,4.83534315,-0.001302,-0.00031941,0.00019503,0.005371,-0.00007674,0.00133177,0.00511763,-0.00098491,-0.00203705,16:36:14..071,,,,
16:36:14..167,4.91808699,-0.001302,-0.00031945,0.000195,0.00537126,-0.00007667,0.00133184,0.00511852,-0.00098485,-0.00203748,16:36:14..166,,,,
16:36:14..199,4.58711163,-0.001302,-0.00031806,0.0001951,0.00536979,-0.00007745,0.00133061,0.00511796,-0.00098474,-0.0020299,16:36:14..166,,,,
16:36:14..234,4.79397123,-0.001238,-0.00031766,0.00019595,0.00537024,-0.00007711,0.00133088,0.00512217,-0.00098452,-0.00202812,16:36:14..209,,,,
16:36:14..275,4.78362825,-0.001194,-0.00031722,0.00019578,0.00537017,-0.00007769,0.0013314,0.00512199,-0.00098437,-0.00202803,16:36:14..315,,,,
16:36:14..336,4.72157037,-0.001194,-0.00031754,0.00019598,0.00537065,-0.00007719,0.00133118,0.00512173,-0.00098418,-0.0020279,16:36:14..315,,,,
16:36:14..368,4.83534315,-0.001194,-0.00031992,0.00019624,0.0053705,-0.00007656,0.00133264,0.00512551,-0.00098422,-0.0020398,16:36:14..359,,,,
16:36:14..401,4.84568613,-0.001222,-0.00031978,0.00019611,0.00537097,-0.00007693,0.00133249,0.0051251,-0.00098414,-0.00203962,16:36:14..403,,,,
16:36:14..468,4.88188656,-0.001222,-0.00032,0.00019581,0.00537059,-0.00007704,0.00133235,0.00512352,-0.00098479,-0.00203955,16:36:14..500,,,,
16:36:14..507,4.73191335,-0.001222,-0.00031956,0.00019622,0.00537052,-0.00007704,0.00133282,0.00512381,-0.0009843,-0.00203894,16:36:14..500,,,,
16:36:14..541,4.60779759,-0.001302,-0.00031826,0.00019671,0.00537067,-0.00007551,0.00133644,0.00512547,-0.00098423,-0.00203156,16:36:14..545,,,,
16:36:14..595,4.77845676,-0.001259,-0.00031842,0.00019756,0.0053712,-0.0000757,0.00133639,0.00512582,-0.00098406,-0.00203132,16:36:14..639,,,,
16:36:14..707,4.49402481,-0.001259,-0.00031833,0.00019729,0.00537097,-0.00007502,0.00133635,0.00512525,-0.00098454,-0.00203213,16:36:14..707,,,,
16:36:14..740,4.93360146,-0.00118,-0.00031886,0.00019679,0.00537024,-0.00007706,0.00133349,0.00512246,-0.00098283,-0.00203164,16:36:14..750,,,,
16:36:14..874,4.75259931,-0.00118,-0.0003189,0.00019708,0.00536997,-0.000077,0.00133382,0.00512205,-0.00098306,-0.00203168,16:36:14..872,,,,
16:36:14..906,4.41645246,-0.00118,-0.00031721,0.00019784,0.00537068,-0.00007698,0.00131594,0.00513302,-0.0009784,-0.00202599,16:36:14..872,,,,
16:36:14..939,4.7060559,-0.001121,-0.00031642,0.00019829,0.00537018,-0.00007794,0.00131633,0.00513001,-0.00097958,-0.00202452,16:36:14..982,,,,
16:36:15..025,4.72674186,-0.001053,-0.00031654,0.00019809,0.00537083,-0.00007768,0.00131604,0.00513015,-0.00097953,-0.00202423,16:36:14..982,,,,
16:36:15..057,4.79397123,-0.00104,-0.00031622,0.00019991,0.00537131,-0.00007823,0.00130882,0.0051309,-0.00098044,-0.00202486,16:36:15..025,,,,
16:36:15..143,4.89740103,-0.00104,-0.00031598,0.0001998,0.00537148,-0.00007865,0.00130879,0.00513062,-0.00097978,-0.00202416,16:36:15..181,,,,
16:36:15..195,4.87154358,-0.00104,-0.00031606,0.00020016,0.00537132,-0.00007828,0.0013086,0.00513011,-0.00098066,-0.00202441,16:36:15..181,,,,
16:36:15..229,4.85085762,-0.001033,-0.00031734,0.00019761,0.00537087,-0.0000774,0.00130267,0.00514017,-0.00097984,-0.00203035,16:36:15..266,,,,
16:36:15..347,4.74742782,-0.001033,-0.00031751,0.00019724,0.00537105,-0.00007744,0.0013025,0.00514036,-0.00098026,-0.00203024,16:36:15..348,,,,
16:36:15..382,4.57676865,-0.001148,-0.00031607,0.00019826,0.0053718,-0.00007619,0.00132849,0.00513883,-0.00098417,-0.00202805,16:36:15..393,,,,
16:36:15..495,4.54573971,-0.001148,-0.00031621,0.00019832,0.00537187,-0.00007631,0.00132911,0.00513914,-0.00098397,-0.00202841,16:36:15..493,,,,
16:36:15..528,4.94394444,-0.001326,-0.00031585,0.00019927,0.0053728,-0.00007528,0.00133722,0.00514039,-0.00098451,-0.00203031,16:36:15..538,,,,
16:36:15..642,5.09391765,-0.001326,-0.00031612,0.00019931,0.00537287,-0.00007568,0.00133692,0.0051403,-0.00098454,-0.00203064,16:36:15..640,,,,
16:36:15..674,4.59745461,-0.001407,-0.00031619,0.00019847,0.00537243,-0.00007683,0.00133498,0.00514483,-0.00098463,-0.00202548,16:36:15..685,,,,
16:36:15..793,4.45265289,-0.001407,-0.00031596,0.00019822,0.00537232,-0.00007633,0.00133551,0.005145,-0.00098424,-0.00202473,16:36:15..791,,,,
16:36:15..826,5.21286192,-0.001395,-0.00031564,0.00020068,0.00537188,-0.00007803,0.00133326,0.00514114,-0.00098495,-0.00202319,16:36:15..833,,,,
16:36:15..958,5.0163453,-0.001395,-0.00031597,0.00020033,0.00537114,-0.00007795,0.00133317,0.00514051,-0.00098509,-0.00202362,16:36:15..956,,,,
16:36:15..991,4.66985547,-0.001378,-0.00031605,0.00019861,0.00537342,-0.00007679,0.00133426,0.00514002,-0.00098561,-0.0020262,16:36:15..999,,,,
16:36:16..056,4.48885332,-0.001286,-0.00031576,0.0001995,0.00537333,-0.0000768,0.00133441,0.00513972,-0.00098522,-0.00202604,16:36:16..109,,,,
16:36:16..176,4.57159716,-0.001286,-0.00031603,0.00019928,0.00537322,-0.00007672,0.00133437,0.00514083,-0.00098566,-0.00202615,16:36:16..176,,,,
16:36:16..210,4.80431421,-0.001153,-0.00031578,0.00020034,0.00537354,-0.00007621,0.00133598,0.00514077,-0.00098565,-0.00202554,16:36:16..219,,,,
16:36:16..264,5.09391765,-0.001135,-0.00031555,0.00020095,0.00537395,-0.00007662,0.00133604,0.00514072,-0.00098586,-0.00202557,16:36:16..310,,,,
16:36:16..373,4.74742782,-0.001135,-0.00031554,0.00020105,0.0053741,-0.00007651,0.00133579,0.0051413,-0.00098532,-0.00202572,16:36:16..310,,,,
16:36:16..407,4.72157037,-0.00108,-0.00031486,0.00019992,0.00537275,-0.00007728,0.00133501,0.00514396,-0.00098477,-0.00202393,16:36:16..419,,,,
16:36:16..558,4.78362825,-0.00108,-0.00031521,0.00020034,0.0053729,-0.00007716,0.00133489,0.00514375,-0.00098525,-0.00202466,16:36:16..557,,,,
16:36:16..591,4.79914272,-0.001049,-0.00031563,0.0002004,0.00537262,-0.00007716,0.00133274,0.00514892,-0.00098554,-0.00202604,16:36:16..599,,,,
16:36:16..696,4.63882653,-0.001049,-0.00031569,0.00019965,0.0053725,-0.00007737,0.0013325,0.00514795,-0.00098567,-0.00202639,16:36:16..694,,,,
16:36:16..727,4.93360146,-0.001065,-0.00031621,0.00019944,0.00537256,-0.00007653,0.00134312,0.00514324,-0.00098322,-0.00202451,16:36:16..737,,,,
16:36:16..836,4.90257252,-0.001065,-0.00031594,0.00019932,0.00537316,-0.00007675,0.0013434,0.00514296,-0.00098312,-0.00202388,16:36:16..835,,,,
16:36:16..870,4.90257252,-0.00111,-0.00031616,0.0001994,0.00537225,-0.00007807,0.00134287,0.00514011,-0.00098203,-0.00202357,16:36:16..879,,,,
16:36:16..994,4.88705805,-0.00111,-0.00031616,0.00019943,0.0053726,-0.00007778,0.00134252,0.0051402,-0.00098167,-0.00202304,16:36:16..994,,,,
