Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time
15:33:11..181,1.8617364,0.232831,-0.00110429,0.00054566,0.0005624,0.00029019,0.00086113,0.00019384,-0.00031856,0.00024069,15:33:11..230
15:33:11..281,2.03756706,0.232831,-0.0011041,0.0005456,0.0005622,0.00029044,0.00086128,0.00019418,-0.00031862,0.00024051,15:33:11..279
15:33:11..312,1.84622193,0.232699,-0.00110396,0.00054606,0.00056251,0.00029046,0.00086184,0.00019429,-0.00031847,0.00024108,15:33:11..324
15:33:11..354,1.97033769,0.23254,-0.00110366,0.00054567,0.00056273,0.00029035,0.00086106,0.00019421,-0.00031818,0.00024052,15:33:11..324
15:33:11..409,2.05308153,0.23254,-0.001104,0.00054584,0.00056236,0.00029035,0.00086106,0.00019395,-0.00031863,0.00024081,15:33:11..417
15:33:11..443,1.86690789,0.23254,-0.00110338,0.00054567,0.0005624,0.00029029,0.00086142,0.00019448,-0.00031815,0.00024058,15:33:11..417
15:33:11..477,1.89793683,0.232214,-0.00110415,0.00054577,0.00056268,0.00029033,0.00086139,0.0001944,-0.00031817,0.0002405,15:33:11..503
15:33:11..549,1.8617364,0.232214,-0.00110397,0.00054567,0.00056253,0.00029049,0.00086116,0.00019471,-0.00031832,0.00024097,15:33:11..592
15:33:11..625,1.9134513,0.232214,-0.00110361,0.00054568,0.00056254,0.00029037,0.00086076,0.00019389,-0.00031843,0.00024041,15:33:11..592
15:33:11..658,1.90310832,0.232056,-0.00110422,0.00054557,0.00056259,0.00029036,0.00086104,0.00019437,-0.00031857,0.000241,15:33:11..638
15:33:11..692,1.79967852,0.231975,-0.00110391,0.00054569,0.00056292,0.00029101,0.0008614,0.00019439,-0.00031862,0.00024048,15:33:11..680
15:33:11..744,1.82553597,0.231975,-0.0011041,0.00054614,0.00056277,0.00029079,0.00086133,0.00019463,-0.00031815,0.00024044,15:33:11..741
15:33:11..776,1.9651662,0.23193,-0.00110409,0.00054572,0.00056262,0.00029071,0.00086146,0.00019439,-0.00031846,0.00024081,15:33:11..785
15:33:11..810,1.97033769,0.23193,-0.00110386,0.00054606,0.0005626,0.00029068,0.00086121,0.00019399,-0.00031824,0.00024063,15:33:11..785
15:33:11..843,1.94448024,0.23194,-0.00110398,0.00054539,0.00056183,0.00029053,0.00086096,0.00019423,-0.00031833,0.00024082,15:33:11..920
15:33:11..924,1.87725087,0.232007,-0.00110391,0.00054631,0.00056343,0.0002906,0.00086128,0.00019406,-0.00031866,0.00024041,15:33:11..962
15:33:11..995,1.92379428,0.232007,-0.00110408,0.00054569,0.00056208,0.00029035,0.00086109,0.00019411,-0.00031799,0.0002407,15:33:11..962
15:33:12..030,1.84105044,0.232007,-0.00110418,0.00054588,0.00056301,0.0002905,0.00086107,0.0001944,-0.00031822,0.000241,15:33:12..006
15:33:12..064,2.03756706,0.232014,-0.00110373,0.00054625,0.00056269,0.00029064,0.00086108,0.00019379,-0.00031829,0.00024032,15:33:12..049
15:33:12..111,2.068596,0.232014,-0.00110397,0.00054573,0.00056252,0.0002908,0.00086154,0.00019439,-0.00031835,0.00024084,15:33:12..108
15:33:12..143,1.75313511,0.232032,-0.00110372,0.00054589,0.00056263,0.0002904,0.00086128,0.00019421,-0.00031793,0.00024086,15:33:12..153
15:33:12..254,1.81519299,0.232032,-0.00110449,0.00054571,0.00056252,0.00029033,0.00086088,0.00019433,-0.00031821,0.00024058,15:33:12..252
15:33:12..286,1.87207938,0.232088,-0.0011043,0.00054569,0.00056238,0.00029017,0.00086089,0.00019466,-0.00031817,0.00024053,15:33:12..295
15:33:12..404,1.89276534,0.232088,-0.00110403,0.00054585,0.00056241,0.0002904,0.00086104,0.00019446,-0.00031875,0.0002406,15:33:12..402
15:33:12..435,1.8617364,0.232088,-0.00110422,0.00054598,0.00056255,0.00029033,0.00086086,0.00019444,-0.00031788,0.0002411,15:33:12..402
15:33:12..469,1.9651662,0.232103,-0.00110442,0.00054616,0.00056293,0.00029073,0.0008609,0.00019479,-0.00031823,0.00024108,15:33:12..508
15:33:12..556,2.03239557,0.232103,-0.00110414,0.00054576,0.00056303,0.00029059,0.000861,0.00019447,-0.0003184,0.00024083,15:33:12..508
15:33:12..588,1.76347809,0.232134,-0.00110419,0.00054616,0.00056267,0.0002906,0.00086104,0.00019419,-0.00031801,0.00024085,15:33:12..599
15:33:12..701,1.8617364,0.232134,-0.00110419,0.00054619,0.00056285,0.00029084,0.00086145,0.00019423,-0.00031832,0.0002409,15:33:12..699
15:33:12..732,1.86690789,0.232134,-0.00110428,0.00054588,0.00056262,0.00029071,0.00086161,0.00019458,-0.00031827,0.00024054,15:33:12..699
15:33:12..768,1.84622193,0.232276,-0.00110392,0.0005459,0.00056267,0.00029058,0.00086054,0.00019391,-0.00031823,0.00024056,15:33:12..828
15:33:12..875,1.90827981,0.232276,-0.0011041,0.00054577,0.0005626,0.00028968,0.00086071,0.00019404,-0.00031828,0.00024041,15:33:12..828
15:33:12..909,1.94965173,0.232327,-0.00110389,0.00054599,0.00056257,0.00028995,0.00086078,0.00019391,-0.00031851,0.00024055,15:33:12..919
15:33:13..036,2.03239557,0.232327,-0.00110442,0.000546,0.00056251,0.00029039,0.00086092,0.00019418,-0.00031888,0.0002411,15:33:13..034
15:33:13..069,1.90310832,0.232528,-0.00110364,0.00054597,0.00056291,0.00029045,0.00086065,0.00019382,-0.0003182,0.00024057,15:33:13..153
15:33:13..196,2.03756706,0.232528,-0.00110453,0.00054569,0.00056241,0.00029075,0.0008607,0.00019412,-0.00031846,0.00024086,15:33:13..153
15:33:13..228,1.85656491,0.232634,-0.00110384,0.00054605,0.00056278,0.00029071,0.00086082,0.00019462,-0.00031861,0.00024063,15:33:13..197
15:33:13..262,1.89793683,0.233031,-0.00110384,0.00054601,0.00056282,0.00029055,0.00086076,0.00019418,-0.00031833,0.0002408,15:33:13..330
15:33:13..380,1.95999471,0.233031,-0.00110429,0.0005458,0.00056273,0.0002907,0.0008611,0.00019427,-0.00031844,0.00024097,15:33:13..379
15:33:13..413,1.92896577,0.233075,-0.00110403,0.0005459,0.00056246,0.00029065,0.00086097,0.00019417,-0.00031806,0.00024091,15:33:13..424
15:33:13..520,1.92379428,0.233075,-0.00110348,0.00054603,0.00056256,0.00029033,0.0008609,0.00019396,-0.00031791,0.00024047,15:33:13..518
15:33:13..552,2.04791004,0.233063,-0.00110416,0.0005458,0.00056252,0.00029039,0.0008607,0.00019416,-0.0003185,0.00024041,15:33:13..563
15:33:13..657,1.9651662,0.233063,-0.00110378,0.00054611,0.00056294,0.0002905,0.00086105,0.00019441,-0.0003181,0.00024062,15:33:13..655
15:33:13..689,1.9134513,0.233037,-0.00110387,0.00054605,0.00056266,0.00029057,0.00086117,0.00019414,-0.00031822,0.00024109,15:33:13..655
15:33:13..771,1.9651662,0.233037,-0.00110395,0.00054583,0.00056231,0.0002906,0.00086063,0.00019426,-0.00031829,0.00024061,15:33:13..809
15:33:13..815,2.9994642,0.233037,-0.00110425,0.000546,0.00056274,0.00029046,0.00086044,0.00019391,-0.00031887,0.00024097,15:33:13..809
15:33:13..849,10.53949662,0.233153,-0.00110378,0.00054598,0.00056265,0.00028973,0.00086093,0.00019414,-0.00031859,0.00024035,15:33:13..809
15:33:13..971,16.69356972,0.240657,-0.00110441,0.00054545,0.00056193,0.00029066,0.00086031,0.00019395,-0.00031881,0.00024111,15:33:14..045
15:33:14..110,19.4965173,0.240657,-0.00110416,0.00054601,0.00056285,0.00029035,0.00086057,0.0001942,-0.00031839,0.00024061,15:33:14..111
15:33:14..142,16.05747645,0.249929,-0.00110382,0.0005462,0.00056272,0.00028999,0.00086261,0.00019484,-0.00031954,0.00024155,15:33:14..111
15:33:14..260,16.0833339,0.249929,-0.00110395,0.00054601,0.00056254,0.00028913,0.00086207,0.00019433,-0.00031938,0.00024093,15:33:14..308
15:33:14..315,16.60565439,0.249929,-0.0011035,0.00054597,0.00056248,0.0002896,0.00086224,0.00019448,-0.00031931,0.0002417,15:33:14..308
15:33:14..349,16.30570797,0.277024,-0.00110222,0.00054565,0.00056356,0.00028822,0.00086956,0.00019667,-0.00031981,0.00024554,15:33:14..350
15:33:14..467,15.87130281,0.277024,-0.0011023,0.00054607,0.00056294,0.0002884,0.0008691,0.00019671,-0.00031963,0.00024676,15:33:14..350
15:33:14..500,15.50412702,0.309497,-0.00109993,0.00054389,0.00056262,0.00028722,0.00087908,0.00019933,-0.00031863,0.00025255,15:33:14..510
15:33:14..596,15.58169937,0.309497,-0.00109967,0.0005437,0.00056285,0.00028702,0.00087853,0.00019895,-0.00031867,0.00025246,15:33:14..631
15:33:14..639,15.60755682,0.309497,-0.00110019,0.00054373,0.00056245,0.00028722,0.00087878,0.00019917,-0.00031893,0.00025275,15:33:14..631
