Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
14:59:39..281,4.10616306,0.026024,-0.0010696,0.00054022,0.0005764,0.00037789,0.00085023,0.00032386,-0.00025423,0.00027381,14:59:39..302,,,,
14:59:39..334,4.09064859,0.026078,-0.00106965,0.00054029,0.00057619,0.00037789,0.00085046,0.00032381,-0.0002541,0.00027307,14:59:39..344,,,,
14:59:39..384,4.0337622,0.026078,-0.00107004,0.00054012,0.00057604,0.00037812,0.00085072,0.00032388,-0.00025393,0.00027335,14:59:39..344,,,,
14:59:39..417,3.98721879,0.026051,-0.00107005,0.00054073,0.00057574,0.00038084,0.00085248,0.00032458,-0.00025387,0.00027339,14:59:39..388,,,,
14:59:39..452,4.05961965,0.025661,-0.00107006,0.0005404,0.00057635,0.00037947,0.00085275,0.00032432,-0.00025411,0.00027396,14:59:39..521,,,,
14:59:39..571,4.25096478,0.025661,-0.00107022,0.00054081,0.00057559,0.00037972,0.00085326,0.00032436,-0.00025429,0.0002743,14:59:39..624,,,,
14:59:39..633,4.03893369,0.025661,-0.0010705,0.0005402,0.00057588,0.00037933,0.00085282,0.00032449,-0.00025472,0.00027392,14:59:39..624,,,,
14:59:39..665,4.11133455,0.02536,-0.00106975,0.00053968,0.0005759,0.00036769,0.0008537,0.00032492,-0.0002533,0.00027382,14:59:39..669,,,,
14:59:39..837,4.08030561,0.02536,-0.00107021,0.00054007,0.00057569,0.00036748,0.0008534,0.00032532,-0.00025299,0.000274,14:59:39..836,,,,
14:59:39..871,4.01307624,0.025495,-0.00107058,0.00053961,0.00057588,0.00036692,0.00085533,0.00032563,-0.00025233,0.00027242,14:59:39..879,,,,
14:59:40..001,4.02341922,0.025495,-0.0010701,0.00053926,0.00057498,0.00036658,0.000855,0.00032536,-0.00025252,0.00027184,14:59:39..999,,,,
14:59:40..033,4.06479114,0.025955,-0.00107061,0.0005386,0.00057529,0.00035886,0.0008517,0.00032577,-0.00025119,0.00027271,14:59:39..999,,,,
14:59:40..095,3.86310303,0.026083,-0.0010707,0.00053851,0.0005753,0.00035881,0.00085124,0.00032534,-0.00025159,0.0002724,14:59:40..133,,,,
14:59:40..187,4.05444816,0.026083,-0.00107043,0.00053848,0.00057551,0.00035861,0.00085163,0.00032533,-0.00025111,0.00027275,14:59:40..199,,,,
14:59:40..220,4.00273326,0.026196,-0.00107021,0.0005404,0.00057608,0.00036407,0.00084713,0.00032584,-0.00025352,0.00027663,14:59:40..199,,,,
14:59:40..278,4.03893369,0.026321,-0.0010703,0.00053995,0.00057556,0.00036318,0.00084722,0.00032557,-0.00025395,0.0002767,14:59:40..313,,,,
14:59:40..348,3.88378899,0.026507,-0.0010696,0.00053989,0.00057607,0.00036382,0.00084731,0.00032582,-0.00025388,0.00027676,14:59:40..362,,,,
14:59:40..382,4.24579329,0.026507,-0.00107022,0.00053942,0.0005754,0.00035528,0.00084772,0.00032569,-0.00025308,0.00027531,14:59:40..362,,,,
14:59:40..416,4.29750819,0.026659,-0.00106997,0.00053943,0.0005762,0.0003393,0.00084562,0.00032539,-0.00025159,0.00027497,14:59:40..460,,,,
14:59:40..520,4.15787796,0.026659,-0.00107021,0.00053921,0.00057644,0.0003387,0.00084597,0.00032539,-0.00025185,0.00027472,14:59:40..518,,,,
14:59:40..552,4.15787796,0.0271,-0.00107098,0.00053988,0.00057479,0.00033683,0.00084468,0.0003268,-0.00025213,0.00028305,14:59:40..563,,,,
14:59:40..679,4.48885332,0.0271,-0.00107058,0.00053947,0.00057576,0.0003368,0.00084473,0.00032668,-0.0002522,0.00028224,14:59:40..677,,,,
14:59:40..712,4.21993584,0.027003,-0.00107229,0.0005389,0.00057423,0.00034095,0.00085248,0.0003292,-0.00025151,0.0002849,14:59:40..720,,,,
14:59:40..814,3.73381578,0.027003,-0.00107216,0.00053844,0.00057403,0.00034135,0.00085204,0.00032878,-0.00025158,0.00028466,14:59:40..812,,,,
14:59:40..849,4.37508054,0.026908,-0.0010719,0.00053966,0.00057417,0.00035612,0.00085459,0.00032856,-0.00025343,0.00028284,14:59:40..855,,,,
14:59:40..952,4.17339243,0.026908,-0.00107173,0.0005399,0.00057517,0.00035596,0.00085459,0.00032849,-0.00025307,0.00028308,14:59:40..952,,,,
14:59:40..986,3.9820473,0.027348,-0.00107118,0.00053879,0.000575,0.00033747,0.00084761,0.0003272,-0.00025222,0.00028372,14:59:40..995,,,,
14:59:41..102,3.98721879,0.027348,-0.00107187,0.00053868,0.0005742,0.00033738,0.00084719,0.00032729,-0.00025233,0.00028442,14:59:41..101,,,,
14:59:41..135,4.0337622,0.027638,-0.00107065,0.00053951,0.00057655,0.00033935,0.00084526,0.00032658,-0.0002518,0.00027815,14:59:41..136,,,,
14:59:41..243,3.96136134,0.027638,-0.00107053,0.00053974,0.00057577,0.00033965,0.00084524,0.00032645,-0.00025184,0.00027807,14:59:41..241,,,,
14:59:41..276,4.06479114,0.027671,-0.00107092,0.0005381,0.00057479,0.00033432,0.00084516,0.00032707,-0.00025101,0.0002694,14:59:41..318,,,,
14:59:41..390,4.28199372,0.027671,-0.00107086,0.00053853,0.00057529,0.00033365,0.00084569,0.00032674,-0.00025138,0.00026874,14:59:41..388,,,,
14:59:41..423,4.07513412,0.027529,-0.00107103,0.00053816,0.00057575,0.0003339,0.00084585,0.00032695,-0.0002506,0.00026873,14:59:41..432,,,,
14:59:41..536,3.94067538,0.027529,-0.00107082,0.00053808,0.0005753,0.00033449,0.00084561,0.00032683,-0.00025096,0.00026899,14:59:41..535,,,,
14:59:41..568,4.05961965,0.027257,-0.00107096,0.0005387,0.00057514,0.00033734,0.00084614,0.00032722,-0.00025206,0.00027171,14:59:41..578,,,,
14:59:41..694,4.09582008,0.027257,-0.00107136,0.00053888,0.00057474,0.00033739,0.00084564,0.00032727,-0.00025196,0.00027218,14:59:41..692,,,,
14:59:41..727,4.29750819,0.02709,-0.00107122,0.00053899,0.00057575,0.0003358,0.00084507,0.00032642,-0.00025192,0.00027315,14:59:41..735,,,,
14:59:41..829,4.09064859,0.02709,-0.00107065,0.0005391,0.00057504,0.00033609,0.00084527,0.00032678,-0.00025148,0.00027364,14:59:41..827,,,,
14:59:41..861,3.97170432,0.02697,-0.00107103,0.00053894,0.00057522,0.00033682,0.00084486,0.00032638,-0.000252,0.00027092,14:59:41..933,,,,
14:59:41..977,3.80104515,0.026865,-0.00107068,0.0005389,0.00057621,0.00033701,0.00084508,0.00032641,-0.00025148,0.00027081,14:59:41..933,,,,
14:59:42..011,3.99756177,0.026425,-0.00107142,0.00053849,0.00057529,0.0003374,0.00084515,0.00032701,-0.00025126,0.00027193,14:59:42..023,,,,
14:59:42..121,4.11133455,0.026425,-0.00107056,0.0005395,0.00057561,0.00033702,0.00084488,0.00032646,-0.00025137,0.00027159,14:59:42..121,,,,
14:59:42..155,4.0854771,0.02581,-0.00107076,0.00053906,0.00057512,0.00034282,0.00084633,0.0003269,-0.00025241,0.00027132,14:59:42..162,,,,
14:59:42..230,4.17339243,0.025742,-0.00107088,0.00053923,0.00057504,0.00034223,0.00084637,0.00032683,-0.00025251,0.0002719,14:59:42..281,,,,
14:59:42..294,4.10616306,0.025742,-0.00107111,0.00053919,0.00057483,0.00034229,0.00084608,0.00032643,-0.00025239,0.00027207,14:59:42..281,,,,
14:59:42..328,3.94584687,0.025685,-0.00107204,0.00053895,0.000574,0.00034299,0.00084763,0.00032708,-0.00025352,0.00027666,14:59:42..368,,,,
14:59:42..451,3.97687581,0.025685,-0.00107104,0.00053957,0.00057457,0.00034349,0.00084778,0.00032743,-0.00025272,0.00027669,14:59:42..450,,,,
14:59:42..483,4.22510733,0.025797,-0.00107119,0.00053928,0.00057427,0.00034712,0.00084857,0.00032749,-0.00025323,0.00028154,14:59:42..495,,,,
14:59:42..587,3.75967323,0.025797,-0.00107103,0.00053928,0.00057414,0.00034751,0.00084868,0.00032797,-0.00025345,0.00028205,14:59:42..585,,,,
14:59:42..619,4.34922309,0.025676,-0.00107134,0.00053765,0.00057499,0.00034018,0.0008512,0.00032737,-0.00025118,0.00027128,14:59:42..629,,,,
14:59:42..738,4.2406218,0.025676,-0.00107202,0.00053806,0.0005743,0.00034047,0.00085074,0.00032729,-0.00025114,0.00027201,14:59:42..736,,,,
14:59:42..770,4.15270647,0.025566,-0.00107098,0.00053924,0.00057536,0.00034313,0.00084529,0.00032618,-0.00025287,0.00027744,14:59:42..781,,,,
14:59:42..835,3.96653283,0.025414,-0.00107121,0.00053922,0.00057492,0.0003437,0.00084576,0.00032633,-0.00025336,0.0002776,14:59:42..884,,,,
14:59:42..932,4.1889069,0.025414,-0.00107101,0.00053912,0.00057531,0.00034339,0.00084552,0.00032654,-0.00025257,0.00027686,14:59:42..932,,,,
14:59:42..965,4.33888011,0.025414,-0.00107089,0.00053936,0.00057538,0.00034598,0.00084867,0.00032707,-0.00025289,0.00027125,14:59:42..932,,,,
14:59:43..000,4.93877295,0.024642,-0.00107192,0.00053965,0.00057433,0.00034674,0.00085012,0.00032758,-0.00025338,0.00027534,14:59:43..053,,,,
14:59:43..107,3.94067538,0.024642,-0.00107154,0.00053951,0.0005749,0.00034638,0.00084999,0.00032741,-0.00025331,0.00027519,14:59:43..107,,,,
14:59:43..139,3.65107194,0.024173,-0.00107164,0.00053896,0.00057433,0.00034772,0.00085019,0.00032718,-0.00025328,0.00027268,14:59:43..107,,,,
