Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
16:19:47..630,1.90310832,0.010063,-0.00044235,0.0005532,0.00055599,0.00029451,0.00082783,0.00025271,-0.00035715,0.00016329,16:19:47..622,,,,
16:19:47..664,1.99619514,0.010175,-0.00044196,0.00055281,0.00055617,0.0002945,0.00082773,0.00025231,-0.00035773,0.00016313,16:19:47..666,,,,
16:19:47..699,1.94965173,0.010191,-0.00044217,0.00055326,0.0005563,0.0002947,0.00082775,0.00025243,-0.00035762,0.00016338,16:19:47..742,,,,
16:19:47..766,1.8100215,0.010191,-0.00044206,0.00055331,0.00055688,0.00029394,0.00082786,0.00025264,-0.00035769,0.00016314,16:19:47..742,,,,
16:19:47..800,1.75313511,0.010162,-0.0004419,0.00055297,0.0005564,0.00029424,0.00082778,0.00025255,-0.00035799,0.0001648,16:19:47..777,,,,
16:19:47..834,1.7583066,0.010308,-0.00044203,0.00055281,0.00055659,0.00029393,0.00082761,0.00025251,-0.00035794,0.00016488,16:19:47..898,,,,
16:19:47..953,1.84622193,0.010308,-0.0004422,0.00055288,0.00055627,0.0002945,0.0008272,0.00025266,-0.00035748,0.0001648,16:19:47..952,,,,
16:19:47..985,1.8100215,0.010491,-0.00044223,0.00055297,0.00055659,0.00029456,0.00082828,0.00025304,-0.00035841,0.00016482,16:19:47..993,,,,
16:19:48..044,1.67039127,0.010539,-0.00044236,0.00055299,0.00055632,0.00029428,0.00082803,0.0002527,-0.00035827,0.0001646,16:19:48..089,,,,
16:19:48..097,1.94965173,0.010539,-0.00044231,0.00055305,0.0005563,0.00029445,0.00082819,0.00025317,-0.00035885,0.00016486,16:19:48..089,,,,
16:19:48..130,1.85139342,0.010621,-0.00044251,0.00055318,0.00055701,0.00029374,0.00082833,0.0002522,-0.00035983,0.00016439,16:19:48..134,,,,
16:19:48..197,1.79967852,0.010712,-0.00044212,0.00055341,0.00055651,0.00029481,0.00082855,0.000253,-0.00035972,0.00016476,16:19:48..235,,,,
16:19:48..289,1.9134513,0.010712,-0.00044171,0.0005534,0.00055709,0.00029427,0.00082852,0.00025285,-0.00035995,0.00016478,16:19:48..289,,,,
16:19:48..322,1.74796362,0.010727,-0.00044275,0.00055268,0.00055662,0.00029396,0.00082794,0.00025291,-0.00035714,0.00016342,16:19:48..322,,,,
16:19:48..356,1.83070746,0.010759,-0.00044283,0.00055267,0.00055596,0.00029399,0.00082789,0.0002524,-0.00035691,0.00016268,16:19:48..364,,,,
16:19:48..455,1.8100215,0.010759,-0.0004426,0.00055284,0.00055618,0.00029348,0.00082789,0.00025267,-0.00035608,0.00016351,16:19:48..454,,,,
16:19:48..487,1.91862279,0.010718,-0.00044288,0.00055228,0.00055586,0.00029388,0.00082811,0.00025286,-0.00035712,0.00016289,16:19:48..497,,,,
16:19:48..544,1.85656491,0.010651,-0.00044237,0.00055221,0.00055663,0.00029364,0.00082792,0.00025266,-0.00035719,0.00016317,16:19:48..590,,,,
16:19:48..606,1.8100215,0.010651,-0.00044268,0.00055305,0.00055575,0.00029391,0.00082802,0.00025297,-0.00035644,0.00016344,16:19:48..590,,,,
16:19:48..638,1.83070746,0.010391,-0.00044227,0.00055307,0.00055614,0.00029418,0.00082804,0.00025296,-0.00035621,0.00016269,16:19:48..676,,,,
16:19:48..746,1.85656491,0.010391,-0.00044236,0.00055311,0.0005568,0.00029388,0.00082745,0.00025253,-0.00035653,0.00016277,16:19:48..745,,,,
16:19:48..779,1.74796362,0.010127,-0.00044269,0.0005525,0.00055633,0.00029358,0.00082796,0.00025274,-0.00035604,0.00016297,16:19:48..846,,,,
16:19:48..888,1.88759385,0.010012,-0.00044297,0.00055265,0.00055606,0.00029412,0.00082768,0.0002528,-0.00035636,0.00016277,16:19:48..887,,,,
16:19:48..920,1.8100215,0.010012,-0.00044263,0.00055307,0.00055679,0.00029347,0.00082767,0.00025293,-0.0003565,0.0001626,16:19:48..887,,,,
16:19:48..955,1.78416405,0.009738,-0.00044271,0.00055297,0.00055629,0.00029357,0.0008269,0.00025149,-0.00035633,0.00016276,16:19:49..024,,,,
16:19:49..074,1.77382107,0.009738,-0.00044283,0.00055277,0.00055627,0.00029351,0.00082723,0.00025155,-0.00035661,0.00016312,16:19:49..024,,,,
16:19:49..105,1.95999471,0.009738,-0.00044262,0.0005534,0.00055652,0.0002927,0.00082674,0.00025186,-0.00035654,0.00016281,16:19:49..074,,,,
16:19:49..139,1.9134513,0.0095,-0.00044262,0.00055283,0.00055618,0.00029332,0.00082734,0.00025306,-0.00035631,0.00016298,16:19:49..196,,,,
16:19:49..245,1.84105044,0.0095,-0.00044269,0.00055288,0.000556,0.00029331,0.00082746,0.00025357,-0.00035636,0.00016267,16:19:49..245,,,,
16:19:49..277,1.84105044,0.009598,-0.00044243,0.00055256,0.00055619,0.00029258,0.00082773,0.00025288,-0.00035669,0.00016269,16:19:49..292,,,,
16:19:49..378,1.87207938,0.009598,-0.00044236,0.00055292,0.00055572,0.00029346,0.00082754,0.00025295,-0.0003568,0.0001626,16:19:49..376,,,,
16:19:49..409,1.87207938,0.009556,-0.00044228,0.00055271,0.00055627,0.00029385,0.00082777,0.00025275,-0.00035666,0.00016274,16:19:49..419,,,,
16:19:49..506,1.85656491,0.009556,-0.00044244,0.00055307,0.00055627,0.00029361,0.00082771,0.00025271,-0.00035664,0.00016228,16:19:49..504,,,,
16:19:49..538,1.82553597,0.009556,-0.00044257,0.00055319,0.00055575,0.00029349,0.0008275,0.00025278,-0.00035674,0.00016273,16:19:49..504,,,,
16:19:49..573,1.79967852,0.00988,-0.00044265,0.00055242,0.00055534,0.00029411,0.00082722,0.00025258,-0.0003567,0.00016282,16:19:49..640,,,,
16:19:49..696,1.82036448,0.00988,-0.00044252,0.00055282,0.00055653,0.00029522,0.00082873,0.0002532,-0.00035645,0.00016262,16:19:49..695,,,,
16:19:49..729,1.8617364,0.00988,-0.00044235,0.00055221,0.00055595,0.00029357,0.00082795,0.00025278,-0.00035636,0.00016256,16:19:49..695,,,,
16:19:49..762,1.8100215,0.010081,-0.00044222,0.00055274,0.00055536,0.0002939,0.00082789,0.00025284,-0.00035688,0.00016232,16:19:49..806,,,,
16:19:49..857,1.90827981,0.010081,-0.00044264,0.00055274,0.00055627,0.00029387,0.00082807,0.00025282,-0.00035663,0.00016274,16:19:49..855,,,,
