Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
14:19:13..965,2.43577179,-0.001738,-0.00106167,0.00056387,0.00059905,0.00033564,0.00087018,0.000347,-0.00023932,0.00027347,14:19:14..007,,,,
14:19:14..042,2.35819944,-0.001738,-0.00106181,0.00056419,0.00059892,0.00033588,0.00086951,0.00034773,-0.0002386,0.00027469,14:19:14..007,,,,
14:19:14..074,2.19271176,-0.001721,-0.0010613,0.00056514,0.00059973,0.00033777,0.0008712,0.00034883,-0.0002424,0.00026468,14:19:14..092,,,,
14:19:14..142,2.15651133,-0.001808,-0.00106108,0.00056469,0.00060005,0.00033746,0.00087207,0.00034887,-0.00024205,0.0002647,14:19:14..142,,,,
14:19:14..217,2.45128626,-0.001808,-0.00106173,0.00056506,0.00059974,0.0003374,0.00087132,0.00034944,-0.00024162,0.00026498,14:19:14..215,,,,
14:19:14..249,2.24959815,-0.001808,-0.00106093,0.00056472,0.00059936,0.00033907,0.0008714,0.00034877,-0.00024363,0.0002714,14:19:14..215,,,,
14:19:14..283,2.33234199,-0.00189,-0.0010616,0.00056406,0.00059888,0.00033888,0.00087005,0.00034756,-0.00024097,0.0002819,14:19:14..364,,,,
14:19:14..425,2.31165603,-0.00189,-0.00106178,0.00056451,0.00059936,0.00033829,0.00087131,0.00034753,-0.00024119,0.0002819,14:19:14..364,,,,
14:19:14..457,2.37371391,-0.002007,-0.00106224,0.00056457,0.00059896,0.0003373,0.00087158,0.00034971,-0.00024178,0.00027325,14:19:14..468,,,,
14:19:14..581,2.24442666,-0.002007,-0.00106161,0.00056462,0.00059974,0.00033691,0.00087277,0.00034922,-0.0002414,0.00027276,14:19:14..579,,,,
14:19:14..612,2.31682752,-0.00227,-0.00106286,0.00056336,0.0005967,0.0003372,0.00087325,0.00035049,-0.00023923,0.00028298,14:19:14..621,,,,
14:19:14..704,2.14099686,-0.00227,-0.00106287,0.00056351,0.00059679,0.00033709,0.00087322,0.00035106,-0.00023968,0.00028345,14:19:14..733,,,,
14:19:14..738,2.35302795,-0.00227,-0.00106294,0.00056361,0.00059718,0.00033771,0.00087334,0.00035094,-0.00023996,0.00028303,14:19:14..733,,,,
14:19:14..772,2.21339772,-0.002265,-0.00106279,0.0005634,0.00059641,0.00033646,0.00087289,0.00035292,-0.00023897,0.00028258,14:19:14..779,,,,
14:19:14..841,2.23408368,-0.002412,-0.00106258,0.00056365,0.00059687,0.00033645,0.00087335,0.00035268,-0.00023915,0.00028221,14:19:14..884,,,,
14:19:14..930,2.2237407,-0.002412,-0.00106331,0.00056355,0.00059619,0.00033616,0.00087286,0.00035289,-0.00023891,0.00028305,14:19:14..932,,,,
14:19:14..965,2.33751348,-0.002398,-0.0010627,0.00056316,0.00059634,0.00033538,0.00087188,0.00035065,-0.00023892,0.00028086,14:19:14..974,,,,
14:19:15..016,2.34785646,-0.002343,-0.00106277,0.00056351,0.00059682,0.00033521,0.00087287,0.00035079,-0.00023812,0.00028062,14:19:15..017,,,,
