Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
18:44:15..767,5.30077725,-0.000187,-0.00009638,0.000012,0.00081235,0.00037701,0.00102011,0.00054437,-0.00049816,0.00020223,18:44:15..812,,,,
18:44:15..824,5.30077725,0.0001,-0.0000977,0.00001197,0.00081312,0.00037586,0.00101948,0.00054386,-0.00049805,0.00020183,18:44:15..855,,,,
18:44:15..908,5.2749198,0.0001,-0.00009696,0.00001143,0.00081226,0.00037681,0.00101985,0.00054401,-0.00049815,0.00020227,18:44:15..920,,,,
18:44:15..943,5.35766364,0.0001,-0.00009733,0.00001179,0.00081241,0.00037702,0.00101939,0.00054409,-0.0004979,0.00020213,18:44:15..920,,,,
18:44:15..978,5.32146321,0.000124,-0.00009714,0.0000122,0.00081239,0.00037697,0.00101947,0.000544,-0.00049796,0.00020171,18:44:15..964,,,,
18:44:16..012,5.30077725,0,-0.00009743,0.00001215,0.00081183,0.00037634,0.00101977,0.00054412,-0.00049795,0.00020182,18:44:16..052,,,,
18:44:16..126,5.26457682,0,-0.00009762,0.0000117,0.00081335,0.00037588,0.00101907,0.00054369,-0.00049793,0.00020175,18:44:16..125,,,,
18:44:16..158,5.34214917,-0.00005,-0.00009699,0.00001221,0.0008122,0.00037721,0.0010199,0.00054418,-0.00049821,0.00020196,18:44:16..170,,,,
18:44:16..254,5.29043427,-0.000019,-0.00009738,0.00001215,0.00081253,0.00037691,0.00101896,0.00054413,-0.00049817,0.00020171,18:44:16..318,,,,
18:44:16..330,5.3266347,-0.000019,-0.00009714,0.00001189,0.00081206,0.00037707,0.00101951,0.00054412,-0.00049827,0.00020204,18:44:16..318,,,,
18:44:16..362,5.33697768,0.000014,-0.00009723,0.0000125,0.00081309,0.00037637,0.0010197,0.00054396,-0.00049799,0.000202,18:44:16..364,,,,
18:44:16..408,5.28009129,0.000161,-0.00009694,0.00001207,0.00081216,0.00037686,0.0010198,0.0005442,-0.00049806,0.00020196,18:44:16..410,,,,
18:44:16..468,5.22837639,0.000161,-0.00009782,0.0000118,0.00081221,0.00037646,0.00101948,0.00054407,-0.00049835,0.00020208,18:44:16..520,,,,
18:44:16..537,5.35249215,0.000161,-0.00009677,0.0000117,0.00081207,0.00037696,0.00101962,0.00054404,-0.0004981,0.0002022,18:44:16..520,,,,
18:44:16..570,5.26974831,0.00022,-0.00009726,0.0000118,0.0008124,0.00037625,0.00101959,0.00054424,-0.0004978,0.000202,18:44:16..608,,,,
18:44:16..723,5.26974831,0.00022,-0.00009696,0.00001183,0.00081213,0.00037645,0.0010195,0.00054437,-0.0004977,0.0002016,18:44:16..723,,,,
18:44:16..757,5.36283513,0.000072,-0.00009729,0.00001193,0.00081239,0.00037632,0.00101968,0.00054406,-0.00049856,0.00020188,18:44:16..767,,,,
18:44:16..839,5.32146321,0.000072,-0.00009757,0.00001163,0.00081242,0.00037611,0.0010191,0.00054431,-0.00049853,0.00020179,18:44:16..899,,,,
18:44:16..910,5.24389086,0.000072,-0.00009725,0.00001231,0.00081211,0.00037652,0.0010194,0.00054428,-0.00049809,0.00020203,18:44:16..899,,,,
18:44:16..944,5.37317811,-0.000061,-0.00009676,0.00001146,0.00081211,0.00037655,0.00101964,0.00054448,-0.00049854,0.00020168,18:44:16..945,,,,
18:44:17..092,5.35249215,-0.000061,-0.00009797,0.0000121,0.00081246,0.00037589,0.00101963,0.00054371,-0.00049842,0.00020155,18:44:16..945,,,,
18:44:17..123,5.33697768,0.000018,-0.00009725,0.00001173,0.00081199,0.00037656,0.0010197,0.00054403,-0.00049852,0.00020163,18:44:17..146,,,,
18:44:17..255,5.36283513,0.000018,-0.00009752,0.00001154,0.00081239,0.00037653,0.00101986,0.00054417,-0.00049831,0.00020167,18:44:17..253,,,,
