Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
12:50:13..079,4.65951249,-0.001847,-0.00019661,0.00060939,0.00041549,0.00020881,0.00107281,0.00004765,-0.00026958,0.00011997,12:50:13..102,,,,
12:50:13..160,4.59745461,-0.001847,-0.00019679,0.00060943,0.0004161,0.00020943,0.0010731,0.00004886,-0.00026979,0.00011916,12:50:13..195,,,,
12:50:13..206,4.38542352,-0.001916,-0.00019678,0.00060965,0.00041523,0.00020863,0.00107262,0.00004816,-0.00026971,0.00011944,12:50:13..239,,,,
12:50:13..274,4.6026261,-0.001916,-0.00019672,0.00060917,0.00041546,0.00020984,0.00107293,0.00004881,-0.00026972,0.00011928,12:50:13..239,,,,
12:50:13..307,4.48885332,-0.001988,-0.00019712,0.00060915,0.00041587,0.00020895,0.00107266,0.00004834,-0.00026943,0.00011947,12:50:13..329,,,,
12:50:13..425,4.41645246,-0.001988,-0.0001969,0.00060909,0.00041516,0.00020841,0.00107225,0.00004837,-0.00026956,0.00011871,12:50:13..425,,,,
12:50:13..458,4.57676865,-0.002093,-0.00019658,0.0006087,0.00041534,0.00020929,0.00107293,0.0000496,-0.00027002,0.0001191,12:50:13..425,,,,
12:50:13..532,4.37508054,-0.002093,-0.00019686,0.00060912,0.00041507,0.00020878,0.00107277,0.00004756,-0.00026957,0.00011963,12:50:13..582,,,,
12:50:13..601,4.60779759,-0.002093,-0.00019678,0.00060914,0.0004156,0.0002092,0.00107314,0.00004911,-0.00026982,0.00011956,12:50:13..582,,,,
12:50:13..634,4.54056822,-0.002117,-0.0001966,0.0006089,0.00041571,0.00020907,0.00107264,0.00004852,-0.00026959,0.00011914,12:50:13..668,,,,
12:50:13..754,4.38542352,-0.002117,-0.00019699,0.00060898,0.00041595,0.00020916,0.0010734,0.00004848,-0.00026955,0.00011955,12:50:13..753,,,,
12:50:13..786,4.51471077,-0.002048,-0.00019665,0.00060881,0.00041552,0.00020937,0.0010729,0.00004946,-0.00026971,0.00011928,12:50:13..796,,,,
12:50:13..895,4.41128097,-0.002048,-0.0001969,0.00060905,0.00041537,0.00020931,0.00107297,0.00004811,-0.00026972,0.00011975,12:50:13..893,,,,
12:50:13..927,4.654341,-0.001983,-0.00019701,0.00060918,0.00041537,0.00020889,0.00107279,0.00004777,-0.00026956,0.00011966,12:50:13..936,,,,
12:50:14..032,4.51471077,-0.001983,-0.00019646,0.00060893,0.00041561,0.00020844,0.00107284,0.00004915,-0.00026956,0.00011965,12:50:14..030,,,,
12:50:14..064,4.6026261,-0.001744,-0.00019658,0.00060936,0.00041554,0.0002089,0.00107317,0.00004924,-0.00026986,0.00011895,12:50:14..076,,,,
12:50:14..185,4.66985547,-0.001744,-0.00019705,0.00060909,0.00041547,0.00020866,0.00107233,0.00004723,-0.00026975,0.00011996,12:50:14..183,,,,
12:50:14..218,4.56125418,-0.001603,-0.00019676,0.00060953,0.00041536,0.00020886,0.00107293,0.0000482,-0.00026964,0.00011979,12:50:14..183,,,,
12:50:14..282,4.59228312,-0.001603,-0.00019684,0.00060875,0.0004152,0.00020906,0.00107269,0.00004883,-0.00026964,0.00011931,12:50:14..323,,,,
12:50:14..331,4.3957665,-0.001603,-0.00019683,0.00060893,0.00041551,0.0002089,0.00107274,0.00004805,-0.00026992,0.00011959,12:50:14..323,,,,
12:50:14..364,4.50436779,-0.001703,-0.00019707,0.00060888,0.00041513,0.00020893,0.00107276,0.00004864,-0.00026969,0.00011938,12:50:14..366,,,,
12:50:14..478,4.68019845,-0.001703,-0.0001972,0.00060893,0.00041517,0.00020864,0.00107258,0.00004775,-0.00027004,0.00011963,12:50:14..476,,,,
12:50:14..510,4.40610948,-0.001852,-0.00019675,0.00060875,0.00041569,0.00020883,0.00107283,0.00004888,-0.00026962,0.00011969,12:50:14..520,,,,
12:50:14..576,4.5509112,-0.001863,-0.00019687,0.00060919,0.00041571,0.00020909,0.00107311,0.00004809,-0.00026947,0.00011982,12:50:14..629,,,,
12:50:14..699,4.51988226,-0.001863,-0.00019672,0.0006087,0.00041599,0.00020924,0.00107275,0.00004911,-0.0002703,0.00011991,12:50:14..700,,,,
12:50:14..734,4.61814057,-0.001867,-0.00019682,0.0006092,0.00041485,0.00020876,0.00107261,0.00004789,-0.00026957,0.00011986,12:50:14..745,,,,
12:50:14..840,4.59228312,-0.001867,-0.00019712,0.00060867,0.00041502,0.0002088,0.0010727,0.00004875,-0.0002701,0.00011947,12:50:14..840,,,,
12:50:14..874,4.54056822,-0.001932,-0.00019733,0.00060892,0.00041509,0.00020868,0.0010728,0.00004754,-0.00026923,0.00011963,12:50:14..884,,,,
