Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
16:10:54..007,4.54573971,-0.00122,-0.00056028,0.00068659,0.0005725,0.00033899,0.00135147,0.00017111,-0.0010168,0.0001007,16:10:54..039,,,,
16:10:54..083,4.58194014,-0.001155,-0.00056016,0.00068666,0.00057257,0.0003388,0.00135153,0.00017054,-0.00101686,0.0001009,16:10:54..082,,,,
16:10:54..158,4.61296908,-0.001155,-0.00056007,0.00068679,0.00057226,0.00033906,0.001352,0.000171,-0.00101691,0.00010034,16:10:54..126,,,,
16:10:54..192,4.70088441,-0.000971,-0.00055992,0.00068631,0.00057171,0.00033935,0.00135164,0.00017108,-0.00101678,0.00010087,16:10:54..215,,,,
16:10:54..297,4.62331206,-0.000971,-0.00055982,0.00068724,0.00057253,0.00033925,0.0013518,0.00017104,-0.00101645,0.00010129,16:10:54..297,,,,
16:10:54..329,4.57676865,-0.000971,-0.00056006,0.00068639,0.00057262,0.00033915,0.00135138,0.00017105,-0.00101707,0.00010046,16:10:54..297,,,,
16:10:54..362,4.63365504,-0.000759,-0.00056042,0.0006864,0.00057203,0.00033918,0.00135165,0.00017084,-0.00101677,0.00010065,16:10:54..424,,,,
16:10:54..433,4.62848355,-0.000612,-0.00055999,0.00068654,0.00057294,0.00033951,0.00135156,0.00017095,-0.00101659,0.00010092,16:10:54..467,,,,
16:10:54..484,4.62848355,-0.000612,-0.00056035,0.00068702,0.00057263,0.00033927,0.0013517,0.00017121,-0.00101677,0.00010079,16:10:54..467,,,,
16:10:54..517,4.58711163,-0.000518,-0.00056049,0.00068623,0.00057242,0.00033936,0.00135139,0.00017108,-0.00101673,0.00010031,16:10:54..558,,,,
16:10:54..561,4.61296908,-0.000518,-0.00055988,0.00068735,0.00057267,0.00033955,0.00135169,0.00017107,-0.00101664,0.00010128,16:10:54..558,,,,
16:10:54..594,4.59745461,-0.000467,-0.00056019,0.00068649,0.00057269,0.00033941,0.001352,0.00017118,-0.00101653,0.00010025,16:10:54..603,,,,
16:10:54..639,4.68019845,-0.000467,-0.00056014,0.00068666,0.00057272,0.00033913,0.00135129,0.00017057,-0.00101692,0.00010057,16:10:54..701,,,,
16:10:54..743,4.58711163,-0.000467,-0.00056028,0.00068673,0.00057219,0.00033883,0.0013512,0.00017107,-0.00101714,0.00010056,16:10:54..701,,,,
16:10:54..776,4.62331206,-0.000601,-0.0005603,0.00068655,0.00057263,0.00033956,0.0013516,0.00017128,-0.00101653,0.00010097,16:10:54..790,,,,
16:10:54..900,4.66468398,-0.000601,-0.00056014,0.0006868,0.00057244,0.00033897,0.0013515,0.00017115,-0.00101646,0.00010093,16:10:54..898,,,,
16:10:54..932,4.62331206,-0.00064,-0.00056019,0.00068652,0.00057237,0.00033899,0.00135179,0.00017144,-0.00101718,0.00010091,16:10:54..943,,,,
16:10:55..003,4.60779759,-0.000619,-0.00056016,0.0006864,0.00057259,0.00033891,0.00135183,0.0001709,-0.00101701,0.0001007,16:10:55..046,,,,
16:10:55..053,4.59745461,-0.000619,-0.00055992,0.00068627,0.00057245,0.00033927,0.0013517,0.00017131,-0.001017,0.00010063,16:10:55..046,,,,
16:10:55..088,4.63882653,-0.000611,-0.00056029,0.00068644,0.00057258,0.00033876,0.0013516,0.00017071,-0.00101709,0.00010093,16:10:55..090,,,,
16:10:55..203,4.63882653,-0.000611,-0.00055971,0.00068656,0.00057257,0.00033903,0.00135182,0.0001708,-0.00101677,0.00010062,16:10:55..201,,,,
16:10:55..234,4.58711163,-0.00059,-0.0005604,0.00068606,0.00057238,0.00033919,0.00135141,0.00017131,-0.00101711,0.00010086,16:10:55..244,,,,
16:10:55..375,4.62331206,-0.00059,-0.00056017,0.00068665,0.00057262,0.00033937,0.00135168,0.00017078,-0.0010172,0.00010058,16:10:55..373,,,,
16:10:55..408,4.55608269,-0.000576,-0.00056064,0.00068646,0.00057222,0.00033889,0.0013512,0.00017129,-0.00101711,0.00010089,16:10:55..373,,,,
16:10:55..473,4.53022524,-0.000542,-0.00056008,0.00068661,0.00057289,0.00033901,0.00135158,0.00017067,-0.00101701,0.00010087,16:10:55..514,,,,
16:10:55..573,4.64399802,-0.000542,-0.00056001,0.00068671,0.00057283,0.0003389,0.00135147,0.00017136,-0.0010173,0.00010064,16:10:55..574,,,,
16:10:55..607,4.57159716,-0.000497,-0.00056077,0.00068647,0.00057252,0.00033887,0.00135139,0.00017091,-0.00101689,0.00010082,16:10:55..617,,,,
16:10:55..729,4.60779759,-0.000497,-0.00056023,0.00068654,0.00057272,0.00033887,0.00135173,0.00017079,-0.00101672,0.00010072,16:10:55..729,,,,
16:10:55..763,4.60779759,-0.000581,-0.00055999,0.00068671,0.00057285,0.00033897,0.00135188,0.00017088,-0.00101644,0.00010077,16:10:55..773,,,,
16:10:55..823,4.63882653,-0.000662,-0.00056028,0.00068648,0.00057242,0.00033909,0.00135175,0.00017127,-0.00101666,0.0001008,16:10:55..864,,,,
16:10:55..922,4.61814057,-0.000662,-0.00055989,0.00068674,0.0005726,0.00033874,0.00135175,0.00017066,-0.00101663,0.00010108,16:10:55..923,,,,
16:10:55..955,4.65951249,-0.000757,-0.00055982,0.00068629,0.00057249,0.00033838,0.00135128,0.00017032,-0.00101611,0.00010064,16:10:55..923,,,,
16:10:56..044,4.69571292,-0.000939,-0.00055992,0.00068637,0.00057242,0.00033924,0.00135179,0.00017127,-0.0010163,0.00010064,16:10:56..085,,,,
