Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
16:37:03..854,4.19407839,-0.000425,-0.00059414,0.00064447,0.00053923,0.00032237,0.00132058,0.00015754,-0.00103589,0.00005918,16:37:03..909,,,,
16:37:03..960,4.2406218,-0.000425,-0.00059339,0.00064444,0.00053932,0.00032334,0.00132117,0.00015754,-0.00103585,0.0000593,16:37:03..958,,,,
16:37:03..993,4.26647925,-0.000427,-0.00059318,0.00064486,0.00053933,0.00032293,0.00132122,0.00015743,-0.00103512,0.00005852,16:37:04..002,,,,
16:37:04..038,4.22510733,-0.000427,-0.00059398,0.00064457,0.00053971,0.00032302,0.00132135,0.00015746,-0.00103567,0.00005901,16:37:04..002,,,,
16:37:04..070,4.27682223,-0.00045,-0.00059367,0.0006447,0.00053955,0.00032313,0.00132164,0.00015774,-0.00103508,0.00005911,16:37:04..104,,,,
16:37:04..173,4.2923367,-0.00045,-0.00059352,0.00064495,0.00053932,0.00032295,0.00132142,0.00015794,-0.00103488,0.0000596,16:37:04..172,,,,
16:37:04..205,4.20959286,-0.000432,-0.00059356,0.00064463,0.00053952,0.00032304,0.00132131,0.00015777,-0.00103562,0.00005906,16:37:04..215,,,,
16:37:04..280,4.28199372,-0.000379,-0.00059356,0.00064432,0.0005394,0.00032347,0.00132132,0.00015744,-0.0010355,0.00005921,16:37:04..321,,,,
16:37:04..366,4.25096478,-0.000379,-0.00059306,0.00064518,0.00053944,0.00032334,0.00132142,0.00015782,-0.00103537,0.00005893,16:37:04..368,,,,
16:37:04..398,4.23027882,-0.0003,-0.00059417,0.00064432,0.00053924,0.00032303,0.00132071,0.0001576,-0.00103565,0.00005903,16:37:04..412,,,,
16:37:04..432,4.26130776,-0.000076,-0.00059333,0.00064489,0.00053966,0.0003229,0.00132094,0.00015745,-0.00103609,0.00005876,16:37:04..456,,,,
16:37:04..525,4.20442137,-0.000076,-0.00059342,0.00064501,0.0005392,0.00032288,0.00132096,0.00015745,-0.0010357,0.00005909,16:37:04..525,,,,
