Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
16:12:16..616,5.73001092,-0.000056,-0.00066698,0.00046029,0.00035248,-0.00020346,0.00074705,-0.00003957,-0.00012983,-0.00008917,16:12:16..652,,,,
16:12:16..726,5.71449645,-0.000056,-0.00066672,0.00045946,0.00035231,-0.00020378,0.00074809,-0.00003974,-0.00012984,-0.00008915,16:12:16..726,,,,
16:12:16..758,5.71966794,-0.000003,-0.00066642,0.00046024,0.00035241,-0.00020314,0.0007477,-0.00003928,-0.00012963,-0.00008914,16:12:16..769,,,,
16:12:16..792,5.67829602,0.000076,-0.00066645,0.0004604,0.0003528,-0.00020381,0.00074739,-0.00003969,-0.00012991,-0.00008973,16:12:16..813,,,,
16:12:16..875,5.75069688,0.000076,-0.00066631,0.0004597,0.00035291,-0.00020321,0.00074778,-0.00003903,-0.00012969,-0.00008858,16:12:16..873,,,,
16:12:16..908,5.70932496,0.000099,-0.00066667,0.00046031,0.00035234,-0.00020347,0.00074775,-0.0000397,-0.00012944,-0.00008903,16:12:16..915,,,,
16:12:17..030,5.70932496,0.000099,-0.00066642,0.00046037,0.00035237,-0.00020361,0.00074773,-0.00003941,-0.00012949,-0.00008947,16:12:17..027,,,,
16:12:17..061,5.69898198,0.000086,-0.00066689,0.00046021,0.00035269,-0.00020358,0.00074688,-0.0000397,-0.00012992,-0.00008972,16:12:17..071,,,,
16:12:17..178,5.70932496,0.000086,-0.00066653,0.00045968,0.00035174,-0.00020377,0.00074741,-0.00003981,-0.00013003,-0.00008911,16:12:17..176,,,,
16:12:17..210,5.71449645,-0.000143,-0.00066635,0.00046023,0.00035233,-0.0002036,0.0007468,-0.00003964,-0.00012968,-0.00008914,16:12:17..219,,,,
16:12:17..333,5.7403539,-0.000143,-0.0006667,0.00045936,0.00035189,-0.00020391,0.00074773,-0.00003949,-0.00012981,-0.00008953,16:12:17..333,,,,
16:12:17..366,5.68346751,-0.000383,-0.00066658,0.0004594,0.00035225,-0.00020377,0.00074799,-0.00003946,-0.00012931,-0.00008937,16:12:17..333,,,,
16:12:17..453,5.67829602,-0.000383,-0.00066648,0.00046053,0.00035234,-0.00020303,0.00074692,-0.00003952,-0.00012965,-0.00008949,16:12:17..493,,,,
16:12:17..500,5.72483943,-0.000383,-0.00066649,0.00045963,0.00035218,-0.00020379,0.00074769,-0.00003963,-0.00012999,-0.00008945,16:12:17..493,,,,
16:12:17..533,5.69898198,-0.000592,-0.00066672,0.00046044,0.00035232,-0.0002037,0.00074741,-0.00003967,-0.00012942,-0.00008937,16:12:17..538,,,,
16:12:17..598,5.70932496,-0.00056,-0.00066629,0.00046017,0.00035257,-0.0002035,0.00074715,-0.00004,-0.00012959,-0.00008912,16:12:17..642,,,,
16:12:17..695,5.69898198,-0.00056,-0.00066667,0.00046006,0.00035257,-0.00020396,0.00074757,-0.00003956,-0.00012995,-0.00008921,16:12:17..696,,,,
16:12:17..729,5.69898198,-0.000478,-0.0006664,0.00046086,0.00035225,-0.00020377,0.00074704,-0.00003996,-0.00012965,-0.00008972,16:12:17..739,,,,
16:12:17..862,5.70415347,-0.000478,-0.00066647,0.0004599,0.0003523,-0.0002039,0.00074772,-0.00003975,-0.00012938,-0.00008914,16:12:17..862,,,,
16:12:17..897,5.71449645,-0.000248,-0.00066675,0.00046025,0.00035232,-0.00020355,0.0007477,-0.00003952,-0.00012968,-0.00008903,16:12:17..862,,,,
16:12:17..981,5.73518241,-0.000248,-0.00066711,0.00045992,0.00035254,-0.00020368,0.00074753,-0.00003991,-0.00012953,-0.00008913,16:12:18..024,,,,
16:12:18..033,5.67829602,-0.000248,-0.00066679,0.00045983,0.00035208,-0.00020364,0.00074762,-0.00003957,-0.00012962,-0.00008927,16:12:18..024,,,,
16:12:18..066,5.70932496,-0.000363,-0.00066719,0.00046022,0.00035246,-0.00020374,0.00074695,-0.00003981,-0.00013007,-0.0000897,16:12:18..067,,,,
16:12:18..184,5.69898198,-0.000363,-0.0006666,0.00046004,0.0003519,-0.00020394,0.00074753,-0.00003993,-0.0001295,-0.00008932,16:12:18..182,,,,
16:12:18..216,5.7403539,-0.000571,-0.00066683,0.00045955,0.00035232,-0.00020357,0.00074786,-0.00003976,-0.0001299,-0.0000897,16:12:18..227,,,,
16:12:18..335,5.70415347,-0.000571,-0.00066663,0.00046022,0.00035271,-0.00020354,0.00074729,-0.0000404,-0.00012979,-0.00008947,16:12:18..333,,,,
16:12:18..367,5.68346751,-0.000813,-0.00066659,0.00045958,0.00035259,-0.0002036,0.00074744,-0.00004004,-0.00012987,-0.00008954,16:12:18..376,,,,
16:12:18..467,5.65761006,-0.000813,-0.00066688,0.00046017,0.00035224,-0.00020338,0.00074697,-0.0000401,-0.00012998,-0.00008952,16:12:18..465,,,,
16:12:18..501,5.71966794,-0.000956,-0.00066682,0.0004603,0.00035252,-0.00020356,0.00074738,-0.00003996,-0.00012962,-0.00008984,16:12:18..465,,,,
16:12:18..577,5.69381049,-0.000956,-0.00066679,0.00045943,0.00035189,-0.00020362,0.00074754,-0.00003952,-0.00012984,-0.00008965,16:12:18..625,,,,
16:12:18..635,5.68346751,-0.000956,-0.00066695,0.00046009,0.00035212,-0.00020348,0.00074695,-0.00004001,-0.00012991,-0.00008984,16:12:18..625,,,,
16:12:18..667,5.688639,-0.001027,-0.00066731,0.00045972,0.00035207,-0.00020381,0.00074753,-0.00003997,-0.00012985,-0.00008926,16:12:18..669,,,,
16:12:18..787,5.69381049,-0.001027,-0.00066673,0.00046033,0.00035209,-0.0002034,0.00074708,-0.00004002,-0.00012995,-0.00008929,16:12:18..785,,,,
16:12:18..820,5.688639,-0.001175,-0.00066716,0.00046012,0.00035273,-0.00020337,0.00074685,-0.00003985,-0.0001297,-0.00008942,16:12:18..828,,,,
16:12:18..884,5.69898198,-0.001216,-0.00066672,0.00045941,0.00035195,-0.00020377,0.00074759,-0.00003988,-0.00012998,-0.00008965,16:12:18..931,,,,
16:12:18..939,5.74552539,-0.001216,-0.00066688,0.00046025,0.00035276,-0.00020351,0.00074683,-0.00003989,-0.00012996,-0.00008932,16:12:18..931,,,,
16:12:18..973,5.688639,-0.001187,-0.00066666,0.00046002,0.00035202,-0.00020368,0.00074688,-0.00004026,-0.00012986,-0.00008964,16:12:18..977,,,,
16:12:19..099,5.71449645,-0.001187,-0.00066717,0.00045945,0.00035215,-0.00020384,0.00074761,-0.00004002,-0.00012989,-0.00008945,16:12:19..097,,,,
16:12:19..130,5.70932496,-0.001297,-0.0006671,0.00046029,0.00035189,-0.00020405,0.00074697,-0.00004009,-0.00012999,-0.00008933,16:12:19..097,,,,
16:12:19..258,6.24198843,-0.001297,-0.00066724,0.00045977,0.000352,-0.00020425,0.00074723,-0.00003978,-0.00012964,-0.00008951,16:12:19..307,,,,
16:12:19..317,12.60809262,-0.001297,-0.00066689,0.00046037,0.00035217,-0.00020352,0.00074675,-0.0000405,-0.00013011,-0.00009014,16:12:19..307,,,,
16:12:19..351,15.04386441,0.007116,-0.00066631,0.00045947,0.00035105,-0.00020388,0.00074684,-0.00004152,-0.0001303,-0.0000895,16:12:19..392,,,,
16:12:19..510,15.80924493,0.007116,-0.0006665,0.00046014,0.00035183,-0.00020348,0.00074658,-0.00004171,-0.00013008,-0.00008937,16:12:19..392,,,,
16:12:19..541,11.79616869,0.022658,-0.00066506,0.00046031,0.00035105,-0.00020345,0.00074745,-0.00004248,-0.00013185,-0.0000894,16:12:19..558,,,,
16:12:19..680,10.4464098,0.022658,-0.00066536,0.00045976,0.00035045,-0.00020377,0.00074726,-0.0000428,-0.00013186,-0.0000894,16:12:19..680,,,,
16:12:19..714,10.93770135,0.044299,-0.00066245,0.00045919,0.0003506,-0.00020375,0.00074941,-0.0000417,-0.00013324,-0.00008838,16:12:19..680,,,,
16:12:19..800,11.02044519,0.044299,-0.00066228,0.00046055,0.00035138,-0.00020305,0.00074907,-0.00004171,-0.00013348,-0.00008854,16:12:19..853,,,,
16:12:19..863,11.57379462,0.044299,-0.00066197,0.00045908,0.00035066,-0.00020358,0.00075,-0.00004177,-0.00013296,-0.00008818,16:12:19..853,,,,
