Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
16:00:02..994,4.16304945,0.014713,-0.00063333,0.00049806,0.00036706,-0.00019133,0.00074361,-0.00004379,-0.00011317,-0.00007615,16:00:03..059,,,,
16:00:03..113,4.17339243,0.014713,-0.00063388,0.00049865,0.00036703,-0.00019092,0.00074274,-0.00004443,-0.00011343,-0.00007658,16:00:03..111,,,,
16:00:03..144,4.17856392,0.014797,-0.00063339,0.00049879,0.00036679,-0.0001908,0.00074237,-0.0000441,-0.00011323,-0.00007686,16:00:03..156,,,,
16:00:03..254,4.15787796,0.014797,-0.00063334,0.00049748,0.00036685,-0.00019103,0.00074316,-0.00004427,-0.00011313,-0.00007628,16:00:03..253,,,,
16:00:03..285,4.17339243,0.014917,-0.00063337,0.00049929,0.00036649,-0.00019093,0.0007423,-0.00004434,-0.00011326,-0.0000769,16:00:03..297,,,,
16:00:03..414,4.15787796,0.014917,-0.00063378,0.00049769,0.00036669,-0.00019178,0.00074335,-0.00004452,-0.00011329,-0.00007664,16:00:03..413,,,,
16:00:03..446,4.19407839,0.015013,-0.00063374,0.00049886,0.00036698,-0.00019134,0.00074246,-0.00004446,-0.00011333,-0.00007655,16:00:03..457,,,,
16:00:03..574,4.19407839,0.015013,-0.00063394,0.00049842,0.00036707,-0.00019128,0.0007432,-0.00004432,-0.00011314,-0.0000763,16:00:03..572,,,,
16:00:03..606,4.21993584,0.014872,-0.0006337,0.00049819,0.0003667,-0.00019141,0.00074287,-0.00004423,-0.00011289,-0.00007659,16:00:03..619,,,,
16:00:03..727,4.14753498,0.014872,-0.00063353,0.00049801,0.00036682,-0.00019139,0.00074268,-0.00004417,-0.00011267,-0.00007617,16:00:03..619,,,,
16:00:03..761,4.1889069,0.014872,-0.00063334,0.00049883,0.00036705,-0.00019099,0.00074273,-0.0000445,-0.00011318,-0.00007654,16:00:03..728,,,,
16:00:03..795,4.17856392,0.014559,-0.00063348,0.00049863,0.00036706,-0.00019105,0.00074294,-0.00004459,-0.00011324,-0.00007643,16:00:03..873,,,,
16:00:03..938,4.15787796,0.014559,-0.00063348,0.00049783,0.00036675,-0.00019126,0.00074365,-0.00004399,-0.00011288,-0.00007662,16:00:03..937,,,,
16:00:03..970,4.16304945,0.014559,-0.00063373,0.00049848,0.00036703,-0.0001913,0.00074337,-0.00004425,-0.00011289,-0.00007642,16:00:03..937,,,,
16:00:04..004,4.19407839,0.014253,-0.0006338,0.00049777,0.00036677,-0.00019114,0.00074305,-0.00004416,-0.00011301,-0.0000761,16:00:04..048,,,,
16:00:04..113,4.20959286,0.014253,-0.00063382,0.00049866,0.00036658,-0.00019103,0.00074249,-0.00004444,-0.00011336,-0.00007673,16:00:04..111,,,,
16:00:04..145,4.14753498,0.013992,-0.00063409,0.0004978,0.00036703,-0.00019138,0.00074363,-0.00004401,-0.00011331,-0.00007624,16:00:04..111,,,,
16:00:04..206,4.17856392,0.013992,-0.00063359,0.00049868,0.00036655,-0.00019124,0.00074222,-0.00004466,-0.00011332,-0.00007677,16:00:04..242,,,,
16:00:04..271,4.15787796,0.013992,-0.00063354,0.00049819,0.00036693,-0.00019124,0.0007436,-0.00004394,-0.00011312,-0.00007655,16:00:04..242,,,,
16:00:04..305,4.14753498,0.013754,-0.00063395,0.00049837,0.0003669,-0.00019144,0.00074267,-0.00004476,-0.00011264,-0.00007679,16:00:04..329,,,,
16:00:04..357,4.21476435,0.013754,-0.00063389,0.0004973,0.00036652,-0.00019164,0.00074338,-0.00004403,-0.00011332,-0.00007631,16:00:04..373,,,,
16:00:04..413,4.23027882,0.013718,-0.00063364,0.0004981,0.0003667,-0.00019139,0.00074241,-0.00004475,-0.00011335,-0.00007669,16:00:04..446,,,,
16:00:04..460,4.11133455,0.013718,-0.00063373,0.00049797,0.00036699,-0.00019143,0.00074357,-0.00004421,-0.00011284,-0.00007599,16:00:04..446,,,,
16:00:04..493,4.16822094,0.013461,-0.00063405,0.00049869,0.00036655,-0.00019135,0.00074284,-0.00004462,-0.00011294,-0.00007699,16:00:04..536,,,,
16:00:04..615,4.2406218,0.013461,-0.00063366,0.00049801,0.00036659,-0.000191,0.00074347,-0.00004398,-0.00011334,-0.00007694,16:00:04..619,,,,
16:00:04..647,4.18373541,0.013461,-0.00063376,0.00049888,0.00036718,-0.00019138,0.00074305,-0.00004464,-0.00011323,-0.00007685,16:00:04..619,,,,
16:00:04..681,4.16304945,0.013513,-0.00063353,0.00049884,0.00036677,-0.00019068,0.00074275,-0.00004404,-0.00011343,-0.00007634,16:00:04..708,,,,
16:00:04..811,4.16304945,0.013513,-0.00063364,0.00049841,0.00036737,-0.00019145,0.00074314,-0.00004413,-0.00011335,-0.00007653,16:00:04..809,,,,
16:00:04..843,4.14753498,0.013676,-0.00063393,0.00049816,0.00036721,-0.00019159,0.00074286,-0.00004458,-0.00011367,-0.00007672,16:00:04..852,,,,
16:00:04..961,4.14236349,0.013676,-0.00063358,0.00049871,0.00036695,-0.00019091,0.00074298,-0.00004446,-0.00011296,-0.00007648,16:00:04..959,,,,
16:00:04..993,4.27165074,0.013741,-0.00063393,0.00049854,0.00036696,-0.00019144,0.00074259,-0.000045,-0.00011377,-0.00007692,16:00:05..004,,,,
16:00:05..101,4.16304945,0.013741,-0.00063393,0.00049806,0.00036718,-0.00019139,0.00074351,-0.00004408,-0.00011293,-0.00007659,16:00:05..100,,,,
16:00:05..133,4.17856392,0.013911,-0.00063383,0.00049758,0.00036655,-0.00019153,0.00074343,-0.00004418,-0.00011375,-0.00007656,16:00:05..144,,,,
16:00:05..199,4.22510733,0.013911,-0.00063362,0.0004985,0.00036706,-0.00019123,0.00074258,-0.00004428,-0.00011373,-0.00007672,16:00:05..197,,,,
16:00:05..239,4.21993584,0.013972,-0.00063343,0.00049799,0.00036668,-0.00019134,0.00074334,-0.00004408,-0.00011288,-0.00007667,16:00:05..239,,,,
16:00:05..272,4.14236349,0.014141,-0.00063336,0.00049771,0.00036674,-0.00019165,0.0007433,-0.00004428,-0.00011327,-0.00007629,16:00:05..283,,,,
16:00:05..395,4.12167753,0.014141,-0.00063348,0.00049851,0.00036655,-0.00019132,0.00074249,-0.00004452,-0.00011306,-0.00007619,16:00:05..393,,,,
16:00:05..426,4.06479114,0.014339,-0.00063386,0.00049848,0.00036714,-0.00019147,0.00074283,-0.0000448,-0.00011311,-0.00007628,16:00:05..437,,,,
16:00:05..548,4.06996263,0.014339,-0.00063356,0.00049789,0.00036719,-0.00019187,0.00074344,-0.0000442,-0.00011289,-0.00007673,16:00:05..546,,,,
16:00:05..581,3.91998942,0.014435,-0.00063372,0.00049804,0.00036701,-0.00019154,0.0007431,-0.00004426,-0.00011318,-0.00007651,16:00:05..590,,,,
16:00:05..657,4.02341922,0.014356,-0.00063405,0.00049885,0.00036684,-0.00019133,0.00074308,-0.00004411,-0.00011307,-0.00007678,16:00:05..700,,,,
16:00:05..750,4.42679544,0.014356,-0.00063352,0.00049797,0.00036721,-0.00019154,0.0007431,-0.00004411,-0.00011338,-0.000076,16:00:05..750,,,,
16:00:05..783,3.91998942,0.014172,-0.00063379,0.00049743,0.00036673,-0.00019146,0.00074312,-0.00004364,-0.0001131,-0.00007621,16:00:05..792,,,,
16:00:05..894,4.64399802,0.014172,-0.00063375,0.00049816,0.00036697,-0.000191,0.0007421,-0.00004421,-0.00011284,-0.00007636,16:00:05..894,,,,
16:00:05..929,4.14753498,0.014113,-0.00063399,0.0004976,0.00036711,-0.00019151,0.00074291,-0.00004424,-0.00011326,-0.00007669,16:00:05..938,,,,
16:00:05..977,4.69571292,0.01398,-0.00063369,0.00049823,0.00036694,-0.00019098,0.00074265,-0.00004426,-0.00011354,-0.00007669,16:00:05..981,,,,
16:00:06..032,4.11133455,0.01398,-0.00063383,0.00049775,0.00036692,-0.00019113,0.00074365,-0.00004419,-0.00011284,-0.00007634,16:00:05..981,,,,
16:00:06..065,3.74933025,0.014005,-0.00063404,0.00049796,0.00036668,-0.00019143,0.00074307,-0.00004413,-0.00011336,-0.00007636,16:00:06..086,,,,
16:00:06..176,4.36473756,0.014005,-0.00063373,0.00049757,0.0003669,-0.00019146,0.00074375,-0.00004387,-0.00011291,-0.00007649,16:00:06..175,,,,
16:00:06..208,4.04927667,0.013888,-0.00063383,0.00049824,0.00036643,-0.00019127,0.00074266,-0.0000442,-0.00011317,-0.00007661,16:00:06..217,,,,
16:00:06..326,4.10099157,0.013888,-0.00063409,0.00049834,0.00036701,-0.00019121,0.00074285,-0.00004414,-0.000113,-0.00007658,16:00:06..324,,,,
