Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
13:49:12..886,4.90774401,-0.002988,-0.00002434,0.00056377,0.0004406,-0.00015074,0.00076314,0.00002642,-0.0000382,-0.00003049,13:49:12..912,,,,
13:49:12..941,4.93360146,-0.003039,-0.00002459,0.00056384,0.000441,-0.00015082,0.000763,0.00002597,-0.00003832,-0.00003044,13:49:12..973,,,,
13:49:12..987,4.89740103,-0.003039,-0.00002475,0.00056361,0.00044082,-0.00015115,0.00076338,0.0000259,-0.00003804,-0.00003036,13:49:12..973,,,,
13:49:13..021,4.89740103,-0.003125,-0.00002503,0.00056368,0.00044038,-0.0001512,0.000763,0.00002582,-0.00003829,-0.00003102,13:49:13..018,,,,
13:49:13..055,4.90257252,-0.00321,-0.00002515,0.00056294,0.00044042,-0.00015139,0.00076297,0.00002568,-0.00003834,-0.00003054,13:49:13..060,,,,
13:49:13..126,4.89740103,-0.00335,-0.0000249,0.00056393,0.00044086,-0.00015075,0.0007626,0.00002591,-0.00003794,-0.00003085,13:49:13..124,,,,
13:49:13..178,4.92325848,-0.00335,-0.00002468,0.00056348,0.00044055,-0.00015137,0.000763,0.00002559,-0.00003809,-0.00003039,13:49:13..177,,,,
13:49:13..211,4.86637209,-0.003511,-0.00002494,0.00056286,0.00044014,-0.00015165,0.0007628,0.00002537,-0.00003786,-0.00003016,13:49:13..221,,,,
13:49:13..277,4.9129155,-0.003409,-0.00002495,0.00056365,0.00044095,-0.00015106,0.00076281,0.00002585,-0.00003822,-0.00003105,13:49:13..277,,,,
13:49:13..362,4.95428742,-0.003409,-0.00002465,0.00056287,0.00044025,-0.00015136,0.0007631,0.00002595,-0.00003839,-0.00003041,13:49:13..363,,,,
13:49:13..396,4.88188656,-0.003409,-0.0000248,0.0005632,0.00044066,-0.00015103,0.00076287,0.00002582,-0.00003853,-0.00003077,13:49:13..363,,,,
13:49:13..430,4.86637209,-0.003111,-0.00002506,0.00056323,0.00044036,-0.00015124,0.00076273,0.00002614,-0.00003828,-0.00003082,13:49:13..476,,,,
13:49:13..548,4.89740103,-0.003107,-0.00002505,0.00056377,0.00044046,-0.00015134,0.00076271,0.00002585,-0.00003843,-0.00003073,13:49:13..553,,,,
13:49:13..620,4.92325848,-0.003107,-0.00002465,0.00056343,0.00044085,-0.00015077,0.00076269,0.00002627,-0.00003821,-0.00003115,13:49:13..620,,,,
13:49:13..653,4.87671507,-0.003007,-0.00002433,0.00056361,0.00044064,-0.00015104,0.00076236,0.00002552,-0.00003855,-0.00003096,13:49:13..663,,,,
13:49:13..784,4.88705805,-0.003007,-0.0000247,0.00056315,0.00044064,-0.00015117,0.00076295,0.00002586,-0.00003838,-0.00003059,13:49:13..782,,,,
13:49:13..816,4.9129155,-0.002636,-0.00002513,0.00056385,0.0004407,-0.00015091,0.00076254,0.00002644,-0.00003833,-0.00003118,13:49:13..827,,,,
13:49:13..894,4.94911593,-0.002636,-0.00002463,0.00056372,0.00044053,-0.0001508,0.00076278,0.00002554,-0.00003862,-0.00003066,13:49:13..892,,,,
13:49:13..928,4.8612006,-0.002636,-0.00002465,0.0005631,0.00044016,-0.00015154,0.00076303,0.00002544,-0.00003804,-0.00003037,13:49:13..892,,,,
13:49:13..960,4.94911593,-0.002562,-0.00002494,0.00056376,0.00044043,-0.00015125,0.00076269,0.00002586,-0.00003857,-0.00003082,13:49:13..937,,,,
13:49:13..995,4.97497338,-0.002596,-0.00002495,0.00056361,0.00044088,-0.00015116,0.00076264,0.00002601,-0.00003824,-0.00003097,13:49:13..979,,,,
13:49:14..028,4.92325848,-0.00271,-0.00002472,0.00056336,0.0004408,-0.00015087,0.00076267,0.00002526,-0.00003883,-0.00003105,13:49:14..025,,,,
13:49:14..061,4.90774401,-0.00271,-0.00002499,0.00056278,0.00044038,-0.00015185,0.00076265,0.00002515,-0.0000379,-0.0000305,13:49:14..025,,,,
13:49:14..094,4.87154358,-0.002775,-0.00002522,0.00056357,0.00044075,-0.00015095,0.00076284,0.00002595,-0.00003819,-0.00003052,13:49:14..068,,,,
13:49:14..128,4.89222954,-0.002775,-0.0000247,0.00056313,0.00044079,-0.00015106,0.00076293,0.00002596,-0.00003834,-0.00003063,13:49:14..113,,,,
13:49:14..162,4.93360146,-0.00287,-0.00002461,0.00056371,0.00044078,-0.00015088,0.0007629,0.00002574,-0.00003831,-0.00003049,13:49:14..156,,,,
13:49:14..195,4.91808699,-0.002867,-0.00002488,0.0005635,0.00044079,-0.0001508,0.00076282,0.00002594,-0.00003838,-0.00003099,13:49:14..193,,,,
13:49:14..228,4.93360146,-0.002867,-0.00002481,0.00056353,0.00044043,-0.000151,0.00076307,0.00002562,-0.00003803,-0.00003059,13:49:14..193,,,,
13:49:14..262,4.9129155,-0.002826,-0.00002495,0.00056323,0.00044103,-0.00015134,0.00076244,0.00002555,-0.00003851,-0.00003133,13:49:14..235,,,,
13:49:14..295,4.94394444,-0.002789,-0.00002483,0.00056347,0.00044071,-0.00015075,0.00076305,0.00002583,-0.00003828,-0.00003096,13:49:14..279,,,,
13:49:14..328,4.9129155,-0.002787,-0.00002523,0.00056317,0.00044049,-0.00015134,0.00076231,0.00002571,-0.00003861,-0.00003066,13:49:14..323,,,,
13:49:14..362,4.92325848,-0.002787,-0.00002468,0.00056328,0.00044056,-0.00015105,0.0007626,0.000026,-0.00003859,-0.00003072,13:49:14..323,,,,
13:49:14..395,4.88188656,-0.002814,-0.0000248,0.00056394,0.00044101,-0.00015048,0.0007624,0.0000261,-0.00003843,-0.00003068,13:49:14..366,,,,
13:49:14..429,4.87154358,-0.002814,-0.00002536,0.0005638,0.00044077,-0.00015109,0.00076283,0.00002568,-0.00003833,-0.00003048,13:49:14..407,,,,
13:49:14..462,4.94911593,-0.002728,-0.00002482,0.00056334,0.00044025,-0.0001518,0.00076304,0.00002552,-0.00003773,-0.0000309,13:49:14..452,,,,
13:49:14..498,5.00083083,-0.0027,-0.00002468,0.00056342,0.00044091,-0.0001513,0.00076336,0.00002562,-0.00003789,-0.00003075,13:49:14..495,,,,
13:49:14..532,4.95945891,-0.0027,-0.00002552,0.00056352,0.00044052,-0.00015133,0.00076263,0.00002522,-0.0000383,-0.00003072,13:49:14..495,,,,
13:49:14..565,4.83017166,-0.002708,-0.00002519,0.00056368,0.00044103,-0.00015108,0.00076285,0.00002586,-0.00003812,-0.00003044,13:49:14..539,,,,
13:49:14..599,4.83534315,-0.002673,-0.00002483,0.00056281,0.00044052,-0.00015114,0.0007626,0.00002584,-0.0000382,-0.00003101,13:49:14..580,,,,
13:49:14..632,4.8612006,-0.002606,-0.00002446,0.00056338,0.00044071,-0.0001509,0.00076317,0.00002619,-0.00003821,-0.00003096,13:49:14..624,,,,
13:49:14..666,5.04737424,-0.002606,-0.00002494,0.0005638,0.00044089,-0.00015114,0.00076271,0.00002522,-0.00003897,-0.00003134,13:49:14..624,,,,
13:49:14..700,4.92325848,-0.002514,-0.00002444,0.00056384,0.00044116,-0.00015063,0.00076322,0.0000255,-0.00003847,-0.00003103,13:49:14..669,,,,
