Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
12:38:52..599,5.69381049,-0.001998,0.0000268,0.00057644,0.00044389,-0.00015152,0.00076814,0.00006932,0.00001904,-0.00004123,12:38:52..626,,,,
12:38:52..680,5.68346751,-0.001936,0.00002696,0.00057566,0.00044319,-0.00015244,0.00076899,0.00006865,0.00001916,-0.00004163,12:38:52..679,,,,
12:38:52..738,5.67312453,-0.001851,0.00002685,0.00057682,0.00044368,-0.00015173,0.00076868,0.0000691,0.00001871,-0.00004115,12:38:52..737,,,,
12:38:52..813,5.64726708,-0.001851,0.00002722,0.00057548,0.00044331,-0.00015178,0.00076855,0.00006867,0.00001892,-0.00004094,12:38:52..780,,,,
12:38:52..849,5.70932496,-0.001774,0.00002741,0.00057536,0.00044346,-0.00015206,0.00076815,0.00006901,0.0000188,-0.00004071,12:38:52..866,,,,
12:38:52..956,5.7403539,-0.001774,0.00002699,0.00057558,0.0004435,-0.00015227,0.00076881,0.00006923,0.00001849,-0.00004109,12:38:52..961,,,,
12:38:52..991,5.92135605,-0.001795,0.00002719,0.00057627,0.0004432,-0.00015258,0.00076822,0.00006867,0.0000186,-0.00004147,12:38:53..040,,,,
12:38:53..066,5.52315132,-0.001795,0.00002707,0.00057569,0.00044357,-0.00015225,0.00076832,0.00006921,0.0000188,-0.00004109,12:38:53..040,,,,
12:38:53..100,5.69381049,-0.001771,0.00002741,0.00057341,0.00043886,-0.00015583,0.00076938,0.00007327,0.00002049,-0.00003976,12:38:53..127,,,,
12:38:53..258,5.61623814,-0.001771,0.00002676,0.00057258,0.0004384,-0.00015586,0.00077008,0.00007326,0.00002098,-0.00003986,12:38:53..258,,,,
12:38:53..293,5.58003771,-0.001738,0.00002776,0.00057275,0.00043873,-0.00015652,0.00076918,0.00007311,0.00002122,-0.00003915,12:38:53..302,,,,
12:38:53..421,5.78689731,-0.001738,0.00002713,0.00057207,0.0004383,-0.0001567,0.00076931,0.00007273,0.00002126,-0.00003882,12:38:53..420,,,,
12:38:53..453,5.64726708,-0.001905,0.00002694,0.00057312,0.00043822,-0.00015658,0.00076997,0.00007183,0.00002058,-0.00003924,12:38:53..462,,,,
12:38:53..519,5.63175261,-0.002012,0.000027,0.00057288,0.00043832,-0.00015639,0.00076928,0.00007226,0.00001981,-0.0000402,12:38:53..575,,,,
12:38:53..627,5.69381049,-0.002012,0.00002702,0.00057271,0.00043826,-0.00015643,0.00076931,0.00007213,0.00002044,-0.00003986,12:38:53..626,,,,
12:38:53..661,5.82309774,-0.002005,0.00002762,0.00057297,0.00043876,-0.00015553,0.00076986,0.00007301,0.00002144,-0.00003918,12:38:53..670,,,,
12:38:53..782,5.67829602,-0.002005,0.00002755,0.00057272,0.00043853,-0.00015638,0.00076999,0.00007317,0.00002123,-0.00003961,12:38:53..780,,,,
12:38:53..813,5.65761006,-0.002116,0.00002746,0.00057331,0.00043866,-0.00015562,0.00076938,0.00007125,0.00002091,-0.00003994,12:38:53..824,,,,
12:38:53..945,5.70415347,-0.002116,0.00002791,0.00057281,0.00043857,-0.00015635,0.00076999,0.0000726,0.00002088,-0.00003966,12:38:53..943,,,,
12:38:53..977,5.70415347,-0.002225,0.00002774,0.00057364,0.00043858,-0.00015607,0.0007696,0.00007201,0.0000206,-0.00003967,12:38:53..943,,,,
12:38:54..059,5.73518241,-0.002225,0.00002724,0.00057353,0.00043857,-0.00015575,0.0007693,0.00007172,0.00002081,-0.00003987,12:38:54..105,,,,
12:38:54..119,5.64726708,-0.002225,0.00002739,0.0005735,0.00043848,-0.00015582,0.00077007,0.00007255,0.00002086,-0.00003973,12:38:54..105,,,,
12:38:54..153,5.70932496,-0.002319,0.00002776,0.00057342,0.00043874,-0.00015619,0.0007698,0.00007186,0.00002092,-0.00004027,12:38:54..192,,,,
12:38:54..297,5.68346751,-0.002319,0.00002724,0.00057381,0.00043879,-0.00015564,0.00076994,0.0000715,0.00002043,-0.00003993,12:38:54..296,,,,
12:38:54..329,5.64726708,-0.002317,0.00002747,0.00057356,0.00043848,-0.00015632,0.00076962,0.0000715,0.00002035,-0.00003952,12:38:54..296,,,,
12:38:54..397,5.75069688,-0.002317,0.00002776,0.00057374,0.00043878,-0.00015595,0.00076935,0.00007138,0.00002026,-0.00003944,12:38:54..444,,,,
12:38:54..453,5.66278155,-0.002317,0.00002765,0.00057399,0.00043847,-0.0001562,0.00076943,0.00007175,0.00002037,-0.00003979,12:38:54..444,,,,
12:38:54..488,5.70932496,-0.002231,0.00002778,0.00057355,0.00043855,-0.00015629,0.00076984,0.00007164,0.0000204,-0.00003998,12:38:54..562,,,,
12:38:54..632,5.70415347,-0.002231,0.00002735,0.00057372,0.00043885,-0.00015559,0.00076949,0.00007137,0.00002037,-0.00003949,12:38:54..562,,,,
12:38:54..664,5.72483943,-0.002231,0.00002775,0.00057407,0.00043866,-0.00015623,0.0007695,0.00007109,0.00002031,-0.00003976,12:38:54..632,,,,
12:38:54..748,5.64726708,-0.002307,0.00002817,0.00057388,0.00043806,-0.00015686,0.0007693,0.00007123,0.00002078,-0.00004032,12:38:54..794,,,,
