Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
14:45:22..108,6.09718671,-0.00273,-0.00001355,0.00060506,0.00042575,-0.00016055,0.00075052,-0.00001249,-0.00008563,0.00015905,14:45:22..147,,,,
14:45:22..212,6.32473227,-0.00273,-0.00001359,0.00060525,0.00042577,-0.00016067,0.00075052,-0.00001255,-0.00008594,0.00015881,14:45:22..254,,,,
14:45:22..262,6.73845147,-0.002777,-0.00001384,0.00060494,0.0004254,-0.0001608,0.00074944,-0.00001325,-0.00008579,0.00015906,14:45:22..299,,,,
14:45:22..309,6.3609327,-0.002777,-0.00001357,0.00060482,0.000426,-0.0001608,0.00075051,-0.00001236,-0.00008614,0.00015908,14:45:22..299,,,,
14:45:22..342,6.16958757,-0.002897,-0.00001605,0.00059531,0.0004277,-0.0001543,0.00076876,-0.00001678,-0.00008458,0.00014164,14:45:22..387,,,,
14:45:22..502,6.03512883,-0.002897,-0.00001582,0.0005959,0.00042748,-0.00015381,0.00076842,-0.00001656,-0.00008519,0.00014297,14:45:22..387,,,,
14:45:22..535,6.7746519,-0.003012,-0.00001902,0.0005929,0.00042489,-0.00015917,0.00075514,-0.00000756,-0.00008353,0.00010893,14:45:22..547,,,,
14:45:22..572,6.69190806,-0.002996,-0.00001762,0.00059093,0.00042641,-0.00015737,0.00075718,-0.000009,-0.0000839,0.00011413,14:45:22..589,,,,
14:45:22..651,6.36610419,-0.002902,-0.0000179,0.00059109,0.00042624,-0.00015736,0.00075748,-0.00000884,-0.0000839,0.00011418,14:45:22..651,,,,
14:45:22..731,6.09201522,-0.002902,-0.00001758,0.00059111,0.00042648,-0.00015768,0.00075712,-0.000009,-0.00008412,0.00011397,14:45:22..731,,,,
14:45:22..763,6.31438929,-0.002902,-0.00001743,0.00059185,0.0004259,-0.00015758,0.00075581,-0.00000608,-0.00008306,0.00011477,14:45:22..731,,,,
14:45:22..796,6.71259402,-0.002855,-0.00002261,0.0005887,0.00042444,-0.00016184,0.00074752,-0.00000247,-0.00008001,0.00010545,14:45:22..775,,,,
14:45:22..829,6.64019316,-0.002617,-0.00002464,0.00058513,0.00042243,-0.00016322,0.00074176,-0.00000146,-0.00007852,0.00009114,14:45:22..879,,,,
14:45:22..903,6.52124889,-0.00245,-0.00002476,0.00058444,0.00042186,-0.00016415,0.00074172,-0.00000176,-0.00007834,0.00009053,14:45:22..921,,,,
14:45:22..997,6.37127568,-0.00245,-0.00002439,0.00058435,0.00042198,-0.00016378,0.00074176,-0.0000016,-0.00007856,0.00009053,14:45:22..998,,,,
14:45:23..030,6.2575029,-0.00245,-0.00002921,0.0005727,0.0004169,-0.00016668,0.00073473,-0.00000078,-0.0000711,0.00010971,14:45:22..998,,,,
14:45:23..064,6.38679015,-0.002406,-0.00003206,0.0005649,0.00041581,-0.00016601,0.00073509,-0.00000274,-0.00007044,0.00011422,14:45:23..040,,,,
14:45:23..098,6.45401952,-0.002329,-0.00002996,0.00056863,0.00041652,-0.00016609,0.0007359,-0.00000002,-0.00006394,0.00013957,14:45:23..153,,,,
14:45:23..208,6.54710634,-0.002329,-0.00002935,0.00056865,0.00041707,-0.00016631,0.00073515,-0.00000009,-0.00006428,0.00014038,14:45:23..206,,,,
14:45:23..240,6.30404631,-0.002459,-0.00002862,0.00057256,0.00041774,-0.00016621,0.00073404,-0.00000184,-0.00006297,0.00013797,14:45:23..249,,,,
14:45:23..296,6.17993055,-0.002457,-0.00002909,0.00057198,0.00041636,-0.00016659,0.00073399,-0.00000205,-0.00006294,0.0001376,14:45:23..347,,,,
14:45:23..387,6.4126476,-0.002457,-0.00002847,0.0005726,0.00041711,-0.00016697,0.00073359,-0.00000247,-0.0000629,0.00013701,14:45:23..347,,,,
14:45:23..420,6.42299058,-0.002576,-0.00003619,0.00055571,0.00041391,-0.00016666,0.00073393,0.00000321,-0.00006515,0.00007616,14:45:23..390,,,,
14:45:23..453,6.41781909,-0.002622,-0.00004261,0.00054811,0.00041239,-0.0001679,0.00073338,0.00000517,-0.00006365,0.00004699,14:45:23..514,,,,
14:45:23..569,6.37644717,-0.002622,-0.00004223,0.00054816,0.00041323,-0.000168,0.00073307,0.0000053,-0.00006387,0.00004637,14:45:23..514,,,,
14:45:23..601,6.26267439,-0.002505,-0.00004778,0.0005397,0.00041251,-0.00016739,0.00073491,0.00000657,-0.0000692,0.00002583,14:45:23..569,,,,
14:45:23..662,6.41781909,-0.002505,-0.00004727,0.00053993,0.00041195,-0.00016749,0.0007344,0.00000598,-0.00006878,0.00002584,14:45:23..706,,,,
14:45:23..714,6.42299058,-0.002505,-0.00004732,0.00053985,0.00041251,-0.00016796,0.00073459,0.0000057,-0.00006915,0.00002524,14:45:23..706,,,,
14:45:23..748,6.42299058,-0.002482,-0.00005396,0.00053336,0.00041075,-0.00016864,0.00073276,0.00000891,-0.00007337,-0.00000805,14:45:23..750,,,,
