Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
17:18:25..478,5.41455003,0.019308,-0.00023171,-0.0000677,0.00049401,-0.00066094,0.0002631,-0.00039687,-0.00040812,-0.00076121,17:18:25..502,,,,
17:18:25..567,5.42489301,0.019308,-0.00023187,-0.00006735,0.0004938,-0.00066072,0.00026346,-0.00039695,-0.00040785,-0.00076104,17:18:25..602,,,,
17:18:25..609,5.46109344,0.019308,-0.00023221,-0.00006768,0.00049397,-0.00066063,0.00026318,-0.000397,-0.00040803,-0.0007617,17:18:25..602,,,,
17:18:25..642,5.43523599,0.019227,-0.00023216,-0.00006768,0.0004935,-0.00066089,0.00026267,-0.0003973,-0.00040749,-0.00076172,17:18:25..645,,,,
17:18:25..704,5.41455003,0.019227,-0.00023197,-0.00006783,0.00049355,-0.00066037,0.0002636,-0.00039706,-0.00040823,-0.00076143,17:18:25..760,,,,
17:18:25..766,5.49729387,0.019146,-0.00023223,-0.0000674,0.00049378,-0.00066063,0.0002636,-0.0003968,-0.00040777,-0.00076148,17:18:25..760,,,,
17:18:25..839,5.54383728,0.019146,-0.00023183,-0.00006774,0.00049368,-0.000661,0.00026325,-0.00039691,-0.00040808,-0.0007614,17:18:25..805,,,,
17:18:25..873,5.39386407,0.019115,-0.00023202,-0.00006777,0.00049365,-0.00066062,0.00026296,-0.00039688,-0.00040812,-0.00076127,17:18:25..847,,,,
17:18:25..934,5.39386407,0.019115,-0.0002323,-0.00006768,0.00049317,-0.00066067,0.00026346,-0.0003972,-0.00040791,-0.00076115,17:18:25..980,,,,
17:18:25..997,5.52315132,0.019115,-0.00023194,-0.00006768,0.00049383,-0.000661,0.00026344,-0.0003965,-0.00040798,-0.00076143,17:18:25..980,,,,
17:18:26..030,5.46109344,0.019105,-0.00023198,-0.00006771,0.00049388,-0.00066125,0.00026333,-0.00039702,-0.00040814,-0.00076113,17:18:26..067,,,,
17:18:26..157,5.47143642,0.019105,-0.00023203,-0.0000675,0.00049339,-0.00066071,0.00026283,-0.00039669,-0.00040789,-0.00076144,17:18:26..155,,,,
17:18:26..188,5.46626493,0.019268,-0.00023217,-0.00006753,0.00049408,-0.00066115,0.0002633,-0.00039718,-0.00040817,-0.00076124,17:18:26..197,,,,
17:18:26..306,5.40937854,0.019268,-0.00023167,-0.00006783,0.00049367,-0.00066107,0.00026304,-0.0003966,-0.00040835,-0.0007614,17:18:26..304,,,,
17:18:26..339,5.40937854,0.01935,-0.00023154,-0.00006792,0.00049387,-0.00066101,0.00026343,-0.00039736,-0.00040817,-0.0007613,17:18:26..348,,,,
17:18:26..404,5.40420705,0.019377,-0.00023197,-0.00006784,0.00049361,-0.00066085,0.0002633,-0.00039699,-0.00040789,-0.00076097,17:18:26..402,,,,
17:18:26..446,5.48695089,0.019377,-0.00023225,-0.00006805,0.00049374,-0.00066068,0.00026329,-0.00039733,-0.00040851,-0.00076133,17:18:26..444,,,,
17:18:26..479,5.42489301,0.019368,-0.00023194,-0.00006793,0.00049382,-0.00066072,0.00026325,-0.00039674,-0.00040795,-0.00076116,17:18:26..485,,,,
17:18:26..563,5.44040748,0.019368,-0.00023193,-0.0000675,0.00049367,-0.00066058,0.00026364,-0.00039721,-0.00040756,-0.00076118,17:18:26..561,,,,
17:18:26..596,5.51280834,0.019359,-0.00023194,-0.00006759,0.00049377,-0.00066142,0.00026343,-0.00039733,-0.0004081,-0.00076133,17:18:26..607,,,,
17:18:26..706,5.44040748,0.019359,-0.00023178,-0.00006776,0.00049355,-0.00066107,0.00026334,-0.00039687,-0.00040822,-0.00076112,17:18:26..705,,,,
17:18:26..738,5.42489301,0.019357,-0.00023185,-0.00006748,0.00049387,-0.00066087,0.0002635,-0.00039642,-0.00040758,-0.00076088,17:18:26..747,,,,
