Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
17:24:08..852,5.30077725,0.01874,-0.00026924,-0.0001109,0.00043282,-0.00068828,0.00023834,-0.00043047,-0.00045426,-0.00076718,17:24:08..873,,,,
17:24:08..922,5.2749198,0.01874,-0.00026936,-0.00011099,0.00043249,-0.00068813,0.00023863,-0.00043047,-0.00045433,-0.00076724,17:24:08..958,,,,
17:24:08..966,5.37317811,0.018722,-0.00026919,-0.00011046,0.00043291,-0.00068795,0.00023897,-0.00043012,-0.00045337,-0.00076675,17:24:09..020,,,,
17:24:09..029,5.07840318,0.018722,-0.00026916,-0.00011085,0.00043298,-0.00068794,0.00023854,-0.00043026,-0.00045364,-0.00076693,17:24:09..020,,,,
17:24:09..063,5.50246536,0.01872,-0.00026859,-0.00011029,0.00043298,-0.00068838,0.00023897,-0.00043018,-0.00045393,-0.00076708,17:24:09..063,,,,
17:24:09..097,5.18700447,0.018707,-0.00026843,-0.00011036,0.00043306,-0.00068791,0.00023868,-0.00042985,-0.000454,-0.00076654,17:24:09..107,,,,
17:24:09..133,5.12494659,0.018682,-0.00026887,-0.00011055,0.0004332,-0.00068828,0.00023864,-0.00043022,-0.00045401,-0.00076698,17:24:09..151,,,,
17:24:09..203,5.54383728,0.018682,-0.00026892,-0.00011039,0.00043274,-0.00068767,0.00023904,-0.00042998,-0.00045428,-0.00076731,17:24:09..203,,,,
17:24:09..237,5.16631851,0.018661,-0.00026882,-0.00010987,0.00043238,-0.00068798,0.00023875,-0.00043018,-0.00045403,-0.00076682,17:24:09..246,,,,
17:24:09..336,5.34214917,0.018661,-0.0002687,-0.00011028,0.00043292,-0.00068798,0.00023876,-0.00042975,-0.00045384,-0.00076705,17:24:09..352,,,,
17:24:09..370,5.31112023,0.018661,-0.00026889,-0.00010981,0.00043266,-0.00068835,0.00023877,-0.00043002,-0.00045358,-0.00076663,17:24:09..352,,,,
17:24:09..404,5.44557897,0.018638,-0.00026884,-0.00011069,0.00043308,-0.00068787,0.00023869,-0.00043012,-0.00045392,-0.00076659,17:24:09..396,,,,
17:24:09..439,5.22837639,0.018556,-0.00026871,-0.00011076,0.0004327,-0.00068839,0.00023864,-0.0004304,-0.00045418,-0.00076685,17:24:09..498,,,,
17:24:09..570,5.09391765,0.018556,-0.00026865,-0.00011072,0.00043324,-0.00068803,0.00023891,-0.00043018,-0.00045385,-0.0007666,17:24:09..571,,,,
17:24:09..603,5.29043427,0.01853,-0.00026895,-0.00011107,0.00043255,-0.0006887,0.00023877,-0.00043072,-0.0004542,-0.0007669,17:24:09..612,,,,
17:24:09..637,5.40420705,0.018488,-0.00026888,-0.00011072,0.00043297,-0.00068816,0.00023862,-0.00043069,-0.00045427,-0.00076692,17:24:09..656,,,,
17:24:09..689,5.26974831,0.018435,-0.00026892,-0.00011056,0.00043311,-0.00068802,0.00023859,-0.00043024,-0.00045375,-0.00076687,17:24:09..758,,,,
17:24:09..777,5.26457682,0.018435,-0.00026916,-0.00011064,0.00043302,-0.00068832,0.0002383,-0.00043061,-0.00045407,-0.00076708,17:24:09..758,,,,
17:24:09..809,5.30594874,0.018213,-0.00026897,-0.00011013,0.00043281,-0.00068826,0.00023863,-0.00043036,-0.00045398,-0.00076677,17:24:09..866,,,,
17:24:09..917,5.31112023,0.018213,-0.00026911,-0.00011063,0.00043261,-0.00068858,0.00023842,-0.00043044,-0.00045433,-0.00076742,17:24:09..917,,,,
17:24:09..950,5.33697768,0.01816,-0.0002689,-0.0001105,0.00043291,-0.00068817,0.00023893,-0.00043035,-0.00045427,-0.0007667,17:24:09..961,,,,
17:24:10..018,5.34732066,0.01816,-0.0002691,-0.0001107,0.00043275,-0.00068859,0.00023909,-0.00043012,-0.00045403,-0.00076706,17:24:10..049,,,,
17:24:10..059,5.23871937,0.01816,-0.00026921,-0.0001106,0.000433,-0.0006886,0.00023832,-0.00043049,-0.00045404,-0.00076733,17:24:10..049,,,,
17:24:10..092,5.42489301,0.018157,-0.00026885,-0.0001103,0.00043281,-0.00068842,0.00023866,-0.00043038,-0.0004541,-0.00076698,17:24:10..093,,,,
17:24:10..152,5.20251894,0.018157,-0.00026941,-0.00011067,0.00043274,-0.00068863,0.00023873,-0.00043005,-0.00045404,-0.00076676,17:24:10..185,,,,
17:24:10..196,5.47143642,0.018157,-0.00026959,-0.00011026,0.00043299,-0.00068816,0.00023885,-0.0004296,-0.00045383,-0.00076701,17:24:10..185,,,,
17:24:10..230,5.22837639,0.018207,-0.00026878,-0.00011055,0.00043261,-0.00068801,0.00023844,-0.0004304,-0.00045453,-0.00076695,17:24:10..284,,,,
17:24:10..348,5.20769043,0.018207,-0.00026883,-0.00010982,0.00043274,-0.00068816,0.00023903,-0.00043024,-0.00045425,-0.00076714,17:24:10..346,,,,
