Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
16:37:44..245,4.48885332,0.009039,-0.00021686,0.00000498,0.00047498,-0.00060149,0.0002832,-0.00036286,-0.00040152,-0.00057239,16:37:44..247,,,,
16:37:44..343,4.5509112,0.009039,-0.00021695,0.00000502,0.00047468,-0.00060153,0.00028346,-0.00036297,-0.00040188,-0.00057224,16:37:44..346,,,,
16:37:44..384,4.54056822,0.009039,-0.0002172,0.00000504,0.00047447,-0.00060133,0.00028371,-0.00036282,-0.00040136,-0.00057191,16:37:44..346,,,,
16:37:44..418,4.51988226,0.009025,-0.00021764,0.00000469,0.00047495,-0.00060144,0.00028345,-0.00036287,-0.00040182,-0.00057209,16:37:44..390,,,,
16:37:44..452,4.56125418,0.009031,-0.00021729,0.00000455,0.00047509,-0.000601,0.00028363,-0.0003629,-0.00040127,-0.00057217,16:37:44..478,,,,
16:37:44..607,4.51988226,0.009052,-0.00021728,0.00000487,0.00047498,-0.0006012,0.00028359,-0.0003636,-0.00040142,-0.00057209,16:37:44..747,,,,
16:37:44..773,4.52505375,0.009052,-0.00021722,0.00000461,0.00047457,-0.00060166,0.00028363,-0.00036294,-0.00040166,-0.00057205,16:37:44..747,,,,
16:37:44..807,4.48885332,0.009024,-0.00021698,0.00000443,0.00047463,-0.00060139,0.00028339,-0.00036337,-0.00040183,-0.00057201,16:37:44..834,,,,
16:37:45..068,4.52505375,0.009024,-0.00021722,0.00000482,0.0004745,-0.00060125,0.00028368,-0.00036246,-0.0004012,-0.00057173,16:37:44..834,,,,
16:37:45..102,4.50953928,0.009059,-0.00021691,0.00000515,0.00047502,-0.00060092,0.0002835,-0.00036273,-0.0004016,-0.00057185,16:37:45..121,,,,
16:37:45..273,4.51471077,0.009059,-0.00021662,0.00000484,0.0004749,-0.00060097,0.00028348,-0.00036282,-0.00040165,-0.00057172,16:37:45..276,,,,
16:37:45..307,4.54573971,0.00915,-0.00021709,0.00000503,0.00047449,-0.00060114,0.0002836,-0.00036276,-0.00040182,-0.00057265,16:37:45..320,,,,
16:37:45..445,4.50436779,0.00915,-0.00021707,0.0000053,0.00047477,-0.00060091,0.00028358,-0.00036276,-0.00040164,-0.00057201,16:37:45..445,,,,
