Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
16:20:07..203,6.01961436,-0.008252,-0.00021228,0.00000694,0.00045543,-0.00059825,0.0002888,-0.00039297,-0.00039589,-0.00056318,16:20:07..210,,,,
16:20:07..270,5.81275476,-0.008252,-0.00021236,0.00000687,0.00045562,-0.00059772,0.00028896,-0.00039267,-0.00039556,-0.00056342,16:20:07..271,,,,
16:20:07..303,6.12821565,-0.008225,-0.00021241,0.0000068,0.00045521,-0.00059827,0.00028855,-0.00039294,-0.0003965,-0.00056337,16:20:07..316,,,,
16:20:07..382,6.13338714,-0.008183,-0.00021229,0.00000693,0.00045566,-0.00059842,0.00028853,-0.00039313,-0.00039629,-0.00056355,16:20:07..380,,,,
16:20:07..433,5.77138284,-0.008183,-0.0002125,0.00000659,0.00045519,-0.00059842,0.00028877,-0.000393,-0.00039631,-0.00056305,16:20:07..432,,,,
16:20:07..467,5.81792625,-0.008157,-0.00021216,0.00000685,0.00045538,-0.00059845,0.00028865,-0.00039315,-0.00039597,-0.00056327,16:20:07..432,,,,
16:20:07..500,5.83344072,-0.008086,-0.00021264,0.00000646,0.00045516,-0.00059856,0.00028852,-0.00039341,-0.00039636,-0.00056372,16:20:07..541,,,,
16:20:07..599,5.90584158,-0.008086,-0.00021238,0.00000671,0.00045555,-0.00059804,0.00028929,-0.00039335,-0.00039629,-0.000563,16:20:07..598,,,,
16:20:07..632,5.88515562,-0.00805,-0.00021247,0.00000618,0.00045534,-0.00059827,0.00028884,-0.00039349,-0.00039644,-0.00056358,16:20:07..643,,,,
16:20:07..767,5.77138284,-0.00805,-0.00021224,0.00000637,0.00045523,-0.00059862,0.00028838,-0.00039333,-0.00039636,-0.00056353,16:20:07..765,,,,
16:20:07..799,5.97824244,-0.007987,-0.0002122,0.000007,0.00045543,-0.00059868,0.00028894,-0.0003931,-0.00039664,-0.00056344,16:20:07..765,,,,
16:20:07..891,5.87998413,-0.007951,-0.00021242,0.00000671,0.00045569,-0.00059773,0.00028922,-0.00039309,-0.00039619,-0.00056322,16:20:07..960,,,,
16:20:08..017,5.87481264,-0.007951,-0.00021228,0.00000662,0.00045539,-0.00059804,0.00028861,-0.00039321,-0.00039658,-0.00056302,16:20:08..017,,,,
16:20:08..050,5.90067009,-0.007932,-0.00021241,0.00000659,0.00045541,-0.00059835,0.00028926,-0.00039272,-0.00039598,-0.00056334,16:20:08..062,,,,
16:20:08..099,6.00409989,-0.007934,-0.00021246,0.00000665,0.00045526,-0.00059823,0.00028896,-0.00039338,-0.00039628,-0.00056361,16:20:08..106,,,,
16:20:08..173,5.80758327,-0.007934,-0.00021274,0.00000693,0.00045564,-0.00059865,0.00028896,-0.00039282,-0.00039611,-0.00056328,16:20:08..106,,,,
16:20:08..207,5.80241178,-0.007942,-0.00021246,0.00000631,0.00045514,-0.00059875,0.00028825,-0.00039337,-0.00039624,-0.00056356,16:20:08..225,,,,
16:20:08..318,5.75586837,-0.007942,-0.00021219,0.00000672,0.00045572,-0.00059824,0.00028848,-0.00039319,-0.00039632,-0.00056285,16:20:08..316,,,,
16:20:08..350,6.59364975,-0.007959,-0.00021259,0.0000066,0.00045518,-0.00059882,0.00028888,-0.00039343,-0.0003961,-0.00056302,16:20:08..360,,,,
16:20:08..414,5.80241178,-0.007997,-0.00021264,0.00000674,0.00045563,-0.00059807,0.00028868,-0.00039338,-0.00039615,-0.00056302,16:20:08..476,,,,
16:20:08..535,5.99375691,-0.007997,-0.00021192,0.0000063,0.00045569,-0.00059836,0.00028899,-0.00039319,-0.00039602,-0.00056349,16:20:08..535,,,,
16:20:08..568,5.92135605,-0.008019,-0.00021242,0.00000664,0.00045526,-0.00059815,0.00028839,-0.00039336,-0.00039655,-0.00056343,16:20:08..535,,,,
16:20:08..627,6.21613098,-0.008019,-0.00021238,0.00000672,0.00045539,-0.0005983,0.00028863,-0.00039302,-0.00039634,-0.00056332,16:20:08..666,,,,
16:20:08..673,5.74552539,-0.008019,-0.00021255,0.00000698,0.0004557,-0.00059798,0.00028869,-0.00039316,-0.00039618,-0.000563,16:20:08..666,,,,
16:20:08..705,5.73518241,-0.008052,-0.00021265,0.00000689,0.0004552,-0.00059839,0.00028889,-0.0003933,-0.00039665,-0.00056331,16:20:08..709,,,,
16:20:08..822,5.68346751,-0.008052,-0.00021213,0.00000715,0.00045558,-0.00059794,0.00028852,-0.000393,-0.00039654,-0.00056312,16:20:08..821,,,,
16:20:08..854,5.85929817,-0.008181,-0.00021254,0.00000672,0.00045519,-0.00059824,0.00028882,-0.00039321,-0.00039621,-0.00056345,16:20:08..865,,,,
16:20:08..965,5.80241178,-0.008181,-0.00021242,0.00000689,0.00045551,-0.00059837,0.00028897,-0.00039279,-0.00039656,-0.0005634,16:20:08..963,,,,
16:20:08..996,5.8954986,-0.008292,-0.00021238,0.00000618,0.00045528,-0.00059811,0.00028863,-0.00039325,-0.00039664,-0.00056326,16:20:09..007,,,,
16:20:09..183,5.82309774,-0.008292,-0.00021224,0.00000668,0.00045585,-0.00059768,0.00028885,-0.00039307,-0.00039628,-0.00056378,16:20:09..181,,,,
16:20:09..215,6.12304416,-0.008307,-0.00021295,0.00000659,0.00045555,-0.00059822,0.00028834,-0.00039348,-0.00039659,-0.00056331,16:20:09..181,,,,
16:20:09..298,5.80241178,-0.008307,-0.00021269,0.00000659,0.00045534,-0.00059832,0.00028831,-0.00039329,-0.00039618,-0.00056291,16:20:09..338,,,,
16:20:09..346,6.04547181,-0.008307,-0.00021247,0.00000671,0.00045577,-0.00059773,0.00028865,-0.00039357,-0.00039614,-0.00056376,16:20:09..338,,,,
16:20:09..380,5.71966794,-0.008331,-0.00021255,0.00000649,0.00045568,-0.00059792,0.00028865,-0.00039334,-0.00039647,-0.00056329,16:20:09..381,,,,
16:20:09..481,6.04030032,-0.008331,-0.00021241,0.00000657,0.00045535,-0.00059795,0.0002887,-0.00039342,-0.00039683,-0.00056393,16:20:09..479,,,,
16:20:09..512,6.07132926,-0.008388,-0.00021278,0.00000647,0.00045552,-0.00059846,0.00028865,-0.00039352,-0.00039654,-0.00056343,16:20:09..521,,,,
16:20:09..581,5.82309774,-0.008416,-0.00021261,0.00000639,0.00045566,-0.00059845,0.00028856,-0.00039317,-0.00039636,-0.00056296,16:20:09..624,,,,
16:20:09..658,5.80241178,-0.008416,-0.0002121,0.00000659,0.00045556,-0.0005981,0.00028817,-0.00039327,-0.00039645,-0.00056353,16:20:09..624,,,,
16:20:09..692,5.98858542,-0.008444,-0.00021209,0.00000679,0.00045566,-0.00059823,0.0002891,-0.00039306,-0.0003961,-0.0005631,16:20:09..667,,,,
16:20:09..726,5.90067009,-0.008586,-0.00021263,0.00000663,0.00045583,-0.00059845,0.00028904,-0.00039371,-0.00039626,-0.00056301,16:20:09..773,,,,
16:20:09..826,5.91618456,-0.008586,-0.00021249,0.00000633,0.00045538,-0.00059856,0.00028819,-0.00039347,-0.00039672,-0.00056345,16:20:09..824,,,,
16:20:09..858,5.81275476,-0.008651,-0.00021246,0.00000637,0.00045593,-0.00059829,0.00028836,-0.00039362,-0.00039667,-0.00056367,16:20:09..870,,,,
16:20:09..918,5.80241178,-0.008703,-0.00021219,0.000007,0.00045546,-0.00059798,0.00028865,-0.00039365,-0.00039636,-0.00056335,16:20:09..959,,,,
16:20:10..022,5.85929817,-0.008703,-0.00021238,0.00000666,0.00045552,-0.00059824,0.00028862,-0.00039349,-0.00039658,-0.00056359,16:20:10..022,,,,
16:20:10..056,5.92652754,-0.008701,-0.00021258,0.0000066,0.00045583,-0.0005982,0.00028849,-0.00039299,-0.00039646,-0.00056331,16:20:10..067,,,,
16:20:10..159,5.92652754,-0.008701,-0.00021216,0.00000647,0.00045555,-0.00059861,0.00028852,-0.00039311,-0.00039649,-0.00056345,16:20:10..159,,,,
16:20:10..193,4.93877295,-0.008653,-0.0002127,0.00000638,0.0004553,-0.00059867,0.00028855,-0.00039356,-0.00039678,-0.00056353,16:20:10..204,,,,
16:20:10..325,4.97497338,-0.008653,-0.00021241,0.00000663,0.00045594,-0.00059835,0.00028837,-0.00039332,-0.00039677,-0.0005637,16:20:10..323,,,,
16:20:10..357,5.17666149,-0.008543,-0.00021202,0.00000668,0.00045622,-0.00059777,0.00028882,-0.0003932,-0.00039656,-0.00056347,16:20:10..368,,,,
16:20:10..479,5.46109344,-0.008543,-0.00021225,0.00000693,0.00045569,-0.00059788,0.00028829,-0.00039336,-0.00039623,-0.00056377,16:20:10..477,,,,
16:20:10..512,5.32146321,-0.008454,-0.00021246,0.00000655,0.00045574,-0.0005983,0.00028876,-0.00039342,-0.00039642,-0.00056364,16:20:10..521,,,,
16:20:10..628,7.28662941,-0.008454,-0.00021214,0.0000065,0.00045527,-0.00059811,0.00028896,-0.00039323,-0.0003966,-0.00056368,16:20:10..626,,,,
16:20:10..660,6.47470548,-0.008341,-0.00021258,0.00000611,0.00045571,-0.00059849,0.0002882,-0.00039364,-0.00039688,-0.00056347,16:20:10..669,,,,
16:20:10..777,5.65243857,-0.008341,-0.00021246,0.00000669,0.0004555,-0.00059817,0.00028868,-0.00039352,-0.00039701,-0.00056347,16:20:10..776,,,,
16:20:10..809,4.73191335,-0.008359,-0.00021261,0.00000674,0.00045588,-0.00059807,0.00028849,-0.0003935,-0.00039654,-0.00056324,16:20:10..776,,,,
16:20:10..881,5.87998413,-0.008359,-0.00021256,0.00000653,0.00045546,-0.00059831,0.00028842,-0.0003935,-0.00039649,-0.00056353,16:20:10..818,,,,
16:20:10..914,6.0506433,-0.008374,-0.00021263,0.00000667,0.00045566,-0.00059832,0.00028805,-0.00039339,-0.00039661,-0.00056362,16:20:10..931,,,,
16:20:10..981,5.3783496,-0.008386,-0.00021238,0.00000666,0.00045583,-0.00059818,0.0002885,-0.00039346,-0.00039658,-0.000564,16:20:11..021,,,,
