Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
15:43:49..426,3.73898727,-0.001288,-0.00019196,0.0000309,0.00047647,-0.00054896,0.00031039,-0.00037839,-0.00037633,-0.00038645,15:43:49..431,,,,
15:43:49..483,3.57349959,-0.001288,-0.00019181,0.0000313,0.00047727,-0.00054883,0.00031018,-0.00037798,-0.00037629,-0.00038599,15:43:49..518,,,,
15:43:49..535,3.92516091,-0.00128,-0.00019238,0.00003145,0.00047658,-0.00054832,0.00031058,-0.00037818,-0.00037623,-0.00038571,15:43:49..560,,,,
15:43:49..585,3.62521449,-0.00128,-0.00019216,0.00003117,0.0004768,-0.00054896,0.00031034,-0.00037855,-0.00037638,-0.00038574,15:43:49..560,,,,
15:43:49..619,3.76484472,-0.001283,-0.00019076,0.00003188,0.0004757,-0.00055073,0.0003058,-0.00038015,-0.00037675,-0.0003854,15:43:49..653,,,,
15:43:49..718,3.71312982,-0.001283,-0.00019122,0.00003187,0.00047585,-0.00055033,0.00030559,-0.00037995,-0.00037699,-0.00038547,15:43:49..716,,,,
15:43:49..751,3.70795833,-0.001309,-0.00019069,0.00003262,0.00047404,-0.00055345,0.00029959,-0.00038237,-0.00037573,-0.00038423,15:43:49..759,,,,
15:43:49..850,3.90447495,-0.001309,-0.0001909,0.00003233,0.00047393,-0.00055354,0.00029983,-0.00038267,-0.00037605,-0.0003845,15:43:49..849,,,,
15:43:49..882,3.95101836,-0.001306,-0.00019008,0.00003307,0.00047305,-0.00055345,0.00029936,-0.00038308,-0.0003777,-0.00038395,15:43:49..891,,,,
15:43:50..004,3.50627022,-0.001306,-0.00018969,0.00003369,0.00047326,-0.00055328,0.00029928,-0.00038281,-0.0003775,-0.00038376,15:43:50..002,,,,
15:43:50..036,3.59935704,-0.001286,-0.00018992,0.00003294,0.000473,-0.00055405,0.00029952,-0.00038197,-0.00037637,-0.00038351,15:43:50..046,,,,
15:43:50..161,3.69244386,-0.001286,-0.00019009,0.0000324,0.00047272,-0.00055443,0.00029933,-0.00038245,-0.0003768,-0.0003838,15:43:50..159,,,,
15:43:50..193,3.69761535,-0.001187,-0.00019241,0.00003126,0.00047376,-0.00055324,0.00030252,-0.00038059,-0.00037437,-0.00038624,15:43:50..266,,,,
15:43:50..322,3.80621664,-0.001187,-0.00019294,0.00003142,0.00047319,-0.00055264,0.00030237,-0.00038032,-0.00037484,-0.00038669,15:43:50..320,,,,
15:43:50..354,3.79587366,-0.001215,-0.00019221,0.0000312,0.00047389,-0.00055268,0.00030132,-0.00038228,-0.00037719,-0.00038717,15:43:50..364,,,,
15:43:50..437,3.75450174,-0.001215,-0.00019209,0.00003119,0.00047407,-0.00055295,0.00030085,-0.00038292,-0.00037776,-0.00038683,15:43:50..438,,,,
15:43:50..469,3.63038598,-0.001323,-0.00019173,0.00003196,0.00047432,-0.00055203,0.00030248,-0.00038175,-0.00037651,-0.00038593,15:43:50..481,,,,
15:43:50..528,3.84241707,-0.001347,-0.00019184,0.00003167,0.00047408,-0.00055193,0.00030238,-0.00038202,-0.00037674,-0.00038603,15:43:50..571,,,,
15:43:50..609,3.70278684,-0.001347,-0.00019211,0.00003135,0.00047404,-0.00055184,0.00030201,-0.00038181,-0.00037677,-0.0003858,15:43:50..571,,,,
15:43:50..642,3.54247065,-0.001411,-0.00019297,0.0000302,0.00047299,-0.00055286,0.00030274,-0.00038118,-0.00037525,-0.00038604,15:43:50..617,,,,
15:43:50..723,3.79587366,-0.001411,-0.00019302,0.00003055,0.00047318,-0.00055294,0.00030267,-0.00038121,-0.00037482,-0.00038618,15:43:50..770,,,,
15:43:50..778,3.62521449,-0.001411,-0.00019274,0.00003071,0.00047298,-0.00055298,0.00030302,-0.00038102,-0.00037503,-0.00038601,15:43:50..770,,,,
15:43:50..811,3.75450174,-0.001551,-0.00019175,0.00003093,0.00047408,-0.00055249,0.00030284,-0.00038203,-0.00037796,-0.00038404,15:43:50..814,,,,
15:43:50..906,3.63555747,-0.001551,-0.00019222,0.00003035,0.00047363,-0.0005532,0.00030267,-0.00038271,-0.00037793,-0.00038421,15:43:50..905,,,,
15:43:50..937,3.48041277,-0.001601,-0.00019112,0.0000317,0.00047391,-0.00055169,0.00030298,-0.00038188,-0.00037764,-0.00038051,15:43:50..949,,,,
15:43:51..002,4.16822094,-0.001584,-0.00019098,0.00003175,0.00047408,-0.00055137,0.00030294,-0.00038234,-0.00037787,-0.00038063,15:43:51..046,,,,
15:43:51..053,3.73898727,-0.001584,-0.00019111,0.00003154,0.00047418,-0.00055159,0.00030286,-0.00038235,-0.00037765,-0.00038023,15:43:51..046,,,,
15:43:51..089,3.71312982,-0.001612,-0.00019028,0.00003144,0.00047255,-0.00055347,0.00029848,-0.00038342,-0.00037846,-0.0003745,15:43:51..090,,,,
15:43:51..202,3.64590045,-0.001612,-0.00019019,0.00003151,0.00047293,-0.00055315,0.00029857,-0.00038342,-0.00037837,-0.00037423,15:43:51..202,,,,
15:43:51..235,4.05444816,-0.001614,-0.00019314,0.00002954,0.00047165,-0.00055529,0.00029947,-0.00038088,-0.00037241,-0.00038268,15:43:51..247,,,,
15:43:51..328,3.78553068,-0.001614,-0.00019305,0.00002996,0.00047183,-0.00055542,0.00030015,-0.0003809,-0.00037257,-0.0003823,15:43:51..326,,,,
15:43:51..359,3.94584687,-0.001642,-0.00019221,0.00003113,0.00047209,-0.00055464,0.00029879,-0.00038397,-0.00037865,-0.0003866,15:43:51..369,,,,
15:43:51..473,3.78035919,-0.001642,-0.00019225,0.00003096,0.00047246,-0.00055423,0.00029931,-0.00038375,-0.00037819,-0.00038652,15:43:51..471,,,,
15:43:51..505,3.69761535,-0.001664,-0.00019165,0.00003115,0.00047437,-0.00055127,0.00030295,-0.00038266,-0.00037876,-0.00038439,15:43:51..518,,,,
15:43:51..558,3.79587366,-0.001676,-0.00019145,0.00003097,0.00047447,-0.00055119,0.00030344,-0.00038261,-0.00037899,-0.00038414,15:43:51..561,,,,
15:43:51..603,3.67692939,-0.001676,-0.00019178,0.00003082,0.00047379,-0.00055122,0.00030312,-0.00038298,-0.00037966,-0.00038435,15:43:51..666,,,,
15:43:51..671,3.54764214,-0.001676,-0.00019182,0.00003127,0.00047411,-0.00055067,0.00030322,-0.00038276,-0.00037901,-0.00038385,15:43:51..666,,,,
15:43:51..705,3.83207409,-0.001701,-0.00019345,0.00002945,0.000473,-0.00055337,0.00030258,-0.00038186,-0.00037391,-0.0003814,15:43:51..711,,,,
15:43:51..842,3.70795833,-0.001701,-0.000193,0.00002984,0.00047282,-0.00055347,0.0003026,-0.0003813,-0.00037442,-0.00038155,15:43:51..840,,,,
15:43:51..874,3.92516091,-0.001625,-0.00019267,0.00002999,0.00047404,-0.00055105,0.00030429,-0.00038253,-0.00037841,-0.0003815,15:43:51..883,,,,
15:43:51..993,3.55798512,-0.001625,-0.00019319,0.00003026,0.00047399,-0.00055087,0.00030444,-0.00038226,-0.00037827,-0.00038126,15:43:51..991,,,,
15:43:52..025,3.60452853,-0.001511,-0.00019343,0.00002986,0.00047311,-0.00055267,0.00030277,-0.0003818,-0.00037574,-0.00038308,15:43:52..036,,,,
15:43:52..146,3.81138813,-0.001511,-0.00019347,0.00003003,0.00047293,-0.00055269,0.00030262,-0.00038194,-0.00037584,-0.00038309,15:43:52..144,,,,
15:43:52..179,3.90447495,-0.001375,-0.00019208,0.00003138,0.00047324,-0.0005525,0.00030143,-0.00038225,-0.00037696,-0.0003865,15:43:52..189,,,,
15:43:52..279,3.78035919,-0.001375,-0.00019186,0.00003152,0.00047303,-0.00055282,0.00030174,-0.00038265,-0.00037736,-0.00038636,15:43:52..279,,,,
15:43:52..315,3.77001621,-0.001328,-0.0001923,0.00003143,0.00047312,-0.00055308,0.00030119,-0.0003821,-0.00037617,-0.00038734,15:43:52..322,,,,
15:43:52..423,3.6717579,-0.001328,-0.00019274,0.00003107,0.00047306,-0.00055279,0.00030146,-0.00038234,-0.0003762,-0.00038704,15:43:52..423,,,,
15:43:52..457,3.91998942,-0.001241,-0.0001925,0.0000307,0.00047322,-0.00055383,0.00030196,-0.00038193,-0.00037637,-0.00038662,15:43:52..467,,,,
15:43:52..571,3.69761535,-0.001241,-0.00019198,0.00003089,0.00047344,-0.00055394,0.00030216,-0.00038212,-0.00037673,-0.00038593,15:43:52..569,,,,
15:43:52..603,3.73381578,-0.001185,-0.00019261,0.0000301,0.00047363,-0.00055354,0.00030452,-0.00038092,-0.00037676,-0.00038801,15:43:52..612,,,,
15:43:52..743,3.88896048,-0.001185,-0.00019336,0.00003001,0.00047363,-0.0005531,0.00030468,-0.00038097,-0.00037681,-0.00038745,15:43:52..741,,,,
15:43:52..776,3.60970002,-0.001242,-0.00019249,0.00003054,0.00047449,-0.00055184,0.00030603,-0.00038094,-0.00037628,-0.00038681,15:43:52..785,,,,
15:43:52..882,3.45455532,-0.001242,-0.00019255,0.00003031,0.0004743,-0.00055212,0.00030639,-0.00038072,-0.00037619,-0.00038674,15:43:52..880,,,,
15:43:52..915,3.70795833,-0.001339,-0.00019263,0.00003037,0.00047405,-0.00055116,0.00030523,-0.00038079,-0.00037679,-0.00038711,15:43:52..924,,,,
15:43:53..018,3.85276005,-0.001339,-0.00019262,0.00003077,0.00047469,-0.00055102,0.00030576,-0.00038062,-0.00037642,-0.000387,15:43:53..016,,,,
15:43:53..051,3.8269026,-0.001474,-0.00019222,0.00003089,0.00047467,-0.00055021,0.00030624,-0.0003805,-0.00037689,-0.00038653,15:43:53..059,,,,
15:43:53..183,3.55281363,-0.001474,-0.00019225,0.00003085,0.00047461,-0.00055002,0.00030616,-0.00038115,-0.00037709,-0.00038694,15:43:53..181,,,,
15:43:53..214,3.61487151,-0.001474,-0.00019254,0.000031,0.00047504,-0.00054986,0.0003075,-0.00038025,-0.00037715,-0.00038716,15:43:53..225,,,,
15:43:53..374,3.83724558,-0.001474,-0.00019261,0.00003069,0.00047444,-0.00054953,0.00030695,-0.00038031,-0.00037746,-0.00038679,15:43:53..372,,,,
15:43:53..406,3.76484472,-0.001436,-0.00019209,0.00003064,0.00047517,-0.00054856,0.00030814,-0.00038018,-0.00037813,-0.00038663,15:43:53..414,,,,
15:43:53..543,3.7751877,-0.001436,-0.00019231,0.00003052,0.00047526,-0.00054852,0.00030804,-0.00038052,-0.00037817,-0.00038664,15:43:53..541,,,,
15:43:53..576,3.70278684,-0.001401,-0.00019176,0.00003127,0.00047574,-0.00054711,0.00030966,-0.00037915,-0.00037727,-0.00038599,15:43:53..586,,,,
15:43:53..688,3.66141492,-0.001401,-0.0001916,0.0000316,0.00047566,-0.00054688,0.00030994,-0.00037877,-0.00037743,-0.00038611,15:43:53..686,,,,
15:43:53..720,25.12309842,-0.000899,-0.00019201,0.00003042,0.00047449,-0.00054777,0.00031011,-0.0003796,-0.00037863,-0.00038763,15:43:53..733,,,,
15:43:53..838,14.31985581,-0.000899,-0.00019234,0.00003047,0.000475,-0.0005478,0.0003102,-0.00037964,-0.00037876,-0.00038698,15:43:53..733,,,,
15:43:53..871,18.64322145,0.007313,-0.00019195,0.0000309,0.00047413,-0.00054792,0.00031092,-0.00037999,-0.00038041,-0.0003871,15:43:53..884,,,,
15:43:53..990,18.50876271,0.007313,-0.00019223,0.00003103,0.00047383,-0.00054723,0.00031106,-0.00037997,-0.00038087,-0.00038774,15:43:53..884,,,,
15:43:54..021,21.23413794,0.027904,-0.00019037,0.00003225,0.0004721,-0.00054416,0.00031364,-0.00037874,-0.0003865,-0.00038785,15:43:54..033,,,,
15:43:54..136,21.72542949,0.027904,-0.00019057,0.00003233,0.00047274,-0.00054431,0.00031384,-0.00037866,-0.00038654,-0.00038758,15:43:54..134,,,,
15:43:54..168,22.95624411,0.057076,-0.0001891,0.00003482,0.00047019,-0.00054233,0.00031885,-0.0003747,-0.00039361,-0.00038874,15:43:54..177,,,,
15:43:54..260,23.23550457,0.057076,-0.00018892,0.00003365,0.00046995,-0.00054248,0.00031905,-0.00037464,-0.0003941,-0.00038949,15:43:54..262,,,,
15:43:54..292,24.28531704,0.088886,-0.00018739,0.00003573,0.00046893,-0.00054096,0.00032385,-0.00037233,-0.00040187,-0.00039022,15:43:54..306,,,,
15:43:54..382,24.63180687,0.088886,-0.00018733,0.00003634,0.00046893,-0.00054135,0.00032447,-0.00037222,-0.00040146,-0.00039057,15:43:54..382,,,,
15:43:54..414,24.70937922,0.109431,-0.00018655,0.00003765,0.00046785,-0.000541,0.00032746,-0.00036904,-0.00040285,-0.00039133,15:43:54..426,,,,
15:43:54..474,25.42821633,0.109431,-0.00018661,0.00003728,0.00046752,-0.0005407,0.00032781,-0.00036878,-0.00040286,-0.00039135,15:43:54..482,,,,
15:43:54..508,25.12826991,0.128604,-0.00018495,0.00003803,0.00046293,-0.00054969,0.00031934,-0.00036788,-0.00040645,-0.00039347,15:43:54..482,,,,
