Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
16:33:39..542,6.4126476,-0.048958,-0.00021739,-0.00003631,0.0002632,-0.00039167,0.0004262,0.00057401,-0.00053168,-0.00038724,16:33:39..550,,,,
16:33:39..607,6.39196164,-0.048958,-0.0002179,-0.00003616,0.00026327,-0.0003919,0.0004261,0.00057423,-0.00053196,-0.00038758,16:33:39..550,,,,
16:33:39..639,6.3609327,-0.048958,-0.00021758,-0.00003579,0.00026355,-0.00039075,0.00042654,0.00057296,-0.00053237,-0.00038752,16:33:39..607,,,,
16:33:39..673,6.36610419,-0.0489,-0.00021794,-0.00003633,0.0002631,-0.00039193,0.00042681,0.00057439,-0.00053224,-0.00038825,16:33:39..736,,,,
16:33:39..756,6.4126476,-0.048862,-0.00021798,-0.00003636,0.00026306,-0.00039236,0.00042678,0.0005742,-0.00053242,-0.0003881,16:33:39..781,,,,
16:33:39..821,6.31438929,-0.048862,-0.00021791,-0.00003632,0.00026342,-0.00039219,0.00042673,0.00057468,-0.00053206,-0.00038779,16:33:39..781,,,,
16:33:39..855,6.39196164,-0.048743,-0.00021798,-0.00003618,0.0002631,-0.00039207,0.00042641,0.00057381,-0.0005324,-0.00038771,16:33:39..868,,,,
16:33:40..002,6.39713313,-0.048743,-0.00021784,-0.00003598,0.00026334,-0.00039193,0.00042666,0.00057329,-0.00053167,-0.00038735,16:33:40..000,,,,
16:33:40..035,6.4126476,-0.048551,-0.0002175,-0.00003608,0.00026321,-0.00039204,0.00042648,0.00057262,-0.00053185,-0.00038699,16:33:40..044,,,,
16:33:40..150,6.34024674,-0.048551,-0.00021757,-0.0000364,0.00026288,-0.00039265,0.00042558,0.00057309,-0.00053269,-0.00038747,16:33:40..148,,,,
16:33:40..182,6.38679015,-0.048411,-0.00021813,-0.00003555,0.0002631,-0.0003925,0.00042513,0.00057324,-0.00053292,-0.00038816,16:33:40..192,,,,
16:33:40..276,6.39196164,-0.048411,-0.00021731,-0.0000361,0.0002634,-0.00039231,0.00042492,0.00057352,-0.00053224,-0.00038796,16:33:40..274,,,,
16:33:40..308,6.2575029,-0.048307,-0.00021788,-0.00003608,0.00026318,-0.00039126,0.00042673,0.00057311,-0.00053212,-0.00038849,16:33:40..317,,,,
16:33:40..369,6.42816207,-0.048307,-0.00021793,-0.00003603,0.000263,-0.00039118,0.00042624,0.00057346,-0.00053223,-0.00038829,16:33:40..367,,,,
16:33:40..402,6.31956078,-0.048307,-0.00021813,-0.00003637,0.00026311,-0.00039207,0.0004268,0.00057377,-0.00053245,-0.00038785,16:33:40..367,,,,
16:33:40..434,6.34024674,-0.048248,-0.00021812,-0.00003638,0.00026296,-0.00039253,0.00042627,0.00057343,-0.00053264,-0.0003875,16:33:40..410,,,,
16:33:40..476,6.39196164,-0.048241,-0.00021816,-0.0000365,0.00026302,-0.00039243,0.00042615,0.00057376,-0.00053262,-0.00038867,16:33:40..518,,,,
16:33:40..538,6.28853184,-0.048239,-0.00021825,-0.0000364,0.00026312,-0.00039236,0.00042592,0.00057399,-0.00053251,-0.00038768,16:33:40..580,,,,
16:33:40..630,6.35058972,-0.048239,-0.000218,-0.0000363,0.00026293,-0.00039216,0.00042613,0.00057361,-0.00053242,-0.00038837,16:33:40..630,,,,
16:33:40..665,6.44367654,-0.04827,-0.00021815,-0.00003652,0.00026339,-0.00039177,0.00042648,0.00057295,-0.00053266,-0.00038794,16:33:40..673,,,,
16:33:40..819,6.40747611,-0.04827,-0.00021847,-0.00003613,0.00026257,-0.0003917,0.00042689,0.00057302,-0.00053231,-0.00038771,16:33:40..673,,,,
16:33:40..851,6.30404631,-0.04824,-0.00021831,-0.00003692,0.00026238,-0.00039293,0.00042709,0.00057318,-0.00053275,-0.00038788,16:33:40..819,,,,
16:33:40..918,6.13855863,-0.04824,-0.00021829,-0.00003686,0.00026271,-0.00039282,0.00042701,0.00057363,-0.00053215,-0.00038747,16:33:40..956,,,,
16:33:40..974,6.54193485,-0.04824,-0.00021848,-0.00003644,0.00026277,-0.00039259,0.00042704,0.00057345,-0.00053247,-0.00038781,16:33:40..956,,,,
16:33:41..008,6.42816207,-0.048253,-0.00021794,-0.00003621,0.00026325,-0.00039268,0.00042696,0.00057331,-0.00053204,-0.0003882,16:33:41..045,,,,
16:33:41..212,6.6195072,-0.048253,-0.00021837,-0.00003646,0.0002632,-0.00039306,0.00042696,0.00057346,-0.00053237,-0.00038802,16:33:41..210,,,,
16:33:41..244,6.26784588,-0.048156,-0.00021881,-0.00003669,0.00026295,-0.00039136,0.00042691,0.00057323,-0.00053264,-0.00038864,16:33:41..253,,,,
16:33:41..377,6.3092178,-0.048156,-0.00021852,-0.00003701,0.00026315,-0.00039147,0.00042703,0.00057283,-0.00053261,-0.00038795,16:33:41..375,,,,
16:33:41..408,6.36610419,-0.048143,-0.00021825,-0.00003607,0.00026357,-0.00039079,0.00042674,0.0005742,-0.00053281,-0.00038989,16:33:41..419,,,,
16:33:41..487,6.37644717,-0.048143,-0.00021842,-0.00003614,0.00026346,-0.0003905,0.00042667,0.000574,-0.00053252,-0.00038911,16:33:41..486,,,,
16:33:41..519,6.4126476,-0.048154,-0.00021812,-0.00003683,0.00026376,-0.00038961,0.00042849,0.00057478,-0.00053225,-0.00038895,16:33:41..530,,,,
16:33:41..618,6.34024674,-0.048154,-0.00021855,-0.0000363,0.00026354,-0.00039018,0.00042833,0.00057429,-0.00053243,-0.00038942,16:33:41..617,,,,
16:33:41..651,6.36610419,-0.048103,-0.00021811,-0.00003624,0.00026267,-0.00039188,0.00042621,0.00057375,-0.00053214,-0.0003887,16:33:41..660,,,,
16:33:41..782,6.40230462,-0.048103,-0.00021836,-0.00003645,0.00026293,-0.00039168,0.00042636,0.00057363,-0.00053169,-0.00038858,16:33:41..780,,,,
16:33:41..814,6.29887482,-0.047972,-0.00021861,-0.00003697,0.00026382,-0.00039006,0.00042863,0.00057379,-0.00053292,-0.00038867,16:33:41..826,,,,
16:33:41..943,6.29887482,-0.047972,-0.00021824,-0.00003694,0.00026341,-0.00038949,0.00042891,0.00057407,-0.00053239,-0.00038848,16:33:41..941,,,,
16:33:41..974,6.41781909,-0.047854,-0.00021831,-0.00003626,0.00026287,-0.00039223,0.00042722,0.00057346,-0.00053232,-0.00038779,16:33:41..986,,,,
16:33:42..034,6.32473227,-0.047854,-0.00021818,-0.00003666,0.00026303,-0.00039204,0.00042711,0.00057338,-0.00053243,-0.00038761,16:33:42..078,,,,
16:33:42..103,6.34024674,-0.047854,-0.0002183,-0.00003617,0.00026237,-0.00039204,0.00042751,0.00057353,-0.00053198,-0.00038826,16:33:42..078,,,,
16:33:42..138,6.39196164,-0.047761,-0.00021861,-0.00003679,0.00026242,-0.00039215,0.00042733,0.00057399,-0.00053286,-0.00038823,16:33:42..164,,,,
16:33:42..210,6.45401952,-0.047733,-0.00021806,-0.00003666,0.00026267,-0.00039182,0.00042772,0.00057368,-0.00053251,-0.00038835,16:33:42..266,,,,
16:33:42..281,6.30404631,-0.047733,-0.00021864,-0.00003674,0.00026286,-0.00039211,0.00042789,0.00057379,-0.00053257,-0.00038852,16:33:42..266,,,,
16:33:42..313,6.36610419,-0.047708,-0.0002185,-0.00003644,0.00026253,-0.00039266,0.00042553,0.00057312,-0.00053204,-0.00038831,16:33:42..311,,,,
16:33:42..371,6.31438929,-0.047715,-0.00021847,-0.00003616,0.00026269,-0.0003929,0.00042567,0.00057303,-0.00053224,-0.00038852,16:33:42..413,,,,
16:33:42..419,6.44367654,-0.04774,-0.00021861,-0.00003665,0.00026278,-0.00039297,0.00042545,0.00057309,-0.00053246,-0.00038875,16:33:42..468,,,,
16:33:42..473,6.27818886,-0.04774,-0.00021839,-0.00003656,0.00026311,-0.00039289,0.00042592,0.00057306,-0.00053215,-0.00038799,16:33:42..468,,,,
16:33:42..506,6.43333356,-0.047795,-0.00021827,-0.00003634,0.000262,-0.00039562,0.0004243,0.00057371,-0.0005321,-0.00038792,16:33:42..511,,,,
16:33:42..623,6.27818886,-0.047795,-0.0002181,-0.00003631,0.00026222,-0.00039561,0.0004243,0.00057346,-0.00053167,-0.00038764,16:33:42..621,,,,
16:33:42..655,6.31956078,-0.04786,-0.00021827,-0.00003674,0.00026245,-0.00039281,0.00042692,0.00057367,-0.00053245,-0.00038744,16:33:42..666,,,,
16:33:42..794,6.4126476,-0.04786,-0.00021822,-0.0000367,0.00026253,-0.00039243,0.00042721,0.00057392,-0.00053248,-0.00038825,16:33:42..793,,,,
16:33:42..826,6.41781909,-0.047783,-0.0002185,-0.00003626,0.0002628,-0.00039181,0.00042757,0.00057478,-0.00053215,-0.00038935,16:33:42..837,,,,
16:33:42..962,6.40230462,-0.047783,-0.00021848,-0.00003642,0.00026276,-0.0003915,0.00042694,0.00057448,-0.00053215,-0.00038904,16:33:42..960,,,,
16:33:42..993,6.4126476,-0.047741,-0.00021875,-0.00003714,0.00026249,-0.00039274,0.00042743,0.00057231,-0.00053361,-0.00038797,16:33:43..005,,,,
16:33:43..133,6.33507525,-0.047741,-0.00021875,-0.00003683,0.0002627,-0.00039242,0.00042733,0.00057203,-0.00053294,-0.00038805,16:33:43..131,,,,
16:33:43..164,6.35058972,-0.04776,-0.00021838,-0.00003657,0.00026316,-0.00039271,0.00042674,0.00057302,-0.00053266,-0.00038738,16:33:43..174,,,,
16:33:43..277,6.35576121,-0.04776,-0.00021874,-0.00003657,0.00026263,-0.00039269,0.00042684,0.00057284,-0.00053219,-0.00038775,16:33:43..275,,,,
16:33:43..307,6.42816207,-0.047764,-0.00021905,-0.00003774,0.00026261,-0.00039202,0.00043045,0.00057545,-0.00053227,-0.00038883,16:33:43..317,,,,
16:33:43..374,6.38161866,-0.047764,-0.00021911,-0.00003724,0.00026265,-0.00039129,0.00043012,0.00057547,-0.00053174,-0.00038911,16:33:43..372,,,,
16:33:43..416,6.28853184,-0.047764,-0.00021903,-0.00003732,0.00026273,-0.00039155,0.00043,0.00057521,-0.00053197,-0.00038905,16:33:43..372,,,,
16:33:43..450,6.3609327,-0.047832,-0.00021866,-0.00003729,0.00026292,-0.00039099,0.00042939,0.0005757,-0.00053237,-0.00039023,16:33:43..459,,,,
16:33:43..566,6.42816207,-0.047832,-0.00021913,-0.00003663,0.0002631,-0.00039142,0.00042958,0.00057556,-0.00053203,-0.00038991,16:33:43..564,,,,
16:33:43..598,6.42299058,-0.047893,-0.00021823,-0.00003652,0.0002637,-0.00038971,0.0004278,0.00057323,-0.00053342,-0.00038973,16:33:43..609,,,,
16:33:43..715,6.27301737,-0.047893,-0.00021839,-0.00003681,0.00026342,-0.00038931,0.00042759,0.00057366,-0.00053324,-0.00038993,16:33:43..609,,,,
16:33:43..748,6.35576121,-0.047973,-0.00021835,-0.00003636,0.00026297,-0.00039104,0.00042623,0.00057307,-0.00053194,-0.00038857,16:33:43..758,,,,
16:33:43..869,6.28853184,-0.047973,-0.00021868,-0.00003669,0.0002631,-0.00039103,0.00042618,0.00057272,-0.00053219,-0.00038889,16:33:43..867,,,,
16:33:43..902,6.44884803,-0.047956,-0.00021899,-0.00003715,0.00026279,-0.00039131,0.00042873,0.00057425,-0.000532,-0.00038917,16:33:43..911,,,,
16:33:44..019,6.36610419,-0.047956,-0.0002188,-0.00003674,0.00026273,-0.00039138,0.0004287,0.00057403,-0.00053195,-0.00038922,16:33:44..017,,,,
16:33:44..051,6.37127568,-0.047894,-0.00021882,-0.000037,0.0002625,-0.0003917,0.00043098,0.00057353,-0.0005327,-0.00038844,16:33:44..060,,,,
16:33:44..171,6.41781909,-0.047894,-0.00021905,-0.00003692,0.00026234,-0.00039177,0.00043079,0.00057383,-0.00053217,-0.00038828,16:33:44..169,,,,
16:33:44..202,6.39196164,-0.04783,-0.00021836,-0.00003587,0.00026349,-0.00038948,0.00042581,0.00057027,-0.00053256,-0.00038727,16:33:44..216,,,,
16:33:44..274,6.42816207,-0.047819,-0.00021816,-0.00003542,0.00026399,-0.0003895,0.00042572,0.00057066,-0.00053235,-0.00038754,16:33:44..331,,,,
16:33:44..346,6.41781909,-0.047819,-0.00021821,-0.00003555,0.00026346,-0.00038915,0.00042548,0.00057014,-0.00053226,-0.00038775,16:33:44..331,,,,
16:33:44..380,6.28336035,-0.047815,-0.00021823,-0.00003569,0.00026367,-0.00038721,0.00043306,0.00057038,-0.00053163,-0.00038663,16:33:44..448,,,,
16:33:44..536,6.38679015,-0.047815,-0.00021863,-0.0000357,0.0002636,-0.00038754,0.00043329,0.00057048,-0.00053142,-0.00038694,16:33:44..547,,,,
16:33:44..580,6.36610419,-0.047815,-0.00021835,-0.00003598,0.00026337,-0.00038721,0.00043349,0.00057061,-0.00053162,-0.00038706,16:33:44..547,,,,
16:33:44..612,6.36610419,-0.047859,-0.00021691,-0.00003316,0.00026563,-0.00038455,0.00043611,0.00056594,-0.00052982,-0.00038047,16:33:44..634,,,,
16:33:44..712,6.33507525,-0.047859,-0.00021671,-0.00003347,0.00026478,-0.00038472,0.00043629,0.00056566,-0.00053036,-0.00038106,16:33:44..711,,,,
16:33:44..745,6.38161866,-0.047825,-0.00021696,-0.00003396,0.00026527,-0.00038078,0.00044592,0.00056774,-0.00053045,-0.00038408,16:33:44..756,,,,
16:33:44..856,6.47470548,-0.047825,-0.00021702,-0.00003333,0.00026551,-0.00038083,0.00044652,0.00056733,-0.00053121,-0.00038373,16:33:44..854,,,,
16:33:44..887,6.31956078,-0.047731,-0.00021687,-0.00003313,0.00026575,-0.00037776,0.00045415,0.00056833,-0.00053129,-0.00038547,16:33:44..854,,,,
16:33:44..956,6.37127568,-0.047731,-0.00021695,-0.00003299,0.00026605,-0.00037791,0.0004539,0.00056823,-0.00053126,-0.00038527,16:33:44..984,,,,
16:33:45..016,6.49539144,-0.047731,-0.00021653,-0.00003314,0.00026588,-0.0003782,0.00045454,0.00056812,-0.00053141,-0.00038516,16:33:44..984,,,,
16:33:45..049,6.32473227,-0.047675,-0.00021681,-0.00003302,0.00026607,-0.00038406,0.00047601,0.00056906,-0.00053139,-0.00038347,16:33:45..069,,,,
16:33:45..169,6.37127568,-0.047675,-0.00021667,-0.00003282,0.00026565,-0.00038374,0.00047561,0.00056919,-0.00053153,-0.00038372,16:33:45..167,,,,
16:33:45..202,6.39196164,-0.047617,-0.000216,-0.00003097,0.00026756,-0.00037925,0.00047393,0.00056804,-0.00053141,-0.00038361,16:33:45..212,,,,
16:33:45..338,6.34541823,-0.047617,-0.00021605,-0.00003077,0.00026749,-0.00037926,0.00047397,0.00056784,-0.00053131,-0.00038411,16:33:45..336,,,,
16:33:45..370,6.29887482,-0.047553,-0.00021505,-0.00003009,0.00026867,-0.00037313,0.00049875,0.00056844,-0.00053016,-0.00038138,16:33:45..336,,,,
16:33:45..443,6.45401952,-0.047534,-0.00021488,-0.00003034,0.0002684,-0.00037283,0.00049827,0.00056867,-0.00052998,-0.00038157,16:33:45..480,,,,
16:33:45..542,6.25233141,-0.047534,-0.00021482,-0.00002954,0.00026845,-0.00037293,0.00049862,0.0005687,-0.00052954,-0.00038129,16:33:45..542,,,,
16:33:45..577,6.31956078,-0.047511,-0.0002128,-0.00002704,0.00027075,-0.00036604,0.00051558,0.00056871,-0.00052926,-0.00037953,16:33:45..586,,,,
16:33:45..668,6.40230462,-0.047511,-0.00021254,-0.00002716,0.00027071,-0.00036556,0.00051591,0.00056895,-0.00052958,-0.00037942,16:33:45..719,,,,
16:33:45..737,6.40230462,-0.047511,-0.00021288,-0.00002739,0.00027062,-0.00036527,0.00051585,0.00056841,-0.00052965,-0.00038001,16:33:45..719,,,,
16:33:45..768,6.43850505,-0.047437,-0.00021315,-0.00002771,0.00027307,-0.00035401,0.00052113,0.00056794,-0.00053005,-0.00038112,16:33:45..804,,,,
16:33:45..902,6.37127568,-0.047437,-0.00021336,-0.00002801,0.00027343,-0.00035404,0.00052153,0.00056816,-0.00052996,-0.00038066,16:33:45..900,,,,
16:33:45..933,6.41781909,-0.047313,-0.00021479,-0.00003016,0.00027136,-0.00035246,0.00053003,0.00056909,-0.00053051,-0.00038294,16:33:45..942,,,,
