Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
17:02:30..685,5.35766364,-0.040276,-0.00022972,-0.00004645,0.00025358,-0.00040343,0.00040967,0.00068363,-0.00055254,-0.00040519,17:02:30..647,,,,
17:02:30..753,5.35249215,-0.040276,-0.00022984,-0.00004631,0.0002533,-0.00040354,0.00040981,0.00068333,-0.00055321,-0.00040494,17:02:30..798,,,,
17:02:30..812,5.3783496,-0.040281,-0.00022975,-0.00004642,0.00025337,-0.00040366,0.00040966,0.00068341,-0.00055224,-0.00040467,17:02:30..843,,,,
17:02:30..864,5.24389086,-0.040281,-0.00023005,-0.00004704,0.00025354,-0.00040361,0.00040983,0.00068334,-0.00055269,-0.0004054,17:02:30..843,,,,
17:02:30..896,5.07840318,-0.040248,-0.00022982,-0.0000452,0.0002543,-0.0003998,0.00044135,0.00067952,-0.00055167,-0.00040554,17:02:30..889,,,,
17:02:30..972,5.26457682,-0.040248,-0.00022987,-0.0000451,0.00025441,-0.0004001,0.00044123,0.00068,-0.00055166,-0.00040548,17:02:30..932,,,,
17:02:31..006,5.51280834,-0.040221,-0.00023092,-0.00004806,0.0002533,-0.00039781,0.00043341,0.00070121,-0.00054492,-0.00039591,17:02:30..977,,,,
17:02:31..136,5.47143642,-0.040221,-0.00023086,-0.00004804,0.00025384,-0.00039802,0.00043317,0.0007015,-0.00054489,-0.00039542,17:02:31..175,,,,
17:02:31..181,5.18183298,-0.040221,-0.00023126,-0.00004806,0.00025387,-0.00039803,0.00043396,0.00070158,-0.00054496,-0.00039588,17:02:31..175,,,,
17:02:31..215,5.29560576,-0.040259,-0.00023092,-0.00004912,0.00025221,-0.00040407,0.00042623,0.00069763,-0.0005442,-0.00039834,17:02:31..220,,,,
17:02:31..321,5.4300645,-0.040259,-0.00023073,-0.00004946,0.00025209,-0.00040395,0.00042706,0.00069768,-0.00054452,-0.00039787,17:02:31..318,,,,
17:02:31..353,5.24389086,-0.040378,-0.00023168,-0.00004862,0.00025388,-0.00039548,0.00045839,0.00069983,-0.00053812,-0.00038991,17:02:31..361,,,,
17:02:31..434,5.23871937,-0.040378,-0.00023125,-0.00004835,0.00025343,-0.00039576,0.00045871,0.00069953,-0.00053797,-0.00039007,17:02:31..471,,,,
17:02:31..478,5.30077725,-0.040378,-0.00023179,-0.00004801,0.00025365,-0.00039538,0.00045906,0.00069911,-0.00053832,-0.00039007,17:02:31..471,,,,
17:02:31..511,5.43523599,-0.040506,-0.00023139,-0.00004735,0.0002534,-0.00039725,0.0004614,0.00069447,-0.00054366,-0.00039594,17:02:31..516,,,,
17:02:31..660,5.43523599,-0.040506,-0.0002311,-0.00004713,0.00025369,-0.00039727,0.00046189,0.00069481,-0.00054338,-0.00039563,17:02:31..658,,,,
