Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
17:17:32..655,5.31112023,0.00828,-0.00008167,0.00015507,0.0005153,-0.00030805,0.00073325,0.00019137,-0.00034947,-0.00013376,17:17:32..700,,,,
17:17:32..783,5.3266347,0.00828,-0.0000815,0.00015511,0.00051551,-0.00030773,0.000733,0.00019082,-0.00034962,-0.00013339,17:17:32..782,,,,
17:17:32..816,5.31112023,0.008217,-0.00008124,0.00015516,0.00051563,-0.00030688,0.00073344,0.00019052,-0.00035023,-0.00013407,17:17:32..825,,,,
17:17:32..885,5.3266347,0.008217,-0.0000813,0.0001552,0.0005154,-0.00030717,0.00073322,0.00019071,-0.00035003,-0.0001335,17:17:32..936,,,,
17:17:32..943,5.29560576,0.008217,-0.00008123,0.00015532,0.00051535,-0.00030728,0.00073319,0.00019104,-0.00034978,-0.00013323,17:17:32..936,,,,
17:17:32..977,5.25423384,0.008196,-0.00008152,0.00015504,0.00051489,-0.00030739,0.00073318,0.0001904,-0.00035035,-0.00013356,17:17:32..980,,,,
17:17:33..014,5.24906235,0.008196,-0.00008168,0.00015572,0.00051537,-0.00030721,0.00073315,0.00019104,-0.00034935,-0.00013335,17:17:32..980,,,,
17:17:33..045,5.31629172,0.008253,-0.00008151,0.00015526,0.00051549,-0.00030752,0.00073344,0.00019065,-0.00034947,-0.00013334,17:17:33..095,,,,
17:17:33..204,5.28526278,0.008253,-0.00008147,0.00015548,0.00051564,-0.00030689,0.00073343,0.00019066,-0.00034992,-0.00013346,17:17:33..215,,,,
17:17:33..257,5.33180619,0.008253,-0.00008124,0.00015531,0.00051553,-0.00030688,0.00073321,0.00019071,-0.00034977,-0.00013344,17:17:33..215,,,,
17:17:33..292,5.29560576,0.008253,-0.00008111,0.0001554,0.00051538,-0.00030768,0.00073326,0.00019099,-0.00034976,-0.00013353,17:17:33..301,,,,
17:17:33..341,5.30594874,0.008677,-0.0000815,0.00015501,0.00051538,-0.00030748,0.00073315,0.00019075,-0.00034968,-0.00013337,17:17:33..416,,,,
17:17:33..460,5.33697768,0.008677,-0.00008178,0.00015544,0.00051521,-0.00030766,0.00073306,0.00019074,-0.0003499,-0.00013331,17:17:33..460,,,,
17:17:33..493,5.31629172,0.009144,-0.00008165,0.00015522,0.00051487,-0.00030791,0.00073301,0.000191,-0.00034981,-0.00013332,17:17:33..502,,,,
17:17:33..644,5.34214917,0.009144,-0.00008162,0.00015527,0.00051557,-0.00030723,0.00073304,0.00019079,-0.00034967,-0.00013321,17:17:33..642,,,,
17:17:33..676,5.32146321,0.010553,-0.00008175,0.00015497,0.00051509,-0.00030759,0.00073318,0.00019093,-0.00034999,-0.00013379,17:17:33..686,,,,
17:17:33..801,5.30077725,0.010553,-0.00008161,0.00015548,0.00051515,-0.00030733,0.00073344,0.00019143,-0.00034985,-0.00013382,17:17:33..799,,,,
17:17:33..834,5.29560576,0.011195,-0.00008186,0.00015538,0.00051529,-0.00030732,0.00073278,0.0001909,-0.00035013,-0.0001337,17:17:33..843,,,,
17:17:33..965,5.3266347,0.011195,-0.0000814,0.00015512,0.00051534,-0.00030687,0.00073346,0.00019116,-0.00034967,-0.0001334,17:17:33..965,,,,
17:17:34..000,5.29560576,0.011572,-0.00008127,0.00015543,0.00051571,-0.00030725,0.00073296,0.00019094,-0.00034972,-0.00013386,17:17:34..009,,,,
17:17:34..101,5.31112023,0.011572,-0.00008215,0.00015537,0.00051526,-0.0003073,0.00073307,0.00019115,-0.00034971,-0.00013319,17:17:34..099,,,,
17:17:34..134,5.32146321,0.011806,-0.00008113,0.00015585,0.00051564,-0.0003067,0.00073349,0.00019142,-0.00034997,-0.00013333,17:17:34..144,,,,
17:17:34..282,5.29043427,0.011806,-0.00008135,0.00015564,0.00051594,-0.00030722,0.00073318,0.00019117,-0.0003494,-0.00013327,17:17:34..280,,,,
17:17:34..314,5.26974831,0.012115,-0.00008175,0.00015571,0.00051601,-0.00030697,0.00073354,0.00019063,-0.00034977,-0.00013339,17:17:34..326,,,,
17:17:34..434,5.37317811,0.012115,-0.00008075,0.000155,0.00051584,-0.00030671,0.00073344,0.0001908,-0.00034942,-0.00013313,17:17:34..435,,,,
17:17:34..465,5.31112023,0.012223,-0.00008097,0.00015527,0.00051565,-0.00030751,0.00073369,0.00019137,-0.00035019,-0.00013332,17:17:34..435,,,,
