Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
16:19:10..111,5.09908914,0.000773,-0.00005029,0.00018463,0.0003933,-0.00018623,0.00113637,0.00010841,-0.00028218,-0.00004328,16:19:10..147,,,,
16:19:10..172,5.09908914,0.000773,-0.0000497,0.00018436,0.00039376,-0.00018616,0.00113669,0.00010873,-0.00028257,-0.00004282,16:19:10..147,,,,
16:19:10..203,5.00600232,0.000688,-0.00004969,0.00018419,0.00039292,-0.00018781,0.00113593,0.00010895,-0.00028206,-0.000043,16:19:10..190,,,,
16:19:10..248,5.07323169,0.000647,-0.00004984,0.0001844,0.0003931,-0.00018688,0.00113615,0.000109,-0.0002821,-0.00004319,16:19:10..245,,,,
16:19:10..321,5.08357467,0.000647,-0.00005012,0.0001844,0.00039307,-0.00018763,0.0011359,0.00010843,-0.00028207,-0.00004331,16:19:10..292,,,,
16:19:10..355,5.09908914,0.000737,-0.00004965,0.00018474,0.00039301,-0.00018744,0.00113621,0.00010855,-0.00028226,-0.0000432,16:19:10..370,,,,
16:19:10..438,5.08874616,0.000737,-0.00005004,0.00018443,0.00039292,-0.00018724,0.00113629,0.0001084,-0.00028187,-0.00004305,16:19:10..521,,,,
16:19:10..532,5.09908914,0.000737,-0.00005014,0.00018424,0.00039268,-0.00018699,0.00113607,0.00010875,-0.00028215,-0.00004357,16:19:10..521,,,,
16:19:10..565,5.0680602,0.000883,-0.00005021,0.00018424,0.00039307,-0.00018691,0.00113607,0.00010836,-0.00028262,-0.00004364,16:19:10..577,,,,
16:19:10..676,5.10943212,0.000883,-0.00005032,0.00018415,0.00039339,-0.00018698,0.00113596,0.00010857,-0.00028192,-0.0000431,16:19:10..675,,,,
16:19:10..708,5.0680602,0.00094,-0.00004996,0.00018424,0.00039324,-0.00018692,0.00113642,0.00010894,-0.00028227,-0.00004279,16:19:10..719,,,,
16:19:10..741,5.04220275,0.00094,-0.00004999,0.00018438,0.0003933,-0.00018698,0.00113621,0.00010852,-0.00028222,-0.0000432,16:19:10..719,,,,
