Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
16:40:21..924,3.47006979,-0.000636,-0.00005287,0.00018092,0.00039665,-0.00021027,0.0011113,0.00008002,-0.00028124,-0.00004437,16:40:21..896,,,,
16:40:22..019,3.48558426,-0.00067,-0.00005215,0.00018097,0.0003971,-0.00021033,0.00111149,0.00008024,-0.0002817,-0.00004464,16:40:22..061,,,,
16:40:22..076,3.47524128,-0.00067,-0.00005271,0.00018062,0.00039682,-0.00021035,0.00111086,0.00008009,-0.00028125,-0.00004409,16:40:22..061,,,,
16:40:22..110,3.45972681,-0.000727,-0.00005268,0.0001807,0.00039695,-0.00021076,0.00111135,0.00007991,-0.00028154,-0.00004444,16:40:22..104,,,,
16:40:22..224,3.48558426,-0.000727,-0.00005221,0.00018065,0.0003963,-0.00021059,0.00111136,0.00007994,-0.00028137,-0.00004421,16:40:22..224,,,,
16:40:22..258,3.44938383,-0.000663,-0.00005253,0.00018052,0.00039707,-0.00021044,0.00111096,0.00007983,-0.00028185,-0.00004416,16:40:22..267,,,,
16:40:22..324,3.48558426,-0.000663,-0.00005228,0.00018068,0.00039674,-0.00021053,0.00111096,0.00007986,-0.00028134,-0.00004423,16:40:22..385,,,,
16:40:22..394,3.50109873,-0.000663,-0.00005232,0.00018119,0.00039728,-0.00021018,0.00111068,0.00007978,-0.00028158,-0.00004407,16:40:22..385,,,,
16:40:22..426,3.48041277,-0.000606,-0.00005261,0.0001807,0.00039702,-0.00021085,0.00111122,0.00007953,-0.00028159,-0.00004409,16:40:22..429,,,,
16:40:22..475,3.44938383,-0.000581,-0.00005241,0.00018092,0.00039663,-0.00021102,0.00111096,0.00007994,-0.00028128,-0.00004456,16:40:22..555,,,,
16:40:22..612,3.44421234,-0.000581,-0.00005205,0.00018076,0.00039709,-0.00021082,0.00111099,0.00008009,-0.00028134,-0.00004419,16:40:22..612,,,,
16:40:22..645,3.52695618,-0.000588,-0.00005225,0.00018032,0.00039726,-0.00021078,0.00111046,0.00007961,-0.00028134,-0.00004404,16:40:22..655,,,,
16:40:22..699,3.50627022,-0.000588,-0.0000522,0.0001803,0.00039692,-0.00021099,0.00111081,0.00007999,-0.00028151,-0.00004428,16:40:22..770,,,,
16:40:22..778,3.45455532,-0.000588,-0.00005259,0.00018039,0.00039646,-0.00021114,0.00111088,0.00007966,-0.00028148,-0.00004404,16:40:22..770,,,,
16:40:22..812,3.52695618,-0.000535,-0.00005233,0.00018054,0.00039667,-0.00021098,0.00111098,0.00008002,-0.00028143,-0.00004401,16:40:22..813,,,,
16:40:22..863,3.48558426,-0.000535,-0.00005244,0.0001801,0.00039642,-0.00021106,0.00111063,0.00007954,-0.00028184,-0.00004432,16:40:22..942,,,,
16:40:22..951,3.45972681,-0.000535,-0.00005197,0.00018086,0.00039689,-0.00021075,0.00111134,0.00007987,-0.00028166,-0.00004421,16:40:22..942,,,,
16:40:22..985,3.49592724,-0.000475,-0.00005239,0.00018027,0.00039674,-0.00021034,0.00111095,0.00007983,-0.00028165,-0.00004423,16:40:22..987,,,,
16:40:23..056,3.53212767,-0.000345,-0.00005231,0.00018058,0.00039687,-0.0002108,0.00111119,0.00007972,-0.00028168,-0.00004421,16:40:23..147,,,,
16:40:23..196,3.47524128,-0.000345,-0.00005234,0.00018058,0.00039691,-0.00021001,0.00111121,0.00007971,-0.00028137,-0.00004447,16:40:23..198,,,,
16:40:23..230,3.48558426,-0.000323,-0.00005217,0.0001804,0.0003965,-0.0002112,0.00111069,0.00007953,-0.00028173,-0.00004418,16:40:23..242,,,,
16:40:23..264,3.45972681,-0.000293,-0.00005204,0.00018108,0.00039713,-0.00021066,0.00111097,0.00007981,-0.00028177,-0.00004401,16:40:23..286,,,,
16:40:23..386,3.49075575,-0.000293,-0.00005204,0.00018054,0.00039662,-0.00021024,0.00111099,0.00007995,-0.00028117,-0.00004389,16:40:23..460,,,,
16:40:23..469,3.49592724,-0.000293,-0.0000521,0.00018094,0.00039739,-0.0002104,0.00111089,0.00007957,-0.00028171,-0.0000443,16:40:23..460,,,,
16:40:23..504,3.52178469,-0.000365,-0.0000526,0.00018113,0.00039673,-0.00021019,0.00111123,0.00007977,-0.00028155,-0.00004449,16:40:23..565,,,,
16:40:23..636,3.51144171,-0.000365,-0.00005258,0.00018091,0.00039733,-0.00021045,0.00111147,0.00007965,-0.0002814,-0.00004429,16:40:23..649,,,,
16:40:23..676,3.47524128,-0.000365,-0.0000525,0.000181,0.00039754,-0.00021011,0.00111095,0.00008013,-0.00028166,-0.00004452,16:40:23..649,,,,
16:40:23..711,3.44938383,-0.000394,-0.00005243,0.00018035,0.00039677,-0.00021081,0.00111083,0.00007961,-0.00028153,-0.00004425,16:40:23..736,,,,
16:40:23..849,3.48041277,-0.000394,-0.00005284,0.00018043,0.00039639,-0.00021093,0.00111073,0.00007947,-0.00028123,-0.00004424,16:40:23..849,,,,
16:40:23..881,3.49592724,-0.000482,-0.00005225,0.00018037,0.00039668,-0.00021108,0.00111075,0.00007994,-0.00028123,-0.00004444,16:40:23..894,,,,
16:40:24..007,3.44938383,-0.000482,-0.00005236,0.00018107,0.00039682,-0.00021054,0.0011111,0.00007955,-0.00028181,-0.00004414,16:40:24..005,,,,
16:40:24..039,3.42869787,-0.000544,-0.00005226,0.00018084,0.00039715,-0.00021084,0.00111097,0.00007969,-0.00028128,-0.00004416,16:40:24..049,,,,
16:40:24..087,3.5166132,-0.000571,-0.0000523,0.00018072,0.00039688,-0.00021038,0.0011112,0.00007976,-0.00028213,-0.00004443,16:40:24..142,,,,
16:40:24..207,3.43386936,-0.000571,-0.00005237,0.00018095,0.0003968,-0.00021014,0.00111127,0.00008008,-0.00028124,-0.00004414,16:40:24..142,,,,
16:40:24..241,3.4648983,-0.000559,-0.00005249,0.00018129,0.00039694,-0.00021056,0.00111146,0.00008008,-0.00028109,-0.00004425,16:40:24..263,,,,
16:40:24..328,3.48041277,-0.000559,-0.00005229,0.00018098,0.00039703,-0.00021082,0.00111135,0.00007991,-0.00028164,-0.0000443,16:40:24..394,,,,
