Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
16:28:29..986,3.97687581,-0.010895,-0.00004531,0.00018463,0.00039143,-0.00019116,0.00112397,0.00007854,-0.00028122,-0.00003911,16:28:06..100,,,,
16:28:30..049,3.97170432,-0.010895,-0.00004493,0.00018454,0.00039185,-0.00019184,0.00112406,0.00007863,-0.00028097,-0.00003841,16:28:06..100,,,,
16:28:30..081,3.83207409,-0.010895,-0.00004531,0.0001852,0.00039163,-0.00019069,0.00112419,0.00007897,-0.00028158,-0.00003926,16:28:06..100,,,,
16:28:30..130,3.85793154,-0.010895,-0.000045,0.00018529,0.00039172,-0.00019053,0.00112404,0.00007862,-0.00028087,-0.00003859,16:28:06..100,,,,
16:28:30..163,3.90447495,-0.010895,-0.0000449,0.00018496,0.00039204,-0.00018996,0.00112434,0.00007872,-0.00028153,-0.00003906,16:28:06..100,,,,
16:28:30..198,3.89930346,-0.010895,-0.00004505,0.00018473,0.00039164,-0.00019053,0.00112447,0.00007826,-0.00028166,-0.00003891,16:28:06..100,,,,
16:28:30..263,3.98721879,-0.010895,-0.0000453,0.00018541,0.00039219,-0.00019032,0.00112435,0.00007903,-0.00028141,-0.0000392,16:28:06..100,,,,
16:28:30..303,3.91481793,-0.010895,-0.00004536,0.00018502,0.00039196,-0.00019088,0.00112425,0.00007887,-0.00028103,-0.00003907,16:28:06..100,,,,
16:28:30..337,3.95618985,-0.010895,-0.00004461,0.00018495,0.00039164,-0.00019107,0.00112351,0.00007901,-0.00028122,-0.00003882,16:28:06..100,,,,
16:28:30..372,3.95101836,-0.010895,-0.00004469,0.00018457,0.00039189,-0.00019124,0.00112401,0.00007895,-0.0002811,-0.00003858,16:28:06..100,,,,
16:28:30..426,3.93550389,-0.010895,-0.00004529,0.00018423,0.00039116,-0.00019112,0.00112413,0.00007895,-0.00028127,-0.00003892,16:28:06..100,,,,
16:28:30..488,3.94067538,-0.010895,-0.0000449,0.00018477,0.00039136,-0.00019103,0.00112371,0.00007864,-0.0002808,-0.00003904,16:28:06..100,,,,
16:28:30..521,3.83724558,-0.010895,-0.00004486,0.000185,0.00039156,-0.00019157,0.00112421,0.00007848,-0.00028147,-0.00003858,16:28:06..100,,,,
16:28:30..561,3.90964644,-0.010895,-0.00004493,0.00018477,0.00039155,-0.0001912,0.00112413,0.00007898,-0.00028123,-0.00003838,16:28:06..100,,,,
16:28:30..594,3.89930346,-0.010895,-0.00004469,0.00018518,0.00039191,-0.00019083,0.00112394,0.00007851,-0.00028114,-0.00003883,16:28:06..100,,,,
16:28:30..629,3.84758856,-0.010895,-0.00004454,0.0001854,0.00039172,-0.00019065,0.00112423,0.00007903,-0.00028124,-0.00003886,16:28:06..100,,,,
16:28:30..679,3.9303324,-0.010895,-0.00004485,0.00018515,0.00039183,-0.00019085,0.00112435,0.00007852,-0.00028116,-0.00003853,16:28:06..100,,,,
16:28:30..740,3.95101836,-0.010895,-0.00004488,0.00018491,0.00039202,-0.00019057,0.00112412,0.00007875,-0.00028099,-0.00003852,16:28:06..100,,,,
16:28:30..774,4.0337622,-0.010895,-0.00004459,0.00018496,0.00039127,-0.00019138,0.00112398,0.0000792,-0.00028112,-0.00003886,16:28:06..100,,,,
16:28:30..808,3.97170432,-0.010895,-0.00004483,0.0001845,0.00039178,-0.00019099,0.00112453,0.0000789,-0.00028105,-0.00003872,16:28:06..100,,,,
16:28:30..863,3.89930346,-0.010895,-0.00004445,0.00018515,0.00039183,-0.00019078,0.00112401,0.00007902,-0.00028121,-0.00003869,16:28:06..100,,,,
16:28:30..899,3.89930346,-0.010895,-0.00004501,0.00018476,0.00039158,-0.00019075,0.00112459,0.0000788,-0.00028137,-0.00003837,16:28:06..100,,,,
16:28:30..932,3.90447495,-0.010895,-0.00004483,0.00018517,0.00039229,-0.00019054,0.00112398,0.00007893,-0.00028128,-0.0000388,16:28:06..100,,,,
16:28:31..095,3.90964644,-0.010895,-0.00004485,0.00018486,0.00039178,-0.00019038,0.00112437,0.00007932,-0.00028128,-0.0000386,16:28:06..100,,,,
16:28:31..127,3.92516091,-0.010895,-0.00004458,0.00018491,0.00039178,-0.00019076,0.00112374,0.00007886,-0.00028124,-0.00003863,16:28:06..100,,,,
16:28:31..272,3.93550389,-0.010895,-0.00004434,0.00018498,0.00039222,-0.00019068,0.00112414,0.00007885,-0.00028126,-0.00003816,16:28:06..100,,,,
16:28:31..305,3.94584687,-0.010895,-0.00004493,0.00018485,0.00039113,-0.00019109,0.00112422,0.0000791,-0.00028121,-0.00003833,16:28:06..100,,,,
16:28:31..468,3.89413197,-0.010895,-0.00004454,0.00018482,0.00039136,-0.00019163,0.00112416,0.00007867,-0.00028108,-0.0000386,16:28:06..100,,,,
16:28:31..499,3.88896048,-0.010895,-0.00004469,0.00018539,0.00039182,-0.00018983,0.00112378,0.0000788,-0.00028125,-0.00003862,16:28:06..100,,,,
16:28:31..539,3.89413197,-0.010895,-0.0000449,0.00018509,0.00039213,-0.00019059,0.00112416,0.00007888,-0.00028136,-0.00003913,16:28:06..100,,,,
16:28:31..571,3.91481793,-0.010895,-0.00004458,0.00018473,0.00039126,-0.00019133,0.00112404,0.00007912,-0.00028143,-0.00003846,16:28:06..100,,,,
16:28:31..613,3.89930346,-0.010895,-0.00004472,0.00018474,0.00039177,-0.00019138,0.00112393,0.00007875,-0.00028108,-0.00003848,16:28:06..100,,,,
16:28:31..668,3.95618985,-0.010895,-0.00004469,0.00018458,0.00039129,-0.00019138,0.00112417,0.00007865,-0.00028107,-0.00003899,16:28:06..100,,,,
16:28:31..702,3.97687581,-0.010895,-0.00004483,0.00018473,0.0003919,-0.00019107,0.00112383,0.00007895,-0.00028116,-0.00003894,16:28:06..100,,,,
16:28:31..741,3.90447495,-0.010895,-0.00004509,0.00018486,0.00039203,-0.00019096,0.00112395,0.00007922,-0.00028114,-0.0000388,16:28:06..100,,,,
