Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
17:08:45..373,3.91998942,-0.013749,-0.00007427,0.00016095,0.00052012,-0.0003026,0.00073857,0.00020115,-0.00034581,-0.00012724,17:08:07..182,,,,
17:08:45..412,3.91481793,-0.013749,-0.00007433,0.00016106,0.00052,-0.00030275,0.00073865,0.00020142,-0.00034535,-0.00012703,17:08:07..182,,,,
17:08:45..468,3.97170432,-0.013749,-0.00007447,0.00016084,0.00051976,-0.00030286,0.00073858,0.00020107,-0.00034537,-0.00012734,17:08:07..182,,,,
17:08:45..502,3.96653283,-0.013749,-0.00007498,0.00016026,0.00051943,-0.00030308,0.00073827,0.00020088,-0.00034515,-0.00012697,17:08:07..182,,,,
17:08:45..548,3.90964644,-0.013749,-0.00007417,0.0001608,0.00052012,-0.00030241,0.00073868,0.00020167,-0.00034542,-0.00012691,17:08:07..182,,,,
17:08:45..624,3.95618985,-0.013749,-0.00007429,0.0001606,0.00051933,-0.00030323,0.00073848,0.0002013,-0.00034552,-0.00012696,17:08:07..182,,,,
17:08:45..656,3.9303324,-0.013749,-0.00007382,0.00016088,0.00051942,-0.00030283,0.00073829,0.00020164,-0.00034494,-0.00012676,17:08:07..182,,,,
17:08:45..690,3.95618985,-0.013749,-0.00007425,0.00016096,0.00051974,-0.00030268,0.00073843,0.0002011,-0.00034548,-0.00012712,17:08:07..182,,,,
17:08:45..748,3.90964644,-0.013749,-0.00007461,0.00016088,0.00051984,-0.00030241,0.00073839,0.00020068,-0.00034596,-0.00012721,17:08:07..182,,,,
17:08:45..802,3.94584687,-0.013749,-0.00007492,0.00016123,0.00052029,-0.00030257,0.00073858,0.00020098,-0.00034564,-0.00012721,17:08:07..182,,,,
17:08:45..837,3.88378899,-0.013749,-0.00007457,0.00016089,0.00051955,-0.00030272,0.0007384,0.00020155,-0.00034562,-0.00012704,17:08:07..182,,,,
17:08:45..903,3.91998942,-0.013749,-0.00007438,0.00016065,0.00051944,-0.00030282,0.00073815,0.00020079,-0.00034491,-0.00012706,17:08:07..182,,,,
17:08:45..935,3.94067538,-0.013749,-0.00007483,0.00016043,0.00051965,-0.00030287,0.00073839,0.00020114,-0.00034516,-0.00012723,17:08:07..182,,,,
17:08:45..968,3.96653283,-0.013749,-0.00007446,0.00016035,0.00051958,-0.00030289,0.00073842,0.00020104,-0.00034535,-0.00012713,17:08:07..182,,,,
17:08:46..069,3.93550389,-0.013749,-0.00007447,0.00016038,0.00051957,-0.00030314,0.00073858,0.00020132,-0.00034522,-0.00012695,17:08:07..182,,,,
17:08:46..102,3.94067538,-0.013749,-0.00007422,0.00016086,0.00051949,-0.00030282,0.00073824,0.00020145,-0.00034535,-0.00012747,17:08:07..182,,,,
17:08:46..167,3.89413197,-0.013749,-0.00007428,0.00016085,0.00051933,-0.00030302,0.00073826,0.00020117,-0.00034537,-0.00012725,17:08:07..182,,,,
17:08:46..205,3.9303324,-0.013749,-0.00007464,0.00016049,0.00051952,-0.00030294,0.00073797,0.0002014,-0.00034569,-0.00012718,17:08:07..182,,,,
17:08:46..239,3.95618985,-0.013749,-0.00007455,0.00016046,0.0005194,-0.00030276,0.00073843,0.00020104,-0.00034533,-0.00012738,17:08:07..182,,,,
17:08:46..298,3.9303324,-0.013749,-0.00007471,0.00016056,0.00051985,-0.00030246,0.00073827,0.00020097,-0.00034587,-0.00012718,17:08:07..182,,,,
17:08:46..336,3.89413197,-0.013749,-0.00007463,0.00016062,0.00051978,-0.00030266,0.00073841,0.00020091,-0.00034578,-0.00012733,17:08:07..182,,,,
17:08:46..369,3.93550389,-0.013749,-0.00007421,0.00016047,0.00051955,-0.00030291,0.00073845,0.00020118,-0.00034546,-0.00012716,17:08:07..182,,,,
17:08:46..463,3.89930346,-0.013749,-0.0000744,0.00016063,0.00051951,-0.00030304,0.00073874,0.00020166,-0.00034555,-0.00012716,17:08:07..182,,,,
17:08:46..495,3.9303324,-0.013749,-0.0000745,0.00016109,0.00052011,-0.00030218,0.00073862,0.00020153,-0.00034599,-0.00012721,17:08:07..182,,,,
17:08:46..572,3.90964644,-0.013749,-0.00007467,0.0001612,0.00051992,-0.00030202,0.00073851,0.00020135,-0.00034546,-0.00012711,17:08:07..182,,,,
17:08:46..612,3.9820473,-0.013749,-0.00007423,0.00016094,0.00051958,-0.00030264,0.00073802,0.00020115,-0.00034541,-0.00012713,17:08:07..182,,,,
17:08:46..645,3.96136134,-0.013749,-0.0000749,0.00016086,0.00051965,-0.00030239,0.00073834,0.00020099,-0.00034601,-0.00012742,17:08:07..182,,,,
17:08:46..772,3.95101836,-0.013749,-0.0000744,0.00016112,0.00052034,-0.00030207,0.00073853,0.00020165,-0.00034517,-0.00012707,17:08:07..182,,,,
17:08:46..803,3.9303324,-0.013749,-0.00007424,0.00016081,0.00051974,-0.00030306,0.00073877,0.00020118,-0.00034512,-0.00012685,17:08:07..182,,,,
17:08:46..887,3.93550389,-0.013749,-0.00007447,0.00016047,0.0005198,-0.00030283,0.00073865,0.00020123,-0.00034529,-0.00012688,17:08:07..182,,,,
17:08:46..918,3.95101836,-0.013749,-0.00007471,0.00016029,0.00051954,-0.00030309,0.0007387,0.00020113,-0.00034535,-0.00012699,17:08:07..182,,,,
17:08:47..020,3.89930346,-0.013749,-0.0000747,0.00016083,0.00051907,-0.00030255,0.00073838,0.00020116,-0.0003454,-0.00012692,17:08:07..182,,,,
17:08:47..051,3.8786175,-0.013749,-0.00007451,0.0001608,0.00051915,-0.0003029,0.00073843,0.00020133,-0.00034549,-0.00012717,17:08:07..182,,,,
17:08:47..118,3.93550389,-0.013749,-0.0000743,0.00016091,0.00051914,-0.00030244,0.0007386,0.00020141,-0.00034547,-0.00012718,17:08:07..182,,,,
17:08:47..149,3.88378899,-0.013749,-0.00007467,0.00016061,0.00051958,-0.00030276,0.00073836,0.00020178,-0.00034532,-0.00012734,17:08:07..182,,,,
17:08:47..183,3.94067538,-0.013749,-0.00007466,0.00016079,0.00051952,-0.00030271,0.00073825,0.00020084,-0.0003456,-0.00012712,17:08:07..182,,,,
17:08:47..301,3.91481793,-0.013749,-0.00007459,0.00016041,0.00051947,-0.00030322,0.00073845,0.00020131,-0.00034542,-0.00012717,17:08:07..182,,,,
17:08:47..333,3.96653283,-0.013749,-0.00007482,0.00016013,0.00051937,-0.00030308,0.00073816,0.0002013,-0.00034605,-0.00012735,17:08:07..182,,,,
17:08:47..406,3.92516091,-0.013749,-0.00007444,0.00016073,0.00051957,-0.0003029,0.00073827,0.00020109,-0.0003454,-0.00012691,17:08:07..182,,,,
17:08:47..440,3.90447495,-0.013749,-0.0000746,0.00016042,0.00051982,-0.0003027,0.00073804,0.00020098,-0.00034568,-0.00012773,17:08:07..182,,,,
17:08:47..501,3.90964644,-0.013749,-0.00007457,0.00016068,0.00051986,-0.00030228,0.00073819,0.00020106,-0.0003455,-0.00012721,17:08:07..182,,,,
17:08:47..544,3.89413197,-0.013749,-0.00007466,0.00016056,0.00051961,-0.00030249,0.0007382,0.00020063,-0.00034559,-0.00012699,17:08:07..182,,,,
17:08:47..575,3.95618985,-0.013749,-0.00007436,0.000161,0.00051995,-0.00030199,0.00073863,0.0002013,-0.00034566,-0.00012695,17:08:07..182,,,,
17:08:47..633,3.93550389,-0.013749,-0.00007429,0.00016107,0.00051978,-0.00030198,0.00073859,0.00020114,-0.00034539,-0.00012738,17:08:07..182,,,,
17:08:47..667,3.92516091,-0.013749,-0.00007455,0.00016041,0.00051943,-0.00030267,0.00073834,0.00020117,-0.00034571,-0.00012717,17:08:07..182,,,,
17:08:47..719,3.91481793,-0.013749,-0.00007474,0.00016089,0.00051935,-0.0003028,0.00073823,0.00020153,-0.00034585,-0.00012724,17:08:07..182,,,,
17:08:47..759,3.98721879,-0.013749,-0.00007471,0.00016026,0.00051887,-0.00030273,0.00073831,0.0002013,-0.00034523,-0.00012718,17:08:07..182,,,,
17:08:47..793,3.91998942,-0.013749,-0.00007457,0.00016095,0.00052009,-0.00030185,0.00073856,0.00020081,-0.00034564,-0.00012739,17:08:07..182,,,,
17:08:47..896,3.93550389,-0.013749,-0.00007442,0.00016101,0.00051975,-0.00030211,0.00073822,0.00020096,-0.00034594,-0.00012757,17:08:07..182,,,,
17:08:47..928,3.91481793,-0.013749,-0.00007468,0.00016084,0.00051965,-0.00030213,0.00073877,0.00020122,-0.00034538,-0.00012753,17:08:07..182,,,,
17:08:48..025,3.95101836,-0.013749,-0.00007513,0.0001609,0.00051974,-0.00030212,0.00073856,0.00020131,-0.0003459,-0.00012731,17:08:07..182,,,,
17:08:48..057,3.89413197,-0.013749,-0.00007472,0.00016042,0.00051945,-0.00030252,0.00073849,0.00020113,-0.0003459,-0.00012733,17:08:07..182,,,,
17:08:48..126,3.94584687,-0.013749,-0.00007457,0.00016074,0.00051964,-0.00030271,0.00073821,0.00020141,-0.00034522,-0.00012736,17:08:07..182,,,,
17:08:48..165,3.93550389,-0.013749,-0.00007457,0.00016043,0.00051977,-0.00030276,0.00073902,0.0002008,-0.00034573,-0.00012725,17:08:07..182,,,,
17:08:48..197,3.91998942,-0.013749,-0.00007462,0.00016058,0.00051971,-0.00030271,0.00073862,0.00020131,-0.00034552,-0.00012695,17:08:07..182,,,,
17:08:48..231,3.96136134,-0.013749,-0.00007481,0.00016068,0.00051973,-0.00030248,0.00073841,0.00020118,-0.00034614,-0.00012763,17:08:07..182,,,,
17:08:48..296,3.94584687,-0.013749,-0.00007483,0.00016083,0.00051973,-0.00030236,0.00073819,0.00020103,-0.00034593,-0.00012713,17:08:07..182,,,,
17:08:48..334,3.92516091,-0.013749,-0.00007467,0.00016075,0.00051968,-0.00030271,0.00073824,0.00020113,-0.00034559,-0.00012738,17:08:07..182,,,,
