Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
17:18:36..721,3.28906764,-0.014653,0.00016148,0.00008269,0.00139616,-0.00004559,0.00107223,0.00021182,-0.00066751,-0.00058261,17:18:36..733,,,,
17:18:36..775,3.53729916,-0.014685,0.00016196,0.00008289,0.00139607,-0.00004517,0.00107267,0.0002117,-0.00066677,-0.00058309,17:18:36..817,,,,
17:18:36..844,3.34078254,-0.014685,0.00016177,0.00008269,0.0013962,-0.00004511,0.00107206,0.00021162,-0.00066742,-0.00058257,17:18:36..817,,,,
17:18:36..878,3.32009658,-0.013684,0.00016203,0.00008234,0.00139648,-0.00004528,0.00107282,0.00021209,-0.00066658,-0.00058256,17:18:36..904,,,,
17:18:36..998,3.45455532,-0.013684,0.00016198,0.00008257,0.00139612,-0.00004532,0.00107241,0.00021167,-0.00066704,-0.00058234,17:18:36..996,,,,
17:18:37..029,3.43386936,-0.013949,0.00016191,0.0000825,0.00139577,-0.00004538,0.00107289,0.00021195,-0.00066661,-0.00058296,17:18:36..996,,,,
17:18:37..114,3.38215446,-0.013949,0.00016186,0.00008241,0.00139618,-0.00004489,0.00107229,0.00021154,-0.00066759,-0.0005827,17:18:37..163,,,,
17:18:37..177,3.42352638,-0.013949,0.00016179,0.00008228,0.00139607,-0.00004533,0.00107252,0.00021176,-0.00066745,-0.00058276,17:18:37..163,,,,
17:18:37..210,3.27355317,-0.013657,0.00016235,0.00008246,0.00139619,-0.00004528,0.00107214,0.0002121,-0.00066737,-0.00058281,17:18:37..278,,,,
17:18:37..338,3.4648983,-0.013657,0.00016225,0.00008197,0.00139593,-0.00004553,0.00107227,0.00021209,-0.00066749,-0.00058264,17:18:37..338,,,,
17:18:37..370,3.49075575,-0.012834,0.00016164,0.0000826,0.00139619,-0.00004553,0.00107217,0.00021199,-0.00066796,-0.00058262,17:18:37..338,,,,
17:18:37..446,3.44421234,-0.012834,0.00016196,0.00008237,0.00139616,-0.00004516,0.00107224,0.00021149,-0.00066731,-0.00058253,17:18:37..492,,,,
17:18:37..506,3.27355317,-0.012834,0.0001618,0.00008265,0.00139624,-0.00004513,0.00107243,0.00021191,-0.00066753,-0.00058238,17:18:37..492,,,,
17:18:37..538,3.50109873,-0.010955,0.00016163,0.00008234,0.001396,-0.00004533,0.00107272,0.00021141,-0.00066741,-0.0005827,17:18:37..605,,,,
17:18:37..668,3.35629701,-0.010955,0.0001622,0.00008235,0.00139574,-0.00004515,0.00107258,0.00021184,-0.00066725,-0.00058285,17:18:37..666,,,,
17:18:37..699,3.47006979,-0.010596,0.00016192,0.00008237,0.00139585,-0.00004496,0.00107221,0.00021126,-0.00066701,-0.00058271,17:18:37..666,,,,
17:18:37..783,3.37698297,-0.010596,0.00016163,0.00008259,0.00139587,-0.00004545,0.00107208,0.00021183,-0.0006677,-0.00058293,17:18:37..828,,,,
17:18:37..833,3.32526807,-0.010596,0.00016173,0.0000827,0.00139609,-0.00004566,0.00107237,0.00021152,-0.00066738,-0.00058278,17:18:37..828,,,,
17:18:37..867,3.59418555,-0.010006,0.0001615,0.0000826,0.00139603,-0.00004547,0.00107244,0.00021181,-0.00066788,-0.00058288,17:18:37..871,,,,
17:18:37..945,3.35112552,-0.010006,0.00016176,0.00008304,0.00139611,-0.00004545,0.00107239,0.00021162,-0.00066764,-0.00058255,17:18:37..988,,,,
17:18:38..007,3.37698297,-0.010006,0.0001611,0.00008304,0.00139632,-0.00004547,0.00107216,0.00021136,-0.00066752,-0.00058312,17:18:37..988,,,,
17:18:38..041,3.45972681,-0.010339,0.00016161,0.00008222,0.00139624,-0.00004562,0.00107235,0.00021155,-0.00066699,-0.00058287,17:18:38..085,,,,
17:18:38..154,3.34078254,-0.010339,0.00016194,0.00008258,0.00139587,-0.00004583,0.0010722,0.00021191,-0.0006673,-0.00058303,17:18:38..153,,,,
17:18:38..185,3.33561105,-0.010017,0.00016139,0.00008271,0.00139605,-0.00004538,0.0010719,0.00021121,-0.00066762,-0.00058286,17:18:38..153,,,,
17:18:38..248,3.5683281,-0.010017,0.00016114,0.00008287,0.0013963,-0.00004559,0.00107221,0.00021146,-0.00066761,-0.00058259,17:18:38..276,,,,
17:18:38..282,3.45455532,-0.010017,0.00016164,0.00008283,0.00139522,-0.00004527,0.00107282,0.00021221,-0.00066737,-0.00058263,17:18:38..276,,,,
