Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
16:26:22..880,6.16441608,-0.00357,0.0001477,0.00006597,0.00118785,-0.0002456,0.00111704,0.00018793,-0.00053127,-0.00049934,16:26:22..945,,,,
16:26:23..005,5.9989284,-0.00357,0.00014723,0.00006568,0.00118714,-0.00024643,0.00111689,0.00018813,-0.00053098,-0.00049914,16:26:23..005,,,,
16:26:23..038,6.27301737,-0.003506,0.00014743,0.00006577,0.00118729,-0.00024628,0.00111703,0.00018813,-0.00053082,-0.00049928,16:26:23..047,,,,
16:26:23..104,6.07650075,-0.003918,0.00014747,0.00006541,0.00118782,-0.0002466,0.00111666,0.00018772,-0.00053135,-0.00049951,16:26:23..146,,,,
16:26:23..178,6.205788,-0.004313,0.00014765,0.00006539,0.0011874,-0.0002463,0.00111711,0.00018785,-0.0005308,-0.00049918,16:26:23..146,,,,
16:26:23..255,6.25233141,-0.004313,0.00014752,0.00006555,0.00118733,-0.0002465,0.00111657,0.00018828,-0.00053093,-0.0004995,16:26:23..189,,,,
16:26:23..288,6.00927138,-0.004313,0.0001478,0.0000649,0.00118731,-0.00024666,0.00111704,0.00018818,-0.00053067,-0.00049979,16:26:23..260,,,,
16:26:23..322,6.24198843,-0.004308,0.00014753,0.00006594,0.00118716,-0.00024655,0.00111706,0.00018837,-0.00053126,-0.00049986,16:26:23..379,,,,
16:26:23..383,6.07132926,-0.004173,0.00014763,0.00006533,0.00118769,-0.00024618,0.00111702,0.00018815,-0.00053125,-0.00049965,16:26:23..422,,,,
16:26:23..440,5.88515562,-0.004173,0.00014783,0.00006518,0.00118744,-0.00024618,0.00111702,0.00018775,-0.00053051,-0.00049973,16:26:23..422,,,,
16:26:23..473,6.19027353,-0.003759,0.00014766,0.00006559,0.0011875,-0.00024659,0.00111673,0.00018788,-0.00053116,-0.00049981,16:26:23..476,,,,
16:26:23..514,5.8954986,-0.003124,0.00014776,0.00006549,0.0011874,-0.0002465,0.0011171,0.00018796,-0.00053056,-0.00049995,16:26:23..557,,,,
16:26:23..575,6.14890161,-0.003124,0.00014746,0.00006552,0.00118738,-0.00024624,0.00111678,0.00018784,-0.00053076,-0.00049977,16:26:23..557,,,,
16:26:23..608,6.02995734,-0.001866,0.00014729,0.00006544,0.00118756,-0.00024677,0.00111641,0.00018757,-0.00053104,-0.00049986,16:26:23..642,,,,
16:26:23..729,6.09201522,-0.001866,0.00014769,0.00006534,0.00118755,-0.00024632,0.0011172,0.00018824,-0.00053085,-0.00049968,16:26:23..728,,,,
16:26:23..760,5.96272797,-0.001256,0.00014782,0.00006502,0.0011872,-0.00024669,0.00111668,0.00018802,-0.00053078,-0.00049984,16:26:23..770,,,,
16:26:23..814,6.18510204,-0.001476,0.00014778,0.00006532,0.0011871,-0.00024666,0.00111705,0.00018794,-0.0005308,-0.0004995,16:26:23..866,,,,
16:26:23..903,5.96272797,-0.001476,0.00014785,0.00006561,0.00118767,-0.00024641,0.00111717,0.000188,-0.00053105,-0.00049945,16:26:23..866,,,,
16:26:23..937,5.96789946,-0.001433,0.00014738,0.00006589,0.00118763,-0.00024632,0.00111701,0.00018759,-0.0005316,-0.00049912,16:26:23..908,,,,
16:26:23..970,6.04547181,-0.001647,0.0001471,0.00006585,0.00118778,-0.00024658,0.00111709,0.00018813,-0.00053119,-0.00049964,16:26:24..032,,,,
16:26:24..081,5.90584158,-0.001647,0.00014768,0.00006536,0.00118765,-0.00024623,0.0011167,0.00018782,-0.00053068,-0.00049986,16:26:24..080,,,,
16:26:24..113,6.08684373,-0.001626,0.00014804,0.00006515,0.00118779,-0.0002463,0.00111714,0.00018791,-0.00053095,-0.00049955,16:26:24..123,,,,
16:26:24..242,6.24715992,-0.001626,0.00014747,0.00006565,0.00118795,-0.00024648,0.00111707,0.00018822,-0.00053064,-0.00049946,16:26:24..241,,,,
16:26:24..274,5.93169903,-0.001251,0.00014763,0.00006497,0.00118755,-0.00024643,0.00111745,0.0001879,-0.00053144,-0.00049965,16:26:24..284,,,,
16:26:24..330,6.09201522,-0.00098,0.00014788,0.00006522,0.00118752,-0.00024683,0.00111699,0.00018843,-0.00053093,-0.00049958,16:26:24..380,,,,
16:26:24..394,5.8954986,-0.00098,0.00014719,0.00006505,0.00118736,-0.00024665,0.00111706,0.00018791,-0.00053098,-0.00049978,16:26:24..380,,,,
16:26:24..428,6.20061651,-0.001177,0.00014769,0.00006494,0.00118757,-0.00024653,0.00111681,0.00018773,-0.00053108,-0.00049974,16:26:24..474,,,,
16:26:24..562,5.90067009,-0.001177,0.00014795,0.00006509,0.00118744,-0.00024661,0.00111684,0.00018771,-0.00053065,-0.00049935,16:26:24..561,,,,
