Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
15:22:23..198,2.85983397,-0.019661,0.00031932,0.0001267,0.00128124,-0.00015589,0.00123736,0.00025216,-0.00036107,-0.00024112,15:22:23..223,,,,
15:22:23..257,3.04600761,-0.020072,0.0003192,0.00012668,0.00128115,-0.00015636,0.00123803,0.00025251,-0.00036101,-0.00024084,15:22:23..296,,,,
15:22:23..310,2.91672036,-0.020072,0.00031939,0.00012685,0.00128073,-0.00015586,0.00123773,0.00025209,-0.00036108,-0.00024095,15:22:23..296,,,,
15:22:23..343,2.86500546,-0.020781,0.00031911,0.00012658,0.00128057,-0.00015626,0.0012376,0.00025239,-0.00036141,-0.00024152,15:22:23..296,,,,
15:22:23..431,2.96843526,-0.020686,0.00031951,0.00012662,0.00128098,-0.00015649,0.00123772,0.00025214,-0.00036094,-0.00024088,15:22:23..496,,,,
15:22:23..539,2.90120589,-0.020686,0.00031996,0.00012636,0.00128038,-0.00015657,0.00123753,0.00025242,-0.00036123,-0.00024159,15:22:23..496,,,,
15:22:23..574,3.02532165,-0.020884,0.00031944,0.0001267,0.00128113,-0.00015644,0.00123788,0.00025195,-0.00036147,-0.00024095,15:22:23..551,,,,
15:22:23..608,2.85983397,-0.020686,0.00031935,0.00012684,0.0012807,-0.00015668,0.00123777,0.00025222,-0.00036134,-0.00024112,15:22:23..593,,,,
15:22:23..678,2.93740632,-0.020686,0.00031948,0.00012706,0.00128054,-0.00015633,0.00123789,0.00025245,-0.00036099,-0.0002411,15:22:23..675,,,,
15:22:23..710,2.85983397,-0.02107,0.00031962,0.00012669,0.0012808,-0.00015668,0.00123749,0.00025235,-0.00036126,-0.00024097,15:22:23..717,,,,
15:22:23..778,3.03049314,-0.02107,0.00031975,0.00012673,0.00128093,-0.00015593,0.00123756,0.00025228,-0.00036098,-0.0002412,15:22:23..824,,,,
15:22:23..830,2.98394973,-0.02107,0.00031972,0.00012704,0.00128031,-0.00015635,0.00123774,0.00025221,-0.0003611,-0.0002409,15:22:23..824,,,,
15:22:23..863,2.8443195,-0.021838,0.00031983,0.00012671,0.00128066,-0.00015607,0.00123767,0.00025242,-0.00036125,-0.00024068,15:22:23..866,,,,
15:22:23..952,2.92706334,-0.021838,0.00031936,0.00012713,0.00128069,-0.0001563,0.00123748,0.00025197,-0.00036145,-0.00024092,15:22:23..951,,,,
15:22:23..983,2.97360675,-0.021241,0.00031924,0.00012699,0.00128121,-0.00015606,0.00123766,0.00025215,-0.00036128,-0.00024125,15:22:23..951,,,,
15:22:24..037,2.90120589,-0.021241,0.00031914,0.00012705,0.0012811,-0.00015599,0.00123764,0.00025226,-0.0003614,-0.00024074,15:22:24..066,,,,
15:22:24..073,2.98394973,-0.021241,0.00031922,0.00012706,0.00128106,-0.00015621,0.00123777,0.00025199,-0.0003613,-0.00024107,15:22:24..066,,,,
15:22:24..106,2.85983397,-0.020892,0.00031936,0.00012707,0.00128046,-0.00015645,0.00123753,0.00025183,-0.00036111,-0.00024101,15:22:24..110,,,,
15:22:24..167,2.95809228,-0.020749,0.00031948,0.00012676,0.00128088,-0.00015655,0.00123773,0.00025191,-0.00036098,-0.00024093,15:22:24..209,,,,
15:22:24..212,2.86500546,-0.020749,0.00031952,0.00012678,0.00128096,-0.00015708,0.00123779,0.00025156,-0.00036095,-0.00024156,15:22:24..209,,,,
15:22:24..247,2.98394973,-0.020414,0.00031943,0.00012664,0.00128079,-0.00015629,0.0012379,0.00025204,-0.00036108,-0.00024102,15:22:24..254,,,,
15:22:24..384,2.89086291,-0.020414,0.00031948,0.00012666,0.00128079,-0.00015628,0.00123784,0.00025223,-0.00036106,-0.00024114,15:22:24..382,,,,
15:22:24..416,3.02015016,-0.019712,0.00031885,0.00012717,0.00128112,-0.00015663,0.00123789,0.00025245,-0.00036135,-0.00024093,15:22:24..382,,,,
15:22:24..503,2.87534844,-0.019712,0.00031894,0.0001272,0.00128099,-0.00015664,0.00123765,0.00025197,-0.00036124,-0.00024043,15:22:24..541,,,,
15:22:24..549,2.87534844,-0.019712,0.000319,0.00012661,0.00128109,-0.00015649,0.00123765,0.00025204,-0.00036132,-0.00024122,15:22:24..541,,,,
