Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
16:50:58..559,3.84758856,-0.014577,0.00018352,0.00007978,0.0013921,-0.00004438,0.00109109,0.00023132,-0.0006634,-0.00064935,16:50:58..563,,,,
16:50:58..634,3.91998942,-0.014577,0.00018335,0.00008031,0.00139152,-0.00004425,0.00109163,0.00023102,-0.00066343,-0.00064924,16:50:58..634,,,,
16:50:58..666,3.88896048,-0.014206,0.00018359,0.00007955,0.0013916,-0.0000449,0.00109125,0.00023178,-0.00066277,-0.00064978,16:50:58..677,,,,
16:50:58..748,4.45782438,-0.014206,0.00018347,0.00007948,0.00139141,-0.0000447,0.00109125,0.00023176,-0.00066317,-0.00064978,16:50:58..746,,,,
16:50:58..779,3.85793154,-0.014021,0.00018348,0.0000799,0.00139137,-0.00004456,0.00109131,0.0002315,-0.00066249,-0.00064978,16:50:58..791,,,,
16:50:58..887,4.28716521,-0.014021,0.00018331,0.00007934,0.00139153,-0.0000444,0.00109124,0.00023135,-0.00066296,-0.00064941,16:50:58..886,,,,
16:50:58..920,4.94911593,-0.013522,0.00018353,0.0000796,0.00139119,-0.00004421,0.00109164,0.00023155,-0.00066274,-0.00064967,16:50:58..932,,,,
16:50:58..993,4.27165074,-0.013522,0.00018323,0.00007907,0.00139118,-0.00004467,0.0010917,0.00023149,-0.00066265,-0.00064936,16:50:58..991,,,,
16:50:59..027,3.50109873,-0.013522,0.00018347,0.00007964,0.00139125,-0.00004413,0.00109161,0.00023108,-0.00066306,-0.0006493,16:50:58..991,,,,
16:50:59..062,3.64072896,-0.013094,0.00018349,0.00007919,0.0013917,-0.0000446,0.00109113,0.00023169,-0.00066276,-0.00064912,16:50:59..079,,,,
16:50:59..173,4.16822094,-0.013094,0.00018354,0.0000796,0.00139163,-0.0000447,0.00109096,0.00023131,-0.00066323,-0.00064937,16:50:59..171,,,,
16:50:59..205,4.50953928,-0.013712,0.00018321,0.00008014,0.00139166,-0.00004452,0.00109157,0.00023165,-0.00066281,-0.00064937,16:50:59..227,,,,
16:50:59..305,3.79070217,-0.013712,0.00018376,0.00008001,0.00139161,-0.00004422,0.0010912,0.00023089,-0.00066312,-0.00064971,16:50:59..303,,,,
16:50:59..336,3.87344601,-0.013804,0.00018338,0.00007915,0.00139149,-0.00004445,0.00109147,0.00023161,-0.00066303,-0.00064992,16:50:59..346,,,,
16:50:59..441,3.79587366,-0.013804,0.00018295,0.00007919,0.0013915,-0.00004444,0.00109119,0.00023171,-0.00066297,-0.00064942,16:50:59..439,,,,
16:50:59..473,4.26647925,-0.014078,0.00018352,0.00007947,0.00139144,-0.00004433,0.00109112,0.00023154,-0.00066313,-0.00064938,16:50:59..484,,,,
16:50:59..543,4.35956607,-0.014352,0.00018348,0.00007926,0.00139166,-0.0000445,0.00109145,0.00023123,-0.00066287,-0.00064903,16:50:59..542,,,,
16:50:59..589,4.43196693,-0.014352,0.00018315,0.00007965,0.00139164,-0.0000443,0.00109153,0.00023119,-0.00066319,-0.00064931,16:50:59..587,,,,
16:50:59..623,4.09064859,-0.014616,0.00018334,0.00007937,0.00139155,-0.00004467,0.00109139,0.00023187,-0.00066319,-0.00064923,16:50:59..587,,,,
16:50:59..696,4.28199372,-0.014616,0.00018313,0.00007937,0.00139128,-0.0000446,0.00109096,0.00023098,-0.0006627,-0.00064961,16:50:59..734,,,,
16:50:59..755,4.23027882,-0.014616,0.00018324,0.00007965,0.00139192,-0.00004418,0.00109192,0.00023161,-0.0006629,-0.00064852,16:50:59..734,,,,
16:50:59..788,4.17339243,-0.015286,0.00018308,0.0000799,0.00139159,-0.0000448,0.00109141,0.00023168,-0.00066296,-0.00064943,16:50:59..870,,,,
