Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
15:02:21..325,3.19598082,-0.002442,-0.00026143,0.00005078,0.00018297,-0.00040609,0.00033408,-0.00029272,-0.00049182,-0.00039958,15:02:21..331,,,,
15:02:21..411,3.36663999,-0.002442,-0.00026145,0.00005067,0.00018271,-0.00040601,0.00033364,-0.00029267,-0.00049234,-0.00039936,15:02:21..331,,,,
15:02:21..443,2.85983397,-0.002406,-0.00026146,0.00005064,0.00018346,-0.0004066,0.0003338,-0.00029288,-0.00049193,-0.00039896,15:02:21..454,,,,
15:02:21..490,2.97877824,-0.002409,-0.00026151,0.00005096,0.00018301,-0.00040623,0.00033358,-0.0002928,-0.00049181,-0.00039852,15:02:21..454,,,,
15:02:21..522,3.14426592,-0.002365,-0.00026177,0.00005096,0.00018284,-0.00040622,0.00033313,-0.00029287,-0.00049148,-0.00039912,15:02:21..541,,,,
15:02:21..597,3.07186506,-0.002365,-0.00026143,0.00005106,0.00018292,-0.00040571,0.0003335,-0.00029252,-0.00049177,-0.00039912,15:02:21..651,,,,
15:02:21..658,2.70986076,-0.002365,-0.00026165,0.00005097,0.00018291,-0.00040669,0.00033348,-0.00029277,-0.00049197,-0.00039885,15:02:21..651,,,,
15:02:21..692,3.3614685,-0.002397,-0.00026154,0.00005038,0.000183,-0.00040593,0.00033399,-0.00029282,-0.00049251,-0.00039957,15:02:21..695,,,,
15:02:21..808,2.9994642,-0.002397,-0.00026196,0.00005038,0.00018296,-0.00040624,0.00033367,-0.00029296,-0.00049246,-0.00039934,15:02:21..806,,,,
15:02:21..840,3.20115231,-0.002463,-0.00026148,0.00005084,0.00018299,-0.00040612,0.00033328,-0.00029272,-0.00049194,-0.00039894,15:02:21..849,,,,
15:02:21..990,3.18563784,-0.002463,-0.00026133,0.0000505,0.00018251,-0.00040606,0.00033346,-0.00029258,-0.00049212,-0.00039936,15:02:21..988,,,,
15:02:22..021,3.24252423,-0.002524,-0.00026169,0.00005043,0.00018297,-0.00040637,0.00033323,-0.00029311,-0.0004918,-0.00039886,15:02:22..033,,,,
15:02:22..126,3.18563784,-0.002524,-0.00026145,0.00005002,0.00018269,-0.00040619,0.00033305,-0.000293,-0.00049209,-0.00039922,15:02:22..124,,,,
15:02:22..157,3.06669357,-0.002548,-0.00026171,0.00005041,0.0001829,-0.0004059,0.00033373,-0.00029295,-0.00049266,-0.00039927,15:02:22..179,,,,
15:02:22..274,3.24252423,-0.002548,-0.00026157,0.00005073,0.00018318,-0.00040642,0.00033361,-0.00029242,-0.00049241,-0.00039947,15:02:22..272,,,,
15:02:22..306,2.66331735,-0.002531,-0.00026169,0.00005108,0.00018306,-0.00040605,0.00033321,-0.00029232,-0.00049173,-0.00039884,15:02:22..313,,,,
15:02:22..417,3.07703655,-0.002531,-0.00026161,0.00005086,0.00018282,-0.00040599,0.00033384,-0.00029251,-0.00049175,-0.00039918,15:02:22..415,,,,
15:02:22..448,2.81846205,-0.002516,-0.00026167,0.00005096,0.00018301,-0.00040635,0.00033355,-0.0002928,-0.00049233,-0.00039917,15:02:22..458,,,,
15:02:22..610,2.73054672,-0.002516,-0.00026137,0.0000509,0.00018324,-0.00040614,0.00033349,-0.00029284,-0.00049205,-0.00039936,15:02:22..608,,,,
15:02:22..643,2.79777609,-0.002478,-0.00026143,0.00005072,0.00018286,-0.00040624,0.00033321,-0.00029262,-0.00049229,-0.00039943,15:02:22..652,,,,
15:02:22..769,2.93740632,-0.002478,-0.00026155,0.00005118,0.00018305,-0.00040622,0.0003339,-0.00029296,-0.0004922,-0.00039921,15:02:22..767,,,,
15:02:22..800,2.7408897,-0.002441,-0.00026169,0.00005089,0.00018286,-0.00040642,0.00033314,-0.00029302,-0.00049156,-0.00039902,15:02:22..767,,,,
15:02:22..859,2.70468927,-0.002441,-0.00026135,0.00005104,0.00018357,-0.0004064,0.00033313,-0.00029298,-0.00049155,-0.00039874,15:02:22..897,,,,
15:02:22..904,3.21666678,-0.002441,-0.00026143,0.00005082,0.00018274,-0.00040619,0.00033296,-0.00029282,-0.00049151,-0.00039911,15:02:22..897,,,,
15:02:22..937,3.18046635,-0.002388,-0.00026178,0.0000507,0.00018252,-0.00040629,0.00033386,-0.00029324,-0.00049293,-0.00039987,15:02:22..940,,,,
15:02:23..069,2.85983397,-0.002388,-0.00026177,0.00005111,0.00018281,-0.00040574,0.00033392,-0.00029301,-0.0004926,-0.00039954,15:02:23..067,,,,
15:02:23..100,3.23218125,-0.002395,-0.00026146,0.00005121,0.0001833,-0.00040635,0.00033357,-0.0002931,-0.00049204,-0.00039879,15:02:23..067,,,,
15:02:23..189,2.92189185,-0.002395,-0.00026144,0.0000512,0.00018326,-0.00040641,0.00033375,-0.00029319,-0.00049227,-0.00039923,15:02:23..236,,,,
15:02:23..241,3.16495188,-0.002395,-0.00026112,0.00005104,0.00018323,-0.00040657,0.00033305,-0.00029297,-0.00049188,-0.00039948,15:02:23..236,,,,
