Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
15:48:23..598,6.12821565,-0.007166,-0.0003192,-0.00001176,0.00027995,-0.00038739,0.00030605,-0.00033836,-0.00072499,-0.00048343,15:48:23..709,,,,
15:48:23..715,6.14890161,-0.007154,-0.00031985,-0.00001128,0.0002797,-0.00038737,0.00030577,-0.00033864,-0.00072475,-0.00048367,15:48:23..848,,,,
15:48:23..866,6.08167224,-0.007196,-0.00031963,-0.00001154,0.00027987,-0.0003875,0.00030559,-0.00033876,-0.0007243,-0.00048388,15:48:23..973,,,,
15:48:24..008,6.15924459,-0.007196,-0.00031957,-0.00001155,0.0002794,-0.00038698,0.0003055,-0.00033876,-0.00072452,-0.00048362,15:48:23..973,,,,
15:48:24..042,6.13855863,-0.007358,-0.00031915,-0.00001141,0.00028007,-0.0003873,0.00030566,-0.00033846,-0.00072466,-0.0004838,15:48:24..016,,,,
15:48:24..244,6.12304416,-0.007481,-0.00031955,-0.00001168,0.00027958,-0.00038728,0.00030571,-0.00033868,-0.00072491,-0.0004832,15:48:24..385,,,,
15:48:24..517,6.1023582,-0.007481,-0.00031963,-0.00001163,0.00028005,-0.00038743,0.00030601,-0.00033845,-0.00072476,-0.00048384,15:48:24..519,,,,
15:48:24..549,6.19544502,-0.007481,-0.00031971,-0.00001131,0.00027974,-0.00038703,0.0003061,-0.00033854,-0.00072473,-0.00048338,15:48:24..519,,,,
15:48:24..583,6.09718671,-0.007542,-0.00031917,-0.00001158,0.00027952,-0.00038729,0.00030572,-0.00033823,-0.00072447,-0.00048337,15:48:24..700,,,,
15:48:24..767,6.10752969,-0.007542,-0.00031918,-0.00001224,0.00027987,-0.0003874,0.00030571,-0.00033881,-0.0007246,-0.00048393,15:48:24..768,,,,
15:48:24..800,6.12304416,-0.006335,-0.00031976,-0.00001153,0.00028001,-0.00038743,0.00030619,-0.00033848,-0.00072427,-0.00048383,15:48:24..843,,,,
15:48:24..934,6.12821565,-0.006335,-0.00031957,-0.00001173,0.00028011,-0.00038758,0.00030573,-0.00033857,-0.00072431,-0.00048349,15:48:24..942,,,,
15:48:24..966,6.08684373,-0.005622,-0.00031993,-0.00001144,0.00027985,-0.00038755,0.00030588,-0.00033834,-0.00072431,-0.00048363,15:48:24..942,,,,
15:48:25..027,6.1540731,-0.005622,-0.00031936,-0.00001161,0.00027917,-0.00038732,0.00030552,-0.00033861,-0.00072435,-0.00048393,15:48:25..059,,,,
15:48:25..073,6.09718671,-0.005622,-0.00031932,-0.00001152,0.00027959,-0.00038714,0.00030601,-0.00033809,-0.00072453,-0.00048323,15:48:25..059,,,,
15:48:25..105,6.11270118,-0.005098,-0.0003191,-0.00001149,0.00027988,-0.00038744,0.00030562,-0.00033883,-0.00072442,-0.00048344,15:48:25..103,,,,
15:48:25..138,6.1540731,-0.004728,-0.00031944,-0.00001141,0.00027968,-0.00038702,0.00030571,-0.00033874,-0.00072452,-0.00048375,15:48:25..148,,,,
15:48:25..328,6.05581479,-0.004728,-0.00031961,-0.00001169,0.00027956,-0.0003874,0.00030609,-0.00033841,-0.00072429,-0.00048339,15:48:25..148,,,,
15:48:25..361,6.06615777,-0.00415,-0.0003193,-0.0000115,0.00027978,-0.00038727,0.00030582,-0.00033857,-0.00072487,-0.00048341,15:48:25..374,,,,
15:48:25..499,6.15924459,-0.00415,-0.00031948,-0.0000114,0.00028012,-0.00038729,0.00030591,-0.00033792,-0.00072489,-0.00048342,15:48:25..497,,,,
15:48:25..531,6.14373012,-0.003947,-0.00031872,-0.00001148,0.00028004,-0.00038701,0.00030562,-0.00033833,-0.00072445,-0.00048346,15:48:25..541,,,,
15:48:25..647,6.11270118,-0.003947,-0.00031931,-0.00001117,0.0002803,-0.00038722,0.00030602,-0.00033828,-0.00072466,-0.00048371,15:48:25..645,,,,
15:48:25..679,6.13338714,-0.0039,-0.00031922,-0.0000114,0.0002799,-0.0003874,0.00030592,-0.00033846,-0.00072457,-0.00048359,15:48:25..689,,,,
15:48:25..759,6.08684373,-0.0039,-0.00031904,-0.00001172,0.00027991,-0.00038694,0.00030614,-0.00033818,-0.00072414,-0.00048338,15:48:25..757,,,,
15:48:25..790,6.13338714,-0.003886,-0.00031907,-0.00001169,0.00028,-0.0003872,0.00030567,-0.00033833,-0.00072457,-0.00048356,15:48:25..799,,,,
15:48:25..882,6.10752969,-0.003886,-0.00031869,-0.00001119,0.00028013,-0.00038672,0.00030618,-0.00033797,-0.00072435,-0.00048283,15:48:25..881,,,,
15:48:25..915,6.08684373,-0.003868,-0.00031884,-0.00001134,0.0002803,-0.00038718,0.00030589,-0.00033797,-0.00072459,-0.00048338,15:48:25..925,,,,
15:48:26..012,6.14373012,-0.003868,-0.00031922,-0.00001144,0.00028,-0.00038717,0.00030595,-0.00033819,-0.00072475,-0.00048342,15:48:26..010,,,,
15:48:26..045,6.11270118,-0.003761,-0.00031884,-0.00001109,0.00028034,-0.0003872,0.00030561,-0.00033849,-0.00072438,-0.00048341,15:48:26..053,,,,
