Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
15:10:30..670,2.98394973,0.010816,-0.00027654,0.0000166,0.00022651,-0.00038206,0.00032773,-0.00032679,-0.00054974,-0.00054688,15:10:30..674,,,,
15:10:30..753,2.9994642,0.010785,-0.00027616,0.00001651,0.00022654,-0.00038225,0.00032857,-0.00032618,-0.00054971,-0.00054633,15:10:30..758,,,,
15:10:30..802,2.99429271,0.010785,-0.00027653,0.0000162,0.0002267,-0.00038215,0.00032842,-0.00032681,-0.00054994,-0.00054702,15:10:30..758,,,,
15:10:30..834,3.02532165,0.010785,-0.00027627,0.00001649,0.00022656,-0.00038254,0.00032859,-0.0003271,-0.00054969,-0.0005466,15:10:30..803,,,,
15:10:30..868,2.97360675,0.010694,-0.00027665,0.00001634,0.00022634,-0.00038201,0.00032833,-0.00032717,-0.00055004,-0.00054694,15:10:30..902,,,,
15:10:30..982,2.98912122,0.010694,-0.00027693,0.0000167,0.00022635,-0.00038241,0.0003281,-0.00032694,-0.00054983,-0.00054727,15:10:30..981,,,,
15:10:31..014,2.93223483,0.010662,-0.00027589,0.00001682,0.00022658,-0.0003821,0.00032867,-0.00032722,-0.00054935,-0.00054694,15:10:31..024,,,,
15:10:31..139,2.95292079,0.010662,-0.00027608,0.00001668,0.00022621,-0.00038285,0.00032845,-0.00032668,-0.00055006,-0.00054711,15:10:31..137,,,,
15:10:31..172,2.97877824,0.01064,-0.00027651,0.00001658,0.00022659,-0.00038195,0.00032821,-0.00032649,-0.00054939,-0.00054708,15:10:31..181,,,,
15:10:31..312,2.97360675,0.01064,-0.00027598,0.00001678,0.00022647,-0.00038188,0.00032808,-0.00032675,-0.0005495,-0.00054687,15:10:31..311,,,,
15:10:31..344,2.89086291,0.010685,-0.00027516,0.0000169,0.00022674,-0.00038226,0.00032855,-0.00032691,-0.00055007,-0.00054724,15:10:31..356,,,,
15:10:31..407,2.9994642,0.010685,-0.00027563,0.00001722,0.00022655,-0.00038245,0.00032862,-0.00032748,-0.00055026,-0.0005472,15:10:31..405,,,,
15:10:31..438,2.97360675,0.010685,-0.00027536,0.0000171,0.00022726,-0.00038193,0.00032881,-0.00032652,-0.00054938,-0.0005464,15:10:31..405,,,,
15:10:31..473,2.93740632,0.010732,-0.00027593,0.000017,0.00022672,-0.00038187,0.00032854,-0.00032654,-0.0005498,-0.00054722,15:10:31..450,,,,
15:10:31..507,3.05635059,0.010826,-0.00027584,0.00001688,0.00022646,-0.00038218,0.00032831,-0.00032682,-0.00054949,-0.00054706,15:10:31..536,,,,
15:10:31..623,2.94257781,0.010826,-0.00027615,0.00001688,0.00022667,-0.0003823,0.00032813,-0.00032707,-0.00054959,-0.00054702,15:10:31..621,,,,
15:10:31..656,2.98394973,0.010905,-0.00027618,0.00001718,0.00022644,-0.00038199,0.00032833,-0.00032709,-0.00054969,-0.00054706,15:10:31..663,,,,
15:10:31..769,2.9994642,0.010905,-0.00027607,0.00001675,0.00022647,-0.00038233,0.00032847,-0.00032665,-0.00054992,-0.00054671,15:10:31..767,,,,
15:10:31..800,2.97360675,0.010902,-0.00027583,0.00001678,0.00022669,-0.0003821,0.00032913,-0.00032663,-0.00054994,-0.00054667,15:10:31..810,,,,
15:10:31..913,2.97877824,0.010902,-0.00027595,0.00001685,0.0002265,-0.00038249,0.00032894,-0.00032639,-0.00054956,-0.00054664,15:10:31..911,,,,
15:10:31..944,2.91672036,0.010852,-0.00027548,0.0000171,0.00022709,-0.00038203,0.00032849,-0.00032654,-0.00054977,-0.00054706,15:10:31..911,,,,
15:10:32..047,3.00463569,0.010852,-0.00027604,0.00001685,0.00022689,-0.00038251,0.00032801,-0.00032678,-0.0005496,-0.00054734,15:10:32..081,,,,
15:10:32..087,3.03566463,0.010852,-0.00027595,0.00001713,0.00022745,-0.00038248,0.00032844,-0.00032726,-0.00054995,-0.00054731,15:10:32..081,,,,
15:10:32..124,2.98912122,0.0109,-0.00027642,0.00001671,0.00022664,-0.00038217,0.00032845,-0.00032673,-0.00054988,-0.00054682,15:10:32..186,,,,
15:10:32..239,3.00980718,0.0109,-0.00027582,0.0000176,0.0002266,-0.00038155,0.00032868,-0.0003263,-0.00054939,-0.0005469,15:10:32..186,,,,
15:10:32..273,3.09255102,0.010924,-0.00027603,0.00001686,0.00022649,-0.00038212,0.00032797,-0.00032662,-0.00054956,-0.00054666,15:10:32..285,,,,
15:10:32..403,2.95292079,0.010924,-0.00027598,0.00001699,0.000227,-0.00038181,0.00032799,-0.00032663,-0.00054966,-0.00054694,15:10:32..401,,,,
15:10:32..434,2.98912122,0.01099,-0.00027597,0.00001716,0.00022661,-0.00038213,0.00032867,-0.00032672,-0.00054995,-0.00054667,15:10:32..447,,,,
15:10:32..539,2.95292079,0.01099,-0.00027598,0.00001719,0.00022713,-0.00038203,0.00032834,-0.0003269,-0.00054932,-0.00054724,15:10:32..537,,,,
15:10:32..571,2.93740632,0.011037,-0.00027625,0.00001735,0.0002269,-0.00038171,0.00032856,-0.00032685,-0.0005498,-0.00054664,15:10:32..580,,,,
15:10:32..699,3.1546089,0.011037,-0.00027616,0.00001734,0.00022703,-0.00038219,0.00032885,-0.00032655,-0.00054932,-0.00054635,15:10:32..697,,,,
15:10:32..731,3.11840847,0.011098,-0.00027584,0.00001729,0.0002271,-0.00038233,0.00032819,-0.00032697,-0.00054956,-0.00054682,15:10:32..740,,,,
15:10:32..841,2.80294758,0.011098,-0.0002758,0.00001746,0.00022696,-0.00038222,0.00032858,-0.00032669,-0.00054985,-0.00054702,15:10:32..839,,,,
15:10:32..872,2.96326377,0.011105,-0.00027642,0.00001709,0.00022671,-0.00038206,0.00032817,-0.00032665,-0.00054982,-0.00054649,15:10:32..882,,,,
15:10:32..969,3.18046635,0.011105,-0.00027574,0.00001721,0.00022687,-0.00038223,0.00032841,-0.00032701,-0.0005498,-0.00054691,15:10:32..967,,,,
15:10:33..002,2.96326377,0.011077,-0.0002761,0.00001725,0.0002267,-0.00038224,0.00032828,-0.00032705,-0.00054972,-0.00054675,15:10:33..013,,,,
15:10:33..103,2.88051993,0.011077,-0.00027584,0.00001703,0.00022692,-0.00038191,0.00032827,-0.00032678,-0.00054956,-0.00054664,15:10:33..101,,,,
15:10:33..134,3.00463569,0.011042,-0.00027591,0.0000176,0.00022719,-0.00038197,0.00032853,-0.00032671,-0.00054993,-0.00054661,15:10:33..144,,,,
