Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
15:33:06..461,2.42542881,0.003532,-0.00028131,-0.00000255,0.00025176,-0.00038437,0.00031305,-0.0003297,-0.00066642,-0.00055176,15:33:06..499,,,,
15:33:06..605,2.42542881,0.003532,-0.00028128,-0.00000242,0.00025178,-0.00038385,0.00031279,-0.00032922,-0.00066599,-0.00055137,15:33:06..605,,,,
15:33:06..637,2.64780288,0.003586,-0.00028329,-0.00000222,0.00025209,-0.00038391,0.00031307,-0.00032872,-0.00066727,-0.00055388,15:33:06..648,,,,
15:33:06..672,2.5340301,0.003613,-0.00028308,-0.00000243,0.00025204,-0.00038485,0.00031282,-0.00032981,-0.00066704,-0.00055355,15:33:06..683,,,,
15:33:06..759,2.40991434,0.003605,-0.0002831,-0.00000203,0.00025193,-0.00038482,0.00031271,-0.00032944,-0.00066691,-0.00055324,15:33:06..861,,,,
15:33:06..911,2.40474285,0.003605,-0.00028291,-0.00000174,0.00025229,-0.00038467,0.00031308,-0.00032962,-0.0006667,-0.00055304,15:33:06..911,,,,
15:33:06..946,2.4823152,0.003534,-0.00028206,-0.00000205,0.00025109,-0.00038543,0.00031247,-0.00033069,-0.00066579,-0.00055055,15:33:06..954,,,,
15:33:07..066,2.64780288,0.003534,-0.00028192,-0.00000226,0.00025127,-0.00038516,0.00031256,-0.00033015,-0.00066545,-0.00055079,15:33:07..066,,,,
15:33:07..100,2.49782967,0.003442,-0.00028285,-0.00000157,0.00025127,-0.00038544,0.00031236,-0.00033,-0.00066477,-0.00055146,15:33:07..120,,,,
15:33:07..159,2.3788854,0.003394,-0.00028334,-0.00000228,0.00025105,-0.00038591,0.00031191,-0.00033054,-0.00066486,-0.00055242,15:33:07..164,,,,
15:33:07..210,2.42025732,0.003394,-0.00028326,-0.00000197,0.00025131,-0.00038568,0.00031234,-0.00033001,-0.00066497,-0.0005519,15:33:07..164,,,,
15:33:07..247,2.58057351,0.003327,-0.0002819,-0.00000213,0.00025108,-0.00038558,0.00031234,-0.00033073,-0.00066538,-0.0005512,15:33:07..263,,,,
