Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
15:13:21..235,4.0854771,-0.007414,-0.00004958,0.00022681,0.00046859,-0.00069312,0.00053883,-0.00004158,-0.00038165,-0.00025554,15:13:21..220,,,,
15:13:21..390,4.08030561,-0.007414,-0.00004939,0.00022675,0.0004693,-0.00069297,0.00053888,-0.0000415,-0.00038163,-0.00025566,15:13:21..393,,,,
15:13:21..423,4.05961965,-0.007356,-0.00004985,0.00022665,0.00046875,-0.00069286,0.00053862,-0.00004201,-0.0003812,-0.0002557,15:13:21..444,,,,
15:13:21..460,4.14236349,-0.007361,-0.00004917,0.00022645,0.00046887,-0.00069285,0.00053882,-0.00004181,-0.00038125,-0.00025577,15:13:21..490,,,,
15:13:21..544,4.10099157,-0.007361,-0.00004941,0.00022642,0.0004689,-0.00069279,0.00053883,-0.00004203,-0.00038142,-0.00025574,15:13:21..544,,,,
15:13:21..578,4.05961965,-0.00729,-0.00004931,0.0002267,0.00046891,-0.00069338,0.00053914,-0.00004198,-0.00038156,-0.00025549,15:13:21..587,,,,
15:13:21..656,4.12167753,-0.00729,-0.00004966,0.00022648,0.00046847,-0.00069322,0.00053857,-0.00004206,-0.00038165,-0.00025561,15:13:21..678,,,,
15:13:21..688,4.12167753,-0.00729,-0.00004952,0.00022629,0.00046892,-0.00069341,0.00053882,-0.00004172,-0.00038206,-0.00025541,15:13:21..678,,,,
15:13:21..723,4.05961965,-0.007256,-0.00004923,0.00022683,0.00046877,-0.00069325,0.00053917,-0.00004177,-0.00038139,-0.00025557,15:13:21..723,,,,
15:13:21..759,4.04927667,-0.007201,-0.00004958,0.00022628,0.00046921,-0.0006929,0.00053913,-0.00004219,-0.0003816,-0.00025595,15:13:21..767,,,,
15:13:21..851,4.12167753,-0.007201,-0.00004953,0.000226,0.00046857,-0.00069304,0.00053859,-0.00004251,-0.00038184,-0.00025611,15:13:21..877,,,,
15:13:21..886,4.05961965,-0.007201,-0.00004992,0.0002265,0.00046934,-0.00069327,0.00053887,-0.00004213,-0.00038178,-0.00025597,15:13:21..877,,,,
15:13:21..919,4.09582008,-0.007152,-0.00004946,0.00022666,0.00046929,-0.00069321,0.00053861,-0.0000414,-0.00038153,-0.00025582,15:13:21..953,,,,
15:13:22..034,4.09582008,-0.007152,-0.0000494,0.00022695,0.0004692,-0.000693,0.00053873,-0.00004187,-0.00038165,-0.00025554,15:13:22..032,,,,
15:13:22..065,4.02859071,-0.007149,-0.00004995,0.00022616,0.00046852,-0.00069307,0.00053866,-0.0000426,-0.0003818,-0.00025602,15:13:22..032,,,,
15:13:22..099,4.05961965,-0.007204,-0.00004922,0.00022661,0.00046895,-0.00069306,0.00053846,-0.00004207,-0.00038153,-0.00025593,15:13:22..113,,,,
15:13:22..261,4.137192,-0.007204,-0.00004932,0.00022668,0.00046891,-0.00069298,0.00053895,-0.00004159,-0.00038202,-0.00025569,15:13:22..259,,,,
15:13:22..293,4.12167753,-0.007204,-0.00004924,0.00022666,0.00046919,-0.00069318,0.00053873,-0.00004224,-0.00038157,-0.00025598,15:13:22..259,,,,
15:13:22..327,4.14753498,-0.007305,-0.00004951,0.00022675,0.00046888,-0.0006932,0.00053831,-0.00004227,-0.00038167,-0.00025594,15:13:22..410,,,,
15:13:22..471,4.08030561,-0.007305,-0.00004949,0.00022639,0.00046911,-0.00069302,0.00053882,-0.00004241,-0.00038151,-0.00025574,15:13:22..470,,,,
15:13:22..504,4.06479114,-0.007305,-0.00004911,0.00022693,0.00046893,-0.00069306,0.00053863,-0.00004207,-0.00038183,-0.00025532,15:13:22..470,,,,
15:13:22..537,4.05961965,-0.007256,-0.00004926,0.00022689,0.00046924,-0.00069305,0.00053852,-0.0000428,-0.00038147,-0.00025597,15:13:22..617,,,,
15:13:22..679,4.10616306,-0.007256,-0.00004946,0.00022662,0.00046905,-0.00069323,0.00053872,-0.00004204,-0.00038156,-0.00025571,15:13:22..617,,,,
15:13:22..711,4.06479114,-0.007256,-0.00004918,0.00022651,0.00046929,-0.00069319,0.00053814,-0.00004246,-0.00038172,-0.00025586,15:13:22..679,,,,
15:13:22..744,4.02341922,-0.00715,-0.00004895,0.00022699,0.00046945,-0.00069291,0.00053825,-0.00004226,-0.00038163,-0.00025591,15:13:22..796,,,,
15:13:22..848,4.12684902,-0.00715,-0.00004951,0.00022658,0.00046899,-0.00069332,0.00053853,-0.00004267,-0.00038146,-0.00025546,15:13:22..848,,,,
