Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
16:25:39..496,3.57867108,-0.00116,-0.0000907,0.0001773,0.00044756,-0.0007342,0.00050538,-0.00007255,-0.0004398,-0.00039424,16:25:39..546,,,,
16:25:39..571,3.62521449,-0.001171,-0.00009047,0.00017788,0.00044795,-0.00073383,0.00050554,-0.00007192,-0.00043981,-0.00039406,16:25:39..640,,,,
16:25:39..656,3.5683281,-0.001171,-0.00009061,0.00017767,0.00044798,-0.00073387,0.00050537,-0.0000726,-0.00043977,-0.00039407,16:25:39..640,,,,
16:25:39..689,3.59418555,-0.001189,-0.00009014,0.00017767,0.00044805,-0.00073384,0.00050536,-0.00007224,-0.00043963,-0.0003944,16:25:39..686,,,,
16:25:39..722,3.61487151,-0.001189,-0.00009069,0.00017767,0.0004479,-0.00073357,0.0005053,-0.00007261,-0.00043936,-0.00039455,16:25:39..728,,,,
16:25:39..808,3.62521449,-0.001189,-0.00009061,0.00017772,0.00044776,-0.00073368,0.0005055,-0.0000719,-0.00043942,-0.0003941,16:25:39..807,,,,
16:25:39..839,3.59935704,-0.001189,-0.00009017,0.00017806,0.00044787,-0.00073347,0.00050545,-0.00007221,-0.00043971,-0.00039402,16:25:39..807,,,,
16:25:39..874,3.60970002,-0.001276,-0.0000903,0.00017824,0.00044797,-0.00073328,0.00050531,-0.00007206,-0.00043919,-0.00039455,16:25:39..851,,,,
16:25:39..915,3.58901406,-0.001308,-0.00009033,0.00017798,0.00044801,-0.00073438,0.00050529,-0.00007263,-0.00043991,-0.00039449,16:25:39..956,,,,
16:25:39..966,3.61487151,-0.001308,-0.00009065,0.00017812,0.00044815,-0.00073417,0.00050509,-0.00007228,-0.00044001,-0.00039453,16:25:39..956,,,,
16:25:39..999,3.60452853,-0.001297,-0.00009036,0.00017788,0.00044831,-0.00073371,0.00050522,-0.00007244,-0.00043951,-0.00039413,16:25:40..041,,,,
16:25:40..050,3.55281363,-0.001297,-0.00009078,0.00017786,0.00044819,-0.00073427,0.00050552,-0.00007227,-0.00043974,-0.00039441,16:25:40..086,,,,
16:25:40..124,3.62521449,-0.001297,-0.00009052,0.00017814,0.00044822,-0.00073341,0.00050543,-0.00007188,-0.00043939,-0.00039423,16:25:40..086,,,,
16:25:40..154,3.59418555,-0.001198,-0.00009043,0.00017805,0.00044782,-0.00073407,0.00050507,-0.00007234,-0.00043954,-0.000394,16:25:40..181,,,,
16:25:40..248,3.62521449,-0.001198,-0.00009074,0.00017769,0.00044773,-0.00073413,0.00050543,-0.00007264,-0.00043974,-0.00039472,16:25:40..247,,,,
16:25:40..280,3.55798512,-0.001238,-0.00009047,0.00017816,0.00044757,-0.00073376,0.00050559,-0.00007234,-0.00043983,-0.00039392,16:25:40..300,,,,
16:25:40..353,3.66658641,-0.001255,-0.00009063,0.00017811,0.00044786,-0.00073418,0.00050549,-0.00007245,-0.00043947,-0.00039457,16:25:40..425,,,,
16:25:40..478,3.620043,-0.001255,-0.00009048,0.0001777,0.00044815,-0.00073386,0.00050515,-0.0000723,-0.00043964,-0.00039402,16:25:40..478,,,,
16:25:40..511,3.63555747,-0.001255,-0.00009065,0.00017759,0.00044776,-0.00073386,0.00050574,-0.0000724,-0.00043908,-0.00039425,16:25:40..478,,,,
16:25:40..546,3.70795833,-0.001175,-0.00009076,0.00017711,0.00044778,-0.00073402,0.00050565,-0.00007221,-0.00043932,-0.00039421,16:25:40..522,,,,
16:25:40..701,3.63038598,-0.001175,-0.00009072,0.00017825,0.00044805,-0.000734,0.0005053,-0.00007242,-0.00043966,-0.0003945,16:25:40..699,,,,
16:25:40..732,3.65624343,-0.001175,-0.00009052,0.00017777,0.00044814,-0.0007336,0.00050542,-0.00007228,-0.00043934,-0.00039402,16:25:40..699,,,,
16:25:40..766,3.59935704,-0.000952,-0.00009008,0.00017766,0.00044814,-0.00073356,0.00050574,-0.00007215,-0.00043919,-0.00039409,16:25:40..820,,,,
16:25:40..870,3.55281363,-0.000952,-0.00009053,0.00017755,0.00044817,-0.00073363,0.00050527,-0.00007248,-0.00043989,-0.00039426,16:25:40..881,,,,
16:25:40..902,23.25101904,-0.000961,-0.00009042,0.00017772,0.00044799,-0.00073375,0.00050525,-0.0000722,-0.00043967,-0.00039455,16:25:40..881,,,,
16:25:40..961,21.77714439,-0.000611,-0.00009062,0.00017778,0.00044787,-0.00073347,0.00050518,-0.00007217,-0.00043959,-0.00039422,16:25:41..003,,,,
16:25:41..019,10.19300679,-0.000611,-0.0000905,0.00017804,0.00044801,-0.00073347,0.00050539,-0.00007252,-0.00043958,-0.00039445,16:25:41..003,,,,
16:25:41..054,14.71806054,0.009985,-0.00009066,0.00017754,0.00044774,-0.00073364,0.00050443,-0.00007313,-0.00044031,-0.0003933,16:25:41..099,,,,
16:25:41..242,12.61326411,0.009985,-0.00009129,0.00017735,0.00044742,-0.00073392,0.00050515,-0.00007322,-0.00044058,-0.00039352,16:25:41..241,,,,
16:25:41..275,17.05557402,0.028977,-0.00009139,0.00017773,0.00044832,-0.00073342,0.0005063,-0.00007411,-0.00044069,-0.00038697,16:25:41..285,,,,
16:25:41..363,18.12607245,0.028977,-0.00009085,0.00017796,0.00044846,-0.00073328,0.00050586,-0.00007396,-0.00044083,-0.00038755,16:25:41..468,,,,
16:25:41..512,18.60702102,0.063354,-0.00009156,0.00017783,0.00044841,-0.00073341,0.00050623,-0.00007415,-0.00044063,-0.00038735,16:25:41..511,,,,
16:25:41..545,18.69493635,0.072576,-0.0000917,0.00017955,0.00045073,-0.00073246,0.00051061,-0.0000736,-0.000442,-0.00037927,16:25:41..557,,,,
16:25:41..599,19.19657088,0.09989,-0.00009163,0.00017944,0.00045091,-0.00073244,0.00051138,-0.0000732,-0.00044209,-0.0003787,16:25:41..660,,,,
16:25:41..700,19.14485598,0.09989,-0.00009184,0.00017988,0.00045103,-0.00073235,0.00051127,-0.00007352,-0.00044196,-0.00037857,16:25:41..700,,,,
16:25:41..733,19.20174237,0.116891,-0.00009139,0.00018015,0.00045243,-0.0007304,0.00051496,-0.0000716,-0.00044247,-0.00037131,16:25:41..743,,,,
16:25:41..849,19.43445942,0.116891,-0.00009075,0.00018058,0.00045263,-0.00073068,0.00051539,-0.0000718,-0.00044223,-0.00037151,16:25:41..902,,,,
16:25:41..909,19.78612074,0.116891,-0.00009087,0.00018014,0.00045206,-0.00073037,0.00051498,-0.00007188,-0.00044238,-0.00037183,16:25:41..902,,,,
16:25:41..943,19.99298034,0.146793,-0.00009022,0.00018018,0.00045376,-0.00072933,0.00051874,-0.000069,-0.00044244,-0.00036668,16:25:41..946,,,,
16:25:42..042,19.86886458,0.146793,-0.00009085,0.00018033,0.0004537,-0.00072908,0.00051892,-0.00006963,-0.00044266,-0.00036665,16:25:42..081,,,,
16:25:42..124,19.93092246,0.146793,-0.00009069,0.00018072,0.00045369,-0.00072906,0.00051939,-0.00006985,-0.00044223,-0.00036602,16:25:42..081,,,,
16:25:42..159,20.13261057,0.170662,-0.00008964,0.00018133,0.00045513,-0.00072744,0.00052291,-0.00006713,-0.00044205,-0.00036108,16:25:42..170,,,,
16:25:42..285,19.99298034,0.170662,-0.00008989,0.00018115,0.0004549,-0.00072704,0.00052273,-0.0000674,-0.00044205,-0.00036065,16:25:42..317,,,,
16:25:42..350,20.54632977,0.170662,-0.00009006,0.00018151,0.00045515,-0.00072735,0.00052257,-0.00006721,-0.00044238,-0.00036068,16:25:42..317,,,,
16:25:42..384,20.76353235,0.192624,-0.00008895,0.00018174,0.00045677,-0.000726,0.00052697,-0.00006457,-0.00044224,-0.00035535,16:25:42..427,,,,
16:25:42..579,20.89799109,0.192624,-0.00008849,0.00018239,0.00045662,-0.00072571,0.00052675,-0.0000647,-0.00044211,-0.00035525,16:25:42..577,,,,
16:25:42..611,21.21862347,0.202308,-0.00008732,0.00018283,0.00045825,-0.00072461,0.00053126,-0.00006162,-0.00044173,-0.00034876,16:25:42..619,,,,
