Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
16:04:04..573,3.75450174,0.00056,-0.00008046,0.00018422,0.00045069,-0.00072532,0.00050476,-0.0000646,-0.00043415,-0.00040038,16:04:04..658,,,,
16:04:04..779,3.77001621,0.00056,-0.00008075,0.00018466,0.00045067,-0.00072526,0.00050483,-0.00006426,-0.00043415,-0.00040059,16:04:04..804,,,,
16:04:04..826,4.04410518,0.000598,-0.00008002,0.00018495,0.0004508,-0.00072532,0.00050454,-0.00006432,-0.00043395,-0.00040092,16:04:04..849,,,,
16:04:04..952,4.08030561,0.000598,-0.00008031,0.00018512,0.00045051,-0.00072513,0.00050474,-0.00006462,-0.00043432,-0.00040127,16:04:04..849,,,,
16:04:04..986,3.94067538,0.000598,-0.00008073,0.00018498,0.00045053,-0.00072512,0.00050452,-0.00006503,-0.00043419,-0.00040111,16:04:04..961,,,,
16:04:05..022,4.137192,0.000534,-0.0000806,0.00018452,0.00045021,-0.00072587,0.00050413,-0.00006517,-0.0004341,-0.00040125,16:04:05..078,,,,
16:04:05..161,3.94067538,0.000534,-0.0000802,0.00018424,0.00044995,-0.00072562,0.00050432,-0.00006503,-0.00043402,-0.00040098,16:04:05..078,,,,
16:04:05..194,4.2923367,0.000625,-0.00007984,0.00018473,0.00045055,-0.0007255,0.00050442,-0.00006493,-0.00043404,-0.00040025,16:04:05..162,,,,
16:04:05..261,3.80104515,0.000625,-0.00008003,0.00018482,0.00045037,-0.00072573,0.0005042,-0.00006508,-0.00043421,-0.0004007,16:04:05..302,,,,
16:04:05..309,3.82173111,0.000625,-0.00007979,0.00018448,0.00045034,-0.0007251,0.00050457,-0.000065,-0.00043375,-0.00040029,16:04:05..302,,,,
16:04:05..343,4.01307624,0.000633,-0.00008038,0.00018465,0.00045065,-0.00072547,0.0005042,-0.00006527,-0.00043428,-0.00040084,16:04:05..358,,,,
16:04:05..487,4.06996263,0.000633,-0.00008027,0.00018422,0.00045037,-0.00072562,0.00050454,-0.00006588,-0.00043423,-0.00040139,16:04:05..485,,,,
16:04:05..519,4.15787796,0.000741,-0.00008055,0.00018401,0.00045083,-0.00072337,0.0005144,-0.00006575,-0.00043308,-0.0003901,16:04:05..527,,,,
16:04:05..591,4.05444816,0.000772,-0.00008009,0.00018388,0.00045117,-0.00072345,0.00051493,-0.00006608,-0.00043322,-0.0003901,16:04:05..653,,,,
16:04:05..666,3.75450174,0.000772,-0.00007968,0.00018414,0.00045118,-0.00072305,0.00051515,-0.00006521,-0.00043331,-0.00038976,16:04:05..653,,,,
16:04:05..700,4.08030561,0.00081,-0.00007992,0.00018469,0.00045143,-0.00072063,0.00051719,-0.00006547,-0.00043295,-0.00038842,16:04:05..705,,,,
16:04:05..796,3.90964644,0.00081,-0.00007997,0.00018413,0.00045166,-0.00072059,0.0005177,-0.00006604,-0.00043302,-0.0003887,16:04:05..889,,,,
16:04:05..895,3.85276005,0.00081,-0.00008,0.00018467,0.00045088,-0.00072068,0.00051762,-0.00006551,-0.00043294,-0.00038886,16:04:05..889,,,,
16:04:05..929,3.77001621,0.000854,-0.00008043,0.00018443,0.00045262,-0.00071542,0.00054624,-0.0000639,-0.00043008,-0.00037341,16:04:05..930,,,,
16:04:06..010,3.86310303,0.000854,-0.0000807,0.00018378,0.00045272,-0.00071584,0.000546,-0.0000641,-0.00042997,-0.00037329,16:04:06..045,,,,
16:04:06..052,4.05444816,0.000854,-0.00008064,0.00018393,0.00045235,-0.00071567,0.00054652,-0.00006454,-0.00043056,-0.00037351,16:04:06..045,,,,
16:04:06..087,3.88378899,0.000866,-0.00007983,0.00018467,0.00045179,-0.00071982,0.00053877,-0.00006421,-0.00043049,-0.00037577,16:04:06..122,,,,
16:04:06..206,3.64072896,0.000866,-0.00007983,0.00018426,0.00045173,-0.00072009,0.00053798,-0.00006381,-0.00042989,-0.00037578,16:04:06..204,,,,
16:04:06..238,3.80621664,0.000802,-0.00008043,0.00018413,0.00045112,-0.0007224,0.00053871,-0.00006341,-0.00043069,-0.00038438,16:04:06..249,,,,
16:04:06..316,3.99756177,0.000822,-0.00008038,0.00018412,0.00045095,-0.00072324,0.00053847,-0.0000633,-0.00043091,-0.00038452,16:04:06..356,,,,
16:04:06..398,3.91998942,0.000829,-0.00008059,0.00018387,0.00045067,-0.00072328,0.00053863,-0.0000635,-0.00043136,-0.00038483,16:04:06..400,,,,
16:04:06..431,3.72864429,0.000829,-0.00008,0.00018446,0.00045092,-0.00072357,0.00052358,-0.00006348,-0.00043234,-0.00038987,16:04:06..445,,,,
16:04:06..465,3.73381578,0.000835,-0.00008205,0.00018371,0.00045073,-0.00072329,0.00050868,-0.00006448,-0.00043414,-0.00039817,16:04:06..490,,,,
16:04:06..589,3.94067538,0.000835,-0.00008174,0.00018419,0.00045089,-0.00072319,0.00050868,-0.00006413,-0.00043354,-0.00039801,16:04:06..587,,,,
16:04:06..621,3.78553068,0.000835,-0.00008253,0.00018373,0.00045113,-0.00072295,0.00050859,-0.00006436,-0.00043441,-0.00039792,16:04:06..587,,,,
16:04:06..655,3.6717579,0.000965,-0.00008436,0.00018515,0.00045068,-0.0007236,0.00050902,-0.00006311,-0.00043351,-0.00039916,16:04:06..733,,,,
16:04:06..808,4.00790475,0.000965,-0.00008497,0.00018509,0.00045059,-0.00072351,0.0005085,-0.00006357,-0.00043338,-0.00039863,16:04:06..808,,,,
16:04:06..840,3.89930346,0.000977,-0.00008246,0.0001835,0.0004505,-0.00072456,0.00050851,-0.00006451,-0.00043442,-0.00039753,16:04:06..851,,,,
16:04:06..875,3.94067538,0.000945,-0.00008334,0.00018417,0.00045033,-0.00072398,0.00050893,-0.00006412,-0.00043334,-0.00039808,16:04:06..905,,,,
16:04:07..014,4.02341922,0.000945,-0.00008353,0.00018414,0.00045041,-0.00072377,0.00050932,-0.00006386,-0.00043398,-0.00039771,16:04:07..012,,,,
16:04:07..046,3.93550389,0.00089,-0.00008048,0.00018512,0.00045041,-0.00072436,0.00050793,-0.00006438,-0.00043434,-0.00039913,16:04:07..012,,,,
16:04:07..136,3.95101836,0.00089,-0.00008066,0.00018549,0.00045079,-0.00072465,0.00050784,-0.00006481,-0.00043412,-0.0003991,16:04:07..205,,,,
16:04:07..227,3.83724558,0.00089,-0.00008076,0.00018549,0.00045043,-0.00072448,0.00050773,-0.00006445,-0.00043457,-0.00039907,16:04:07..205,,,,
16:04:07..259,3.94584687,0.000883,-0.00008007,0.0001841,0.00045025,-0.00072458,0.0005076,-0.00006428,-0.00043434,-0.0003993,16:04:07..248,,,,
16:04:07..292,3.91998942,0.000985,-0.00007949,0.00018416,0.00045055,-0.00072463,0.00050777,-0.0000652,-0.00043469,-0.0003987,16:04:07..368,,,,
16:04:07..421,3.83724558,0.000985,-0.0000796,0.00018487,0.00045052,-0.00072459,0.00050776,-0.00006493,-0.00043432,-0.00039876,16:04:07..420,,,,
16:04:07..453,3.8269026,0.000985,-0.00007919,0.00018475,0.00045056,-0.00072499,0.00050704,-0.00006452,-0.00043421,-0.00039716,16:04:07..420,,,,
16:04:07..488,3.78035919,0.001061,-0.00007954,0.00018452,0.00045042,-0.00072476,0.00050738,-0.00006455,-0.00043418,-0.00039782,16:04:07..573,,,,
16:04:07..635,3.8786175,0.001061,-0.00007998,0.00018423,0.00045011,-0.00072463,0.00050733,-0.00006478,-0.00043397,-0.00039744,16:04:07..647,,,,
16:04:07..669,4.04410518,0.001061,-0.00007947,0.0001848,0.00045055,-0.00072439,0.00050761,-0.00006558,-0.0004346,-0.00039673,16:04:07..647,,,,
16:04:07..703,3.93550389,0.001079,-0.00007947,0.00018427,0.0004507,-0.00072476,0.00050739,-0.00006477,-0.00043429,-0.00039686,16:04:07..745,,,,
