Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
15:19:17..110,2.57540202,-0.007314,-0.00005294,0.00022558,0.000474,-0.00069802,0.00052736,-0.0000447,-0.00038856,-0.00026205,15:19:17..078,,,,
15:19:17..183,4.51471077,-0.007314,-0.0000523,0.00022568,0.00047434,-0.00069805,0.00052713,-0.00004415,-0.00038873,-0.00026182,15:19:17..158,,,,
15:19:17..217,3.21666678,-0.007317,-0.00005308,0.00022573,0.0004742,-0.00069852,0.00052734,-0.00004483,-0.0003889,-0.00026223,15:19:17..158,,,,
15:19:17..296,1.89793683,-0.007396,-0.000053,0.00022559,0.00047428,-0.00069862,0.00052684,-0.00004452,-0.00038866,-0.00026227,15:19:17..337,,,,
15:19:17..357,3.84241707,-0.007422,-0.00005257,0.00022585,0.00047434,-0.00069809,0.00052737,-0.00004424,-0.0003886,-0.00026231,15:19:17..428,,,,
15:19:17..450,3.54247065,-0.007468,-0.00005275,0.00022588,0.00047399,-0.00069805,0.00052696,-0.00004477,-0.00038841,-0.00026262,15:19:17..499,,,,
15:19:17..572,4.36990905,-0.007468,-0.00005299,0.000226,0.00047407,-0.0006985,0.00052707,-0.00004449,-0.00038831,-0.00026253,15:19:17..572,,,,
15:19:17..606,2.65814586,-0.007468,-0.00005273,0.00022597,0.00047374,-0.00069828,0.00052713,-0.00004465,-0.00038868,-0.00026275,15:19:17..572,,,,
15:19:17..643,4.42162395,-0.007583,-0.00005292,0.00022566,0.00047373,-0.00069821,0.00052708,-0.00004433,-0.00038854,-0.00026253,15:19:17..804,,,,
15:19:18..001,4.3440516,-0.007583,-0.0000532,0.00022567,0.0004738,-0.00069814,0.00052681,-0.00004451,-0.00038895,-0.00026297,15:19:17..804,,,,
15:19:18..034,3.89413197,-0.007583,-0.00005278,0.00022531,0.000474,-0.00069842,0.00052691,-0.00004485,-0.00038886,-0.00026261,15:19:18..011,,,,
15:19:18..068,3.63555747,-0.007733,-0.00005249,0.00022527,0.00047394,-0.00069843,0.00052695,-0.00004481,-0.00038898,-0.00026278,15:19:18..081,,,,
15:19:18..158,3.71830131,-0.007921,-0.00005269,0.00022591,0.00047403,-0.00069815,0.00052755,-0.00004424,-0.00038833,-0.00026221,15:19:18..208,,,,
15:19:18..256,3.68727237,-0.007921,-0.00005284,0.00022554,0.00047368,-0.00069803,0.00052711,-0.00004455,-0.00038866,-0.00026201,15:19:18..257,,,,
15:19:18..290,3.84241707,-0.007985,-0.00005309,0.00022558,0.00047413,-0.00069845,0.00052671,-0.00004485,-0.00038853,-0.00026216,15:19:18..257,,,,
15:19:18..354,3.80104515,-0.007985,-0.00005279,0.00022556,0.00047341,-0.00069785,0.00052718,-0.00004464,-0.00038827,-0.00026231,15:19:18..406,,,,
15:19:18..451,3.94584687,-0.008016,-0.00005265,0.00022551,0.00047373,-0.00069891,0.00052704,-0.0000448,-0.00038892,-0.00026224,15:19:18..406,,,,
15:19:18..484,3.75967323,-0.008024,-0.00005279,0.00022553,0.00047422,-0.00069785,0.00052742,-0.00004473,-0.00038822,-0.0002627,15:19:18..497,,,,
15:19:18..518,3.78553068,-0.008,-0.00005275,0.0002254,0.00047383,-0.00069826,0.00052684,-0.00004479,-0.00038817,-0.00026232,15:19:18..542,,,,
15:19:18..729,3.65624343,-0.008,-0.00005336,0.00022575,0.00047381,-0.00069839,0.00052744,-0.00004491,-0.00038825,-0.00026221,15:19:18..729,,,,
15:19:18..763,4.05444816,-0.007829,-0.00005331,0.00022522,0.00047361,-0.00069872,0.00052658,-0.00004493,-0.00038862,-0.00026251,15:19:18..772,,,,
15:19:18..831,3.6717579,-0.007829,-0.00005333,0.00022543,0.00047407,-0.00069815,0.00052719,-0.0000446,-0.00038798,-0.00026196,15:19:18..878,,,,
15:19:18..885,3.82173111,-0.007829,-0.00005284,0.00022565,0.00047385,-0.00069853,0.00052725,-0.00004462,-0.0003885,-0.0002621,15:19:18..878,,,,
15:19:18..919,3.71830131,-0.007835,-0.00005288,0.00022556,0.00047376,-0.00069811,0.00052679,-0.0000451,-0.00038853,-0.00026283,15:19:18..972,,,,
15:19:19..337,3.74933025,-0.007835,-0.00005333,0.0002252,0.00047364,-0.00069819,0.00052686,-0.00004482,-0.00038849,-0.00026289,15:19:19..375,,,,
15:19:19..408,3.74415876,-0.007832,-0.00005338,0.00022536,0.00047328,-0.00069863,0.00052724,-0.00004481,-0.0003888,-0.00026245,15:19:19..375,,,,
15:19:19..442,3.71830131,-0.007813,-0.0000536,0.00022497,0.00047362,-0.00069841,0.00052659,-0.00004526,-0.00038846,-0.00026289,15:19:19..419,,,,
15:19:19..544,3.68210088,-0.007813,-0.00005318,0.00022525,0.00047386,-0.00069807,0.00052723,-0.0000447,-0.00038859,-0.00026282,15:19:19..548,,,,
15:19:19..577,3.7751877,-0.007903,-0.00005299,0.00022583,0.00047372,-0.00069853,0.00052674,-0.00004501,-0.00038878,-0.00026253,15:19:19..589,,,,
15:19:19..742,3.73381578,-0.007903,-0.00005271,0.0002256,0.0004738,-0.00069839,0.00052656,-0.00004499,-0.00038844,-0.00026243,15:19:19..817,,,,
15:19:19..841,3.76484472,-0.007903,-0.00005292,0.00022553,0.00047381,-0.00069795,0.00052689,-0.000045,-0.00038866,-0.00026269,15:19:19..817,,,,
15:19:19..873,3.74415876,-0.00802,-0.00005331,0.00022527,0.00047365,-0.00069826,0.00052643,-0.00004459,-0.00038883,-0.00026279,15:19:19..905,,,,
15:19:20..263,3.77001621,-0.00802,-0.00005326,0.00022553,0.00047406,-0.00069788,0.00052639,-0.00004491,-0.00038896,-0.0002627,15:19:20..263,,,,
15:19:20..297,3.32526807,-0.008236,-0.00005301,0.00022503,0.00047339,-0.00069832,0.00052678,-0.00004526,-0.000389,-0.00026282,15:19:20..307,,,,
15:19:20..437,5.08357467,-0.008236,-0.00005341,0.00022503,0.0004738,-0.00069791,0.00052693,-0.00004499,-0.0003881,-0.00026291,15:19:20..494,,,,
15:19:20..520,3.76484472,-0.008236,-0.00005355,0.00022491,0.00047343,-0.00069818,0.00052623,-0.00004505,-0.0003889,-0.00026287,15:19:20..494,,,,
15:19:20..553,3.8269026,-0.008225,-0.00005348,0.0002251,0.00047384,-0.0006979,0.00052688,-0.00004544,-0.00038896,-0.00026239,15:19:20..538,,,,
15:19:20..587,3.55281363,-0.008158,-0.00005331,0.0002248,0.00047345,-0.00069799,0.00052669,-0.00004484,-0.00038839,-0.00026298,15:19:20..655,,,,
15:19:20..716,3.55798512,-0.008158,-0.00005335,0.00022488,0.00047395,-0.0006975,0.00052683,-0.00004493,-0.00038878,-0.00026257,15:19:20..756,,,,
15:19:20..765,3.99756177,-0.008158,-0.00005334,0.00022496,0.00047381,-0.00069804,0.00052697,-0.00004506,-0.00038852,-0.00026257,15:19:20..756,,,,
15:19:20..798,3.69761535,-0.008035,-0.00005318,0.00022489,0.00047354,-0.00069787,0.00052727,-0.00004506,-0.00038839,-0.00026225,15:19:20..801,,,,
15:19:20..928,3.35112552,-0.008035,-0.00005354,0.00022534,0.00047351,-0.0006982,0.00052691,-0.00004523,-0.00038821,-0.00026258,15:19:20..928,,,,
15:19:20..961,3.68210088,-0.007909,-0.00005318,0.00022491,0.00047341,-0.0006979,0.00052689,-0.00004482,-0.00038882,-0.00026237,15:19:20..974,,,,
15:19:21..117,3.21666678,-0.007909,-0.00005358,0.00022485,0.00047357,-0.00069801,0.00052704,-0.00004506,-0.00038918,-0.00026257,15:19:21..170,,,,
15:19:21..201,4.01824773,-0.007909,-0.00005305,0.00022508,0.00047342,-0.0006975,0.00052667,-0.00004507,-0.00038868,-0.0002627,15:19:21..170,,,,
15:19:21..234,3.45455532,-0.007829,-0.00005311,0.00022482,0.00047342,-0.00069819,0.00052671,-0.0000453,-0.00038908,-0.00026268,15:19:21..259,,,,
15:19:21..506,3.68727237,-0.007829,-0.00005301,0.00022556,0.00047382,-0.00069749,0.00052722,-0.00004503,-0.00038849,-0.00026246,15:19:21..505,,,,
15:19:21..538,3.75967323,-0.007841,-0.00005357,0.00022482,0.00047356,-0.00069771,0.00052655,-0.00004478,-0.00038856,-0.00026272,15:19:21..551,,,,
15:19:21..718,3.90964644,-0.007841,-0.00005353,0.0002247,0.00047341,-0.00069779,0.00052668,-0.0000453,-0.00038861,-0.00026233,15:19:21..831,,,,
15:19:21..838,3.7751877,-0.007841,-0.00005362,0.00022491,0.00047371,-0.00069745,0.00052731,-0.00004488,-0.00038922,-0.00026232,15:19:21..831,,,,
15:19:21..871,3.70278684,-0.007805,-0.00005356,0.00022494,0.00047369,-0.00069784,0.00052672,-0.00004514,-0.00038874,-0.00026304,15:19:21..831,,,,
15:19:22..010,3.85276005,-0.007805,-0.00005374,0.00022474,0.00047323,-0.00069784,0.00052656,-0.00004503,-0.00038909,-0.00026247,15:19:22..165,,,,
15:19:22..185,3.83207409,-0.007805,-0.00005374,0.00022464,0.00047326,-0.00069788,0.00052702,-0.00004488,-0.00038889,-0.00026281,15:19:22..165,,,,
15:19:22..218,3.68727237,-0.008052,-0.00005354,0.00022505,0.00047336,-0.00069762,0.00052696,-0.00004459,-0.00038927,-0.00026305,15:19:22..212,,,,
15:19:22..251,3.78553068,-0.008082,-0.00005375,0.00022488,0.00047322,-0.00069741,0.00052694,-0.00004454,-0.0003887,-0.00026267,15:19:22..264,,,,
15:19:22..527,3.79070217,-0.008082,-0.00005373,0.0002248,0.0004735,-0.00069722,0.00052671,-0.00004494,-0.00038857,-0.00026258,15:19:22..527,,,,
15:19:22..560,3.70278684,-0.008151,-0.00005337,0.00022445,0.00047343,-0.00069743,0.00052722,-0.00004507,-0.00038894,-0.00026309,15:19:22..570,,,,
15:19:22..709,3.9303324,-0.008151,-0.00005345,0.00022438,0.00047363,-0.00069755,0.00052634,-0.00004501,-0.00038871,-0.00026296,15:19:22..753,,,,
15:19:22..762,3.79587366,-0.008151,-0.00005308,0.00022491,0.00047334,-0.00069779,0.00052657,-0.00004515,-0.00038857,-0.00026263,15:19:22..753,,,,
15:19:22..794,3.66658641,-0.008187,-0.00005387,0.00022455,0.00047341,-0.00069757,0.00052661,-0.00004466,-0.00038856,-0.00026299,15:19:22..788,,,,
15:19:22..876,3.77001621,-0.008181,-0.00005355,0.00022454,0.00047355,-0.00069763,0.00052689,-0.00004492,-0.00038842,-0.00026265,15:19:23..004,,,,
15:19:23..025,3.69761535,-0.008181,-0.00005361,0.0002245,0.00047343,-0.00069756,0.00052669,-0.00004497,-0.00038879,-0.000263,15:19:23..004,,,,
15:19:23..057,3.68210088,-0.008202,-0.00005376,0.00022464,0.00047321,-0.0006975,0.0005266,-0.00004483,-0.00038857,-0.0002631,15:19:23..092,,,,
15:19:23..219,3.85793154,-0.008202,-0.00005322,0.00022478,0.0004733,-0.00069736,0.00052667,-0.00004466,-0.00038864,-0.00026284,15:19:23..218,,,,
15:19:23..251,3.620043,-0.008152,-0.00005308,0.00022503,0.00047317,-0.00069715,0.00052688,-0.00004465,-0.00038908,-0.00026293,15:19:23..261,,,,
15:19:23..331,3.84241707,-0.008152,-0.00005339,0.00022486,0.00047371,-0.0006973,0.00052699,-0.0000447,-0.00038859,-0.00026267,15:19:23..372,,,,
15:19:23..379,3.71830131,-0.008152,-0.0000537,0.0002251,0.00047333,-0.00069753,0.00052709,-0.00004465,-0.00038867,-0.00026274,15:19:23..372,,,,
15:19:23..412,3.83207409,-0.008066,-0.00005336,0.00022461,0.00047405,-0.00069818,0.00052659,-0.00004444,-0.00038826,-0.00026271,15:19:23..415,,,,
15:19:23..535,3.80621664,-0.008066,-0.00005293,0.00022514,0.00047346,-0.00069781,0.00052685,-0.00004478,-0.00038838,-0.00026232,15:19:23..534,,,,
15:19:23..567,3.65624343,-0.008101,-0.00005308,0.00022468,0.00047351,-0.00069701,0.00052687,-0.00004468,-0.0003886,-0.00026245,15:19:23..568,,,,
15:19:23..600,3.62521449,-0.008154,-0.00005297,0.00022514,0.00047359,-0.00069719,0.00052647,-0.0000449,-0.00038873,-0.00026312,15:19:23..611,,,,
15:19:23..802,3.83724558,-0.008154,-0.00005286,0.0002249,0.00047313,-0.00069689,0.00052694,-0.0000444,-0.00038871,-0.0002631,15:19:23..802,,,,
15:19:23..836,3.78035919,-0.008147,-0.00005292,0.00022495,0.00047347,-0.00069674,0.00052773,-0.00004505,-0.00038885,-0.00026222,15:19:23..845,,,,
15:19:24..004,3.78553068,-0.008147,-0.00005277,0.00022439,0.00047336,-0.00069673,0.00052738,-0.00004489,-0.00038889,-0.00026236,15:19:24..086,,,,
15:19:24..112,3.68727237,-0.008147,-0.0000527,0.00022485,0.00047341,-0.00069667,0.00052725,-0.00004517,-0.00038892,-0.00026207,15:19:24..086,,,,
15:19:24..145,3.72864429,-0.007898,-0.00005191,0.0002265,0.00047448,-0.00069605,0.00052597,-0.00004607,-0.00038894,-0.00025838,15:19:24..173,,,,
15:19:24..307,3.81138813,-0.007898,-0.00005182,0.00022598,0.00047447,-0.00069604,0.00052607,-0.00004629,-0.00038911,-0.00025823,15:19:24..307,,,,
15:19:24..340,3.69244386,-0.007734,-0.00005197,0.00022607,0.00047473,-0.00069575,0.00052846,-0.00004434,-0.00038968,-0.00026303,15:19:24..342,,,,
15:19:24..475,3.73898727,-0.007734,-0.00005213,0.00022546,0.00047399,-0.00069562,0.0005284,-0.00004531,-0.00038996,-0.00026394,15:19:24..544,,,,
15:19:24..569,3.84241707,-0.007734,-0.00005206,0.00022558,0.00047465,-0.00069567,0.00052823,-0.00004505,-0.00038968,-0.0002635,15:19:24..544,,,,
15:19:24..602,3.83207409,-0.007595,-0.00005292,0.00022501,0.00047354,-0.00069662,0.00052793,-0.00004438,-0.00038884,-0.00026284,15:19:24..633,,,,
15:19:24..803,3.78553068,-0.007595,-0.00005309,0.00022535,0.00047351,-0.00069649,0.00052802,-0.00004444,-0.00038837,-0.00026299,15:19:24..803,,,,
15:19:24..837,4.04410518,-0.007595,-0.00005197,0.00022614,0.00047406,-0.00069621,0.00052827,-0.00004466,-0.00038872,-0.0002627,15:19:24..803,,,,
15:19:24..871,3.86310303,-0.00792,-0.00005221,0.00022539,0.00047401,-0.00069653,0.0005276,-0.00004423,-0.00038875,-0.00026291,15:19:24..967,,,,
15:19:25..076,3.61487151,-0.00792,-0.00005291,0.00022533,0.00047441,-0.00069675,0.00052717,-0.0000445,-0.00038848,-0.00026238,15:19:25..076,,,,
15:19:25..108,3.81138813,-0.008055,-0.00005213,0.00022557,0.00047466,-0.00069556,0.00052626,-0.00004565,-0.00038857,-0.00026255,15:19:25..076,,,,
15:19:25..175,3.71830131,-0.008055,-0.000052,0.00022589,0.00047448,-0.00069457,0.0005269,-0.00004528,-0.00038886,-0.00026227,15:19:25..215,,,,
15:19:25..222,3.87344601,-0.008055,-0.00005168,0.00022612,0.00047485,-0.00069472,0.00052702,-0.00004529,-0.00038872,-0.00026231,15:19:25..215,,,,
15:19:25..257,3.65107194,-0.008187,-0.0000522,0.00022523,0.00047417,-0.00069695,0.00052659,-0.00004356,-0.00038851,-0.0002618,15:19:25..260,,,,
15:19:25..360,3.8269026,-0.008187,-0.00005224,0.00022491,0.00047375,-0.00069766,0.00052648,-0.00004358,-0.00038849,-0.00026235,15:19:25..358,,,,
15:19:25..392,3.76484472,-0.008173,-0.00005171,0.00022514,0.00047441,-0.00069775,0.00052667,-0.00004365,-0.00038844,-0.00026223,15:19:25..468,,,,
15:19:25..503,3.77001621,-0.008173,-0.00005192,0.00022518,0.00047404,-0.0006977,0.00052664,-0.00004394,-0.00038817,-0.00026205,15:19:25..468,,,,
15:19:25..536,3.79587366,-0.008217,-0.0000527,0.00022494,0.00047259,-0.00070107,0.00052338,-0.00004158,-0.00038681,-0.00026309,15:19:25..558,,,,
15:19:25..690,3.8269026,-0.008217,-0.00005332,0.00022479,0.00047252,-0.00070108,0.0005233,-0.00004179,-0.00038684,-0.00026285,15:19:25..688,,,,
15:19:25..722,3.67692939,-0.008271,-0.00005273,0.00022476,0.00047245,-0.00069867,0.000527,-0.00004287,-0.00038701,-0.00026352,15:19:25..688,,,,
15:19:25..815,3.79587366,-0.008271,-0.00005297,0.00022432,0.00047252,-0.00069872,0.00052718,-0.0000431,-0.00038772,-0.00026368,15:19:25..845,,,,
15:19:25..852,3.78553068,-0.008271,-0.00005281,0.00022475,0.00047306,-0.00069841,0.00052762,-0.00004327,-0.00038749,-0.00026331,15:19:25..845,,,,
15:19:25..889,3.88896048,-0.008268,-0.00005159,0.00022552,0.00047528,-0.00069621,0.00052497,-0.00004435,-0.00038767,-0.0002608,15:19:25..891,,,,
15:19:26..137,3.69761535,-0.008268,-0.00005235,0.00022536,0.00047508,-0.00069646,0.00052456,-0.00004471,-0.00038749,-0.00026101,15:19:26..137,,,,
15:19:26..170,3.76484472,-0.008268,-0.00005243,0.00022713,0.00047533,-0.00069658,0.00052578,-0.0000447,-0.0003885,-0.00026651,15:19:26..137,,,,
15:19:26..204,3.77001621,-0.008194,-0.00005192,0.00022853,0.00047527,-0.00069691,0.00052738,-0.00004364,-0.00038895,-0.0002665,15:19:26..290,,,,
15:19:26..355,3.7234728,-0.008194,-0.00005215,0.0002283,0.00047528,-0.00069656,0.00052639,-0.00004454,-0.00038876,-0.00026645,15:19:26..355,,,,
15:19:26..387,3.71830131,-0.00821,-0.00005014,0.00022702,0.00047597,-0.00069413,0.00053034,-0.00004311,-0.0003905,-0.00025912,15:19:26..399,,,,
15:19:26..503,3.72864429,-0.00821,-0.00004991,0.00022727,0.00047595,-0.0006942,0.00053094,-0.00004273,-0.00039019,-0.00025928,15:19:26..503,,,,
15:19:26..536,3.7751877,-0.008323,-0.00005017,0.00022919,0.00047694,-0.00069445,0.00052759,-0.00004571,-0.00038969,-0.00025689,15:19:26..503,,,,
15:19:26..618,3.84758856,-0.008323,-0.00005028,0.00022956,0.00047688,-0.00069441,0.0005278,-0.00004598,-0.00038945,-0.00025672,15:19:26..662,,,,
15:19:26..669,3.79070217,-0.008323,-0.00005055,0.00022887,0.00047723,-0.00069435,0.00052704,-0.0000461,-0.00038994,-0.00025696,15:19:26..662,,,,
15:19:26..702,3.73898727,-0.008392,-0.00004959,0.00022861,0.00047665,-0.00069509,0.00052694,-0.00004627,-0.00038956,-0.00025048,15:19:26..715,,,,
15:19:26..811,3.77001621,-0.008392,-0.00005007,0.00022822,0.00047695,-0.00069539,0.00052736,-0.00004663,-0.00038955,-0.00025064,15:19:26..809,,,,
15:19:26..842,3.78035919,-0.008348,-0.00005142,0.0002262,0.00047569,-0.00069619,0.00052766,-0.00004356,-0.00038865,-0.00025907,15:19:26..852,,,,
15:19:27..099,3.65107194,-0.008348,-0.00005151,0.00022645,0.00047587,-0.00069601,0.00052821,-0.00004322,-0.00038868,-0.00025918,15:19:27..097,,,,
15:19:27..132,3.77001621,-0.008275,-0.00005183,0.00022517,0.00047444,-0.00069768,0.00052694,-0.00004317,-0.00038769,-0.0002614,15:19:27..097,,,,
15:19:27..237,3.73898727,-0.008275,-0.00005231,0.0002254,0.00047416,-0.00069816,0.00052677,-0.00004358,-0.000388,-0.00026227,15:19:27..268,,,,
15:19:27..277,3.70278684,-0.008275,-0.00005232,0.00022517,0.0004743,-0.00069807,0.00052647,-0.00004356,-0.00038762,-0.0002619,15:19:27..268,,,,
15:19:27..310,3.80621664,-0.00818,-0.00005218,0.00022498,0.00047439,-0.00069764,0.00052694,-0.00004418,-0.00038849,-0.00026251,15:19:27..314,,,,
15:19:27..451,3.90964644,-0.00818,-0.00005196,0.00022507,0.00047411,-0.00069807,0.00052687,-0.00004413,-0.00038834,-0.00026236,15:19:27..448,,,,
15:19:27..482,3.68210088,-0.008075,-0.00005187,0.0002256,0.00047428,-0.0006973,0.00052798,-0.00004361,-0.00038819,-0.00026445,15:19:27..527,,,,
15:19:27..604,3.71830131,-0.008075,-0.00005211,0.00022531,0.00047432,-0.00069796,0.00052804,-0.00004416,-0.00038867,-0.00026448,15:19:27..602,,,,
15:19:27..637,3.69244386,-0.007978,-0.00005163,0.00022638,0.00047463,-0.00069606,0.00052878,-0.00004513,-0.0003903,-0.00026454,15:19:27..646,,,,
15:19:27..790,3.69761535,-0.007978,-0.00005174,0.00022619,0.00047438,-0.00069648,0.00052893,-0.00004504,-0.00039021,-0.00026439,15:19:27..788,,,,
15:19:27..822,3.92516091,-0.007933,-0.00005226,0.00022529,0.00047572,-0.00069835,0.00052319,-0.00004356,-0.00038681,-0.00026105,15:19:27..788,,,,
15:19:27..900,3.71830131,-0.007933,-0.00005204,0.00022539,0.00047582,-0.00069793,0.00052341,-0.00004384,-0.00038704,-0.00026065,15:19:27..940,,,,
15:19:27..969,3.9303324,-0.007933,-0.00005221,0.00022541,0.00047555,-0.000698,0.00052346,-0.00004359,-0.00038651,-0.0002604,15:19:27..940,,,,
15:19:28..002,3.72864429,-0.007967,-0.00005121,0.00022614,0.00047631,-0.0006971,0.00052366,-0.00004547,-0.00038816,-0.00026078,15:19:27..973,,,,
15:19:28..105,3.96136134,-0.007967,-0.00005126,0.00022594,0.00047635,-0.00069715,0.00052373,-0.00004538,-0.00038851,-0.00026043,15:19:28..146,,,,
15:19:28..153,3.97170432,-0.007967,-0.00005102,0.00022622,0.00047591,-0.00069678,0.0005239,-0.00004522,-0.00038829,-0.00026037,15:19:28..146,,,,
15:19:28..186,3.61487151,-0.007896,-0.00005213,0.00022458,0.00047368,-0.00070197,0.00051765,-0.00004445,-0.00038748,-0.00026249,15:19:28..190,,,,
15:19:28..321,3.7751877,-0.007896,-0.00005193,0.00022502,0.00047386,-0.00070213,0.00051762,-0.0000446,-0.00038793,-0.00026162,15:19:28..319,,,,
15:19:28..354,3.68727237,-0.007902,-0.00005252,0.00022539,0.00047358,-0.00069786,0.0005283,-0.0000435,-0.00038823,-0.00026362,15:19:28..362,,,,
15:19:28..484,3.75967323,-0.007902,-0.00005291,0.00022564,0.0004738,-0.00069819,0.00052874,-0.00004414,-0.00038784,-0.00026321,15:19:28..482,,,,
15:19:28..515,3.84241707,-0.007902,-0.00005076,0.00022618,0.00047544,-0.00069707,0.00052787,-0.00004605,-0.00038952,-0.00026023,15:19:28..482,,,,
15:19:28..549,3.72864429,-0.008112,-0.00005102,0.00022653,0.00047533,-0.00069615,0.00052817,-0.00004558,-0.00039013,-0.0002617,15:19:28..637,,,,
15:19:28..838,3.71312982,-0.008112,-0.00005095,0.00022664,0.00047531,-0.00069587,0.0005287,-0.00004524,-0.00039007,-0.00026137,15:19:28..637,,,,
15:19:28..871,3.74415876,-0.008206,-0.00005123,0.00022578,0.00047478,-0.00069681,0.00052491,-0.00004562,-0.00038811,-0.00026121,15:19:28..877,,,,
15:19:29..224,3.78553068,-0.008206,-0.00005119,0.00022547,0.00047457,-0.00069726,0.00052427,-0.00004562,-0.00038782,-0.00026123,15:19:29..375,,,,
15:19:29..399,3.7234728,-0.008206,-0.00005192,0.00022537,0.00047444,-0.00069709,0.00052449,-0.00004555,-0.00038814,-0.0002612,15:19:29..375,,,,
15:19:29..432,3.68727237,-0.007934,-0.00005163,0.00022577,0.00047557,-0.00069547,0.00052173,-0.00004506,-0.0003861,-0.00026039,15:19:29..409,,,,
15:19:29..748,3.68210088,-0.007768,-0.00005181,0.00022533,0.00047531,-0.000696,0.00052111,-0.00004493,-0.00038657,-0.00026062,15:19:29..989,,,,
15:19:30..096,3.7751877,-0.007768,-0.00005152,0.00022558,0.00047491,-0.00069587,0.00052181,-0.00004491,-0.00038644,-0.00026033,15:19:29..989,,,,
15:19:30..129,3.71312982,-0.007812,-0.0000522,0.00022445,0.00047354,-0.00070131,0.00051768,-0.00004258,-0.00038491,-0.00026076,15:19:30..103,,,,
15:19:30..380,3.66658641,-0.007909,-0.00005254,0.00022468,0.00047353,-0.00070154,0.00051767,-0.00004279,-0.00038499,-0.00026058,15:19:30..501,,,,
15:19:30..686,3.78553068,-0.007909,-0.00005242,0.0002249,0.00047393,-0.0007011,0.00051782,-0.00004267,-0.00038522,-0.00026061,15:19:30..686,,,,
