Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
15:34:17..309,3.47006979,-0.001627,-0.00006134,0.00021619,0.00046057,-0.00068157,0.00055937,-0.00005426,-0.00042509,-0.00035552,15:34:17..329,,,,
15:34:17..474,3.62521449,-0.001627,-0.00006143,0.00021604,0.00046063,-0.00068167,0.00055916,-0.00005456,-0.00042475,-0.00035564,15:34:17..474,,,,
15:34:17..508,3.54764214,-0.001627,-0.00006016,0.0002174,0.00046072,-0.00068885,0.0005524,-0.00005383,-0.00042583,-0.0003642,15:34:17..474,,,,
15:34:17..541,3.59418555,-0.001711,-0.00006018,0.00021661,0.00045954,-0.00069165,0.00054355,-0.00005375,-0.00042617,-0.00038043,15:34:17..519,,,,
15:34:17..633,3.61487151,-0.001711,-0.00006026,0.00021681,0.00045953,-0.0006919,0.00054311,-0.00005335,-0.00042679,-0.0003813,15:34:17..561,,,,
15:34:17..665,3.52178469,-0.001764,-0.00006062,0.00021648,0.00045966,-0.00069583,0.00054518,-0.00005187,-0.00042503,-0.00036714,15:34:17..639,,,,
15:34:17..739,3.64072896,-0.001764,-0.00006083,0.00021669,0.00045936,-0.00069588,0.00054504,-0.00005259,-0.00042527,-0.00036718,15:34:17..768,,,,
15:34:17..800,3.62521449,-0.001764,-0.00006082,0.00021687,0.00045967,-0.00069557,0.00054505,-0.000052,-0.00042492,-0.00036739,15:34:17..768,,,,
15:34:17..833,3.64072896,-0.001898,-0.00005863,0.00021819,0.00046112,-0.00068911,0.0005586,-0.00005255,-0.00042463,-0.00034775,15:34:17..838,,,,
15:34:17..915,3.57867108,-0.001898,-0.00005855,0.00021816,0.00046121,-0.00068904,0.00055835,-0.00005251,-0.00042441,-0.00034728,15:34:17..933,,,,
15:34:17..946,3.70278684,-0.001942,-0.00005941,0.00021791,0.00046171,-0.00069059,0.00055463,-0.00005308,-0.00042518,-0.00034755,15:34:17..933,,,,
15:34:18..017,3.48558426,-0.001987,-0.00005896,0.0002179,0.00046189,-0.00069091,0.00055464,-0.00005308,-0.00042527,-0.00034795,15:34:18..057,,,,
15:34:18..071,3.62521449,-0.001987,-0.00005921,0.00021793,0.00046166,-0.00069044,0.0005548,-0.00005311,-0.00042494,-0.00034834,15:34:18..057,,,,
15:34:18..107,3.61487151,-0.002243,-0.0000591,0.0002179,0.00046112,-0.00068975,0.00054856,-0.00005323,-0.00042798,-0.00036284,15:34:18..144,,,,
15:34:18..250,3.59935704,-0.002243,-0.00005895,0.00021753,0.00046126,-0.00068941,0.0005485,-0.00005298,-0.00042808,-0.00036281,15:34:18..250,,,,
15:34:18..284,3.56315661,-0.002243,-0.00005884,0.00021855,0.00046294,-0.00068524,0.00055601,-0.00005332,-0.00042647,-0.0003453,15:34:18..250,,,,
15:34:18..318,3.62521449,-0.002327,-0.0000587,0.00021857,0.00046248,-0.00068536,0.00055512,-0.00005315,-0.00042711,-0.00034769,15:34:18..455,,,,
15:34:18..505,3.56315661,-0.002327,-0.00005841,0.00021809,0.00046266,-0.0006852,0.00055482,-0.00005364,-0.00042758,-0.00034834,15:34:18..455,,,,
15:34:18..537,3.63038598,-0.002327,-0.0000592,0.00021699,0.00046093,-0.00069176,0.00054877,-0.00005227,-0.00042528,-0.00035135,15:34:18..505,,,,
15:34:18..572,3.54764214,-0.002213,-0.00005928,0.00021734,0.00046057,-0.00069159,0.00054755,-0.0000511,-0.00042563,-0.00036248,15:34:18..602,,,,
15:34:18..658,3.620043,-0.002213,-0.00005966,0.00021687,0.00046091,-0.0006919,0.00054766,-0.00005135,-0.0004257,-0.00036272,15:34:18..602,,,,
15:34:18..690,3.63038598,-0.002152,-0.00005868,0.00021688,0.00046076,-0.00068978,0.00055345,-0.00005418,-0.00042633,-0.00035188,15:34:18..705,,,,
15:34:18..756,3.61487151,-0.002118,-0.00005888,0.00021665,0.00046058,-0.00068899,0.00055355,-0.00005358,-0.00042629,-0.00035178,15:34:18..797,,,,
15:34:18..842,3.69244386,-0.002118,-0.00005857,0.00021652,0.00046073,-0.00068959,0.00055314,-0.00005414,-0.00042648,-0.0003513,15:34:18..841,,,,
15:34:18..873,3.55798512,-0.002118,-0.00005688,0.00021811,0.0004613,-0.00068383,0.00055662,-0.0000547,-0.00042799,-0.00034987,15:34:18..841,,,,
15:34:18..907,3.56315661,-0.002088,-0.00005699,0.00021753,0.00046137,-0.00068258,0.00055795,-0.00005479,-0.0004286,-0.00034862,15:34:18..992,,,,
15:34:19..042,3.63555747,-0.002088,-0.00005702,0.00021811,0.00046148,-0.00068273,0.00055839,-0.00005433,-0.00042832,-0.000348,15:34:18..992,,,,
15:34:19..075,3.58384257,-0.002108,-0.00005692,0.00021849,0.000462,-0.00067734,0.00056336,-0.00005382,-0.00042896,-0.00034437,15:34:19..048,,,,
15:34:19..186,3.59418555,-0.002108,-0.00005692,0.00021786,0.00046213,-0.00067733,0.0005633,-0.00005349,-0.00042911,-0.0003447,15:34:19..225,,,,
15:34:19..247,3.68210088,-0.002108,-0.00005765,0.00021789,0.00046174,-0.00067775,0.00056344,-0.00005414,-0.00042945,-0.00034415,15:34:19..225,,,,
15:34:19..282,3.63555747,-0.002123,-0.00005916,0.00021587,0.0004602,-0.00068685,0.00055838,-0.00005141,-0.00042512,-0.00035247,15:34:19..302,,,,
15:34:19..487,3.70795833,-0.002123,-0.00005885,0.00021623,0.00046063,-0.00068662,0.00055858,-0.00005152,-0.00042504,-0.00035266,15:34:19..485,,,,
15:34:19..520,3.620043,-0.002123,-0.0000573,0.00021965,0.00046188,-0.00068076,0.00055021,-0.00005224,-0.00043032,-0.00037262,15:34:19..485,,,,
15:34:19..554,3.63038598,-0.002016,-0.00005818,0.0002213,0.00046206,-0.00067648,0.00055044,-0.00005196,-0.00043097,-0.00037374,15:34:19..624,,,,
15:34:19..686,3.69761535,-0.002016,-0.00005734,0.00022102,0.00046213,-0.00067633,0.00055063,-0.00005208,-0.00043079,-0.00037376,15:34:19..624,,,,
15:34:19..718,3.57349959,-0.002011,-0.00005867,0.00021703,0.00046096,-0.00068809,0.00055026,-0.00005415,-0.00042757,-0.000362,15:34:19..746,,,,
15:34:19..837,3.64072896,-0.002011,-0.00005845,0.00021695,0.00046081,-0.00068789,0.00055032,-0.00005379,-0.00042726,-0.00036145,15:34:19..836,,,,
15:34:19..868,3.33561105,-0.002055,-0.00005925,0.00021979,0.00046043,-0.00068745,0.00054524,-0.00005024,-0.00042888,-0.00037655,15:34:19..881,,,,
15:34:20..010,3.43904085,-0.002055,-0.00005943,0.00021992,0.00046054,-0.00068703,0.00054491,-0.00004995,-0.00042881,-0.00037669,15:34:20..008,,,,
15:34:20..042,3.80621664,-0.002124,-0.0000604,0.00021894,0.00045996,-0.00069211,0.00054053,-0.00005077,-0.00042807,-0.00038392,15:34:20..008,,,,
15:34:20..144,3.63038598,-0.002124,-0.00005997,0.00021893,0.00046001,-0.00069231,0.00054041,-0.00005101,-0.00042835,-0.00038383,15:34:20..183,,,,
15:34:20..191,3.60452853,-0.002124,-0.00006063,0.00021887,0.0004602,-0.00069175,0.00054112,-0.00005102,-0.00042805,-0.00038475,15:34:20..183,,,,
15:34:20..223,3.54764214,-0.002088,-0.00006069,0.00021701,0.00045851,-0.00069541,0.00054054,-0.00005111,-0.00042762,-0.00038616,15:34:20..227,,,,
15:34:20..313,3.58384257,-0.002088,-0.00006096,0.00021713,0.00045826,-0.00069613,0.00054058,-0.00005097,-0.00042774,-0.00038697,15:34:20..357,,,,
15:34:20..366,3.61487151,-0.002047,-0.00006103,0.0002172,0.00045822,-0.00069571,0.00054057,-0.00005081,-0.00042743,-0.0003869,15:34:20..357,,,,
15:34:20..483,3.66141492,-0.002047,-0.00006059,0.00021693,0.00045831,-0.00069595,0.00054081,-0.00005117,-0.00042765,-0.00038699,15:34:20..484,,,,
15:34:20..516,3.50627022,-0.002047,-0.00006103,0.0002191,0.00045923,-0.00069216,0.00054447,-0.00005027,-0.00042704,-0.0003864,15:34:20..484,,,,
15:34:20..551,3.48041277,-0.002024,-0.00006204,0.00021625,0.00045775,-0.00069572,0.00054504,-0.00005078,-0.00042481,-0.00038487,15:34:20..596,,,,
15:34:20..670,3.6717579,-0.002024,-0.00006212,0.00021649,0.00045774,-0.00069523,0.00054507,-0.00005037,-0.00042499,-0.00038423,15:34:20..680,,,,
15:34:20..712,3.55798512,-0.002024,-0.00006226,0.00021667,0.00045754,-0.00069569,0.00054531,-0.00005076,-0.00042583,-0.00038463,15:34:20..680,,,,
15:34:20..748,3.64590045,-0.002023,-0.00006401,0.00021456,0.0004541,-0.00070076,0.00053814,-0.00004976,-0.00042547,-0.00038915,15:34:20..767,,,,
15:34:20..874,3.57349959,-0.002023,-0.00006426,0.00021489,0.00045446,-0.0007009,0.00053791,-0.00005001,-0.00042537,-0.00038914,15:34:20..873,,,,
15:34:20..908,3.58901406,-0.001924,-0.00006289,0.0002149,0.00045638,-0.00070275,0.00053351,-0.00004983,-0.00042449,-0.00038965,15:34:20..917,,,,
15:34:21..025,3.58384257,-0.001924,-0.00006308,0.0002155,0.00045593,-0.00070248,0.00053377,-0.00004974,-0.00042421,-0.0003896,15:34:21..023,,,,
15:34:21..056,3.55798512,-0.001827,-0.00006376,0.0002133,0.0004542,-0.00070455,0.00053374,-0.00004935,-0.00042399,-0.00038973,15:34:21..068,,,,
15:34:21..165,3.78035919,-0.001827,-0.00006406,0.00021316,0.00045416,-0.00070366,0.00053359,-0.00004929,-0.0004237,-0.0003895,15:34:21..163,,,,
15:34:21..196,3.45455532,-0.001795,-0.0000629,0.0002143,0.0004561,-0.00070359,0.00053186,-0.00005122,-0.00042433,-0.00038823,15:34:21..208,,,,
15:34:21..312,3.60452853,-0.001795,-0.00006325,0.00021403,0.00045611,-0.0007036,0.00053215,-0.00005125,-0.00042426,-0.00038858,15:34:21..311,,,,
15:34:21..345,3.5683281,-0.001741,-0.00006027,0.00022063,0.00045885,-0.00070172,0.00053115,-0.00005162,-0.00042766,-0.00039631,15:34:21..354,,,,
15:34:21..517,3.57349959,-0.001741,-0.00006053,0.00022089,0.00045861,-0.00070194,0.00053109,-0.0000515,-0.00042763,-0.00039689,15:34:21..515,,,,
15:34:21..549,3.60452853,-0.001741,-0.00005823,0.00022287,0.00045922,-0.00069972,0.00053288,-0.00005202,-0.0004285,-0.00039437,15:34:21..515,,,,
15:34:21..582,3.39249744,-0.001698,-0.00006101,0.00021467,0.00045717,-0.00070112,0.00053317,-0.00005066,-0.00042748,-0.00039437,15:34:21..628,,,,
