Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time,,,, 
16:30:49..958,4.90774401,0.009704,-0.00028447,0.00009753,0.00005852,-0.0005147,0.00020173,-0.00035911,-0.00041057,-0.00093584,16:30:50..054,,,,
16:30:50..098,4.89222954,0.009704,-0.00028523,0.00009767,0.00005836,-0.00051444,0.00020135,-0.00035935,-0.00041086,-0.00093571,16:30:50..054,,,,
16:30:50..131,4.81982868,0.009742,-0.00028503,0.00009743,0.00005804,-0.00051476,0.00020099,-0.00035947,-0.00041095,-0.00093534,16:30:50..144,,,,
16:30:50..179,4.84568613,0.009749,-0.00028517,0.00009718,0.00005821,-0.00051479,0.00020145,-0.00035904,-0.00041082,-0.00093544,16:30:50..179,,,,
16:30:50..271,4.93877295,0.009847,-0.00028516,0.00009695,0.000058,-0.00051489,0.00020106,-0.00035915,-0.00041078,-0.00093547,16:30:50..271,,,,
16:30:50..350,4.90257252,0.009847,-0.00028508,0.00009742,0.00005828,-0.00051472,0.00020183,-0.00035914,-0.00041059,-0.00093499,16:30:50..363,,,,
16:30:50..392,4.91808699,0.009847,-0.00028529,0.00009749,0.00005802,-0.00051476,0.00020164,-0.00035939,-0.00041086,-0.00093518,16:30:50..363,,,,
16:30:50..425,4.94394444,0.009875,-0.00028484,0.00009745,0.00005805,-0.00051476,0.00020143,-0.00035882,-0.0004108,-0.00093531,16:30:50..429,,,,
16:30:50..526,4.83534315,0.009875,-0.00028512,0.00009767,0.00005801,-0.00051463,0.00020113,-0.00035919,-0.00041045,-0.00093532,16:30:50..557,,,,
16:30:50..568,4.93877295,0.009875,-0.00028532,0.00009736,0.00005805,-0.0005148,0.00020162,-0.00035954,-0.00041124,-0.00093519,16:30:50..557,,,,
16:30:50..601,4.92325848,0.009711,-0.0002851,0.00009722,0.00005819,-0.00051483,0.00020114,-0.00035929,-0.00041111,-0.0009355,16:30:50..646,,,,
16:30:50..739,4.85085762,0.009711,-0.00028553,0.00009712,0.00005755,-0.00051489,0.00020125,-0.00035925,-0.00041124,-0.00093542,16:30:50..739,,,,
16:30:50..772,4.9129155,0.009559,-0.00028519,0.00009727,0.00005815,-0.00051511,0.00020149,-0.00035892,-0.00041089,-0.00093567,16:30:50..780,,,,
16:30:50..856,4.88188656,0.009559,-0.00028529,0.00009704,0.00005801,-0.00051486,0.00020139,-0.00035901,-0.00041067,-0.0009355,16:30:50..909,,,,
16:30:50..917,4.89740103,0.009559,-0.00028512,0.00009731,0.00005781,-0.00051459,0.00020179,-0.00035893,-0.00041114,-0.00093529,16:30:50..909,,,,
16:30:50..950,4.92842997,0.009483,-0.00028505,0.00009726,0.0000579,-0.00051441,0.0002013,-0.00035894,-0.00041096,-0.0009355,16:30:50..954,,,,
16:30:51..021,4.8612006,0.009483,-0.00028464,0.00009791,0.00005758,-0.00051494,0.00020178,-0.00035906,-0.00041071,-0.00093501,16:30:51..057,,,,
16:30:51..085,4.94911593,0.009483,-0.00028529,0.00009755,0.00005794,-0.00051521,0.00020172,-0.00035934,-0.00041082,-0.00093548,16:30:51..057,,,,
16:30:51..118,4.90257252,0.009442,-0.0002856,0.00009745,0.00005787,-0.00051477,0.00020136,-0.00035916,-0.00041125,-0.00093579,16:30:51..147,,,,
16:30:51..287,4.84051464,0.009442,-0.00028556,0.00009716,0.00005834,-0.00051503,0.00020168,-0.00035927,-0.0004112,-0.0009362,16:30:51..284,,,,
16:30:51..318,4.81465719,0.009442,-0.0002852,0.00009727,0.00005768,-0.00051507,0.00020149,-0.00035888,-0.00041089,-0.00093604,16:30:51..284,,,,
16:30:51..352,4.85085762,0.009477,-0.00028552,0.00009769,0.00005801,-0.00051498,0.00020126,-0.0003594,-0.00041126,-0.00093614,16:30:51..408,,,,
16:30:51..457,4.93877295,0.009477,-0.00028538,0.00009719,0.00005784,-0.00051521,0.00020152,-0.00035942,-0.00041105,-0.00093587,16:30:51..455,,,,
16:30:51..488,4.86637209,0.009469,-0.00028522,0.00009736,0.00005818,-0.0005147,0.00020125,-0.00035902,-0.00041087,-0.00093548,16:30:51..498,,,,
16:30:51..545,4.8612006,0.009484,-0.00028486,0.00009752,0.00005796,-0.00051467,0.00020155,-0.00035917,-0.00041041,-0.00093537,16:30:51..633,,,,
16:30:51..678,4.88705805,0.009463,-0.00028523,0.00009708,0.00005775,-0.00051474,0.00020159,-0.0003589,-0.0004106,-0.0009354,16:30:51..677,,,,
16:30:51..711,4.89740103,0.009463,-0.0002851,0.00009735,0.00005785,-0.00051504,0.00020173,-0.00035911,-0.00041068,-0.00093574,16:30:51..677,,,,
16:30:51..744,4.93360146,0.00928,-0.00028484,0.0000971,0.00005816,-0.00051507,0.00020138,-0.00035958,-0.00041082,-0.00093554,16:30:51..816,,,,
16:30:51..865,4.90774401,0.00928,-0.00028563,0.00009715,0.00005802,-0.00051485,0.00020141,-0.00035953,-0.00041141,-0.00093518,16:30:51..864,,,,
16:30:51..898,4.90774401,0.009243,-0.00028515,0.00009706,0.00005803,-0.0005153,0.0002012,-0.00035977,-0.00041147,-0.0009364,16:30:51..864,,,,
16:30:52..004,4.93360146,0.009243,-0.00028499,0.00009717,0.00005794,-0.00051495,0.00020137,-0.00035925,-0.00041099,-0.00093603,16:30:52..012,,,,
16:30:52..035,4.83534315,0.009201,-0.0002851,0.00009715,0.00005754,-0.00051504,0.00020135,-0.0003592,-0.00041079,-0.00093568,16:30:52..012,,,,
16:30:52..109,4.88705805,0.009201,-0.00028499,0.00009727,0.00005775,-0.00051488,0.00020175,-0.00035939,-0.00041092,-0.00093525,16:30:52..204,,,,
16:30:52..216,4.93877295,0.009201,-0.00028557,0.00009689,0.00005765,-0.00051449,0.0002018,-0.00035941,-0.00041107,-0.00093547,16:30:52..204,,,,
