Intervention,Test,Pressure,FlowRate,Force,PressureDifference,FlowDifference,ForceDifference
Diseased,1,32.99232948,49.33031627,-0.189637703,0,0,0
Diseased,2,36.09966242,51.12713099,-0.416406413,0,0,0
Diseased,3,36.70184328,54.48070153,-0.256314963,0,0,0
Diseased,4,35.16975284,39.47919066,-0.42371117,0,0,0
Diseased,5,36.97315364,55.33559282,-0.194687855,0,0,0
Diseased,6,37.63553248,53.81281404,-0.127595392,0,0,0
Diseased,7,34.01709217,58.15292169,-0.214393302,0,0,0
AS,1,35.45979916,25.41700241,-0.309540162,2.467469681,-23.91331386,-0.11990246
AS,3,39.90003174,45.51574405,-0.331530527,3.198188466,-8.964957485,-0.075215564
AS,4,39.08135247,28.29346572,-0.435157755,3.911599629,-11.18572494,-0.011446586
AS,5,37.91133581,31.06352924,-0.382716924,0.938182165,-24.27206358,-0.188029069
AP,4,40.85495491,34.04596123,-0.610414791,5.685202077,-5.433229432,-0.186703621
AP,5,36.48467317,24.80712998,-0.301296547,-0.488480471,-30.52846284,-0.106608692
AP,6,37.96406151,29.81527024,-0.250002697,0.328529031,-23.9975438,-0.122407305
AP,7,34.80760382,44.1545067,-0.570435596,0.790511655,-13.99841498,-0.356042294
SP,2,36.090175,37.15290797,-0.418122474,-0.009487428,-13.97422301,-0.001716061
SP,3,37.83053835,44.8409253,-0.369482889,1.128695071,-9.639776233,-0.113167926
SP,6,37.30726681,45.14811562,-0.155949424,-0.32826567,-8.664698422,-0.028354032
SP,7,34.39300567,30.52664591,-0.410949188,0.375913506,-27.62627577,-0.196555886
ASAP,1,31.69307421,2.570870187,-0.322827983,-1.299255266,-46.75944609,-0.13319028
ASAP,4,33.35643842,36.83153696,-0.320393225,-1.813314417,-2.647653698,0.103317945
ASAP,5,36.83638391,18.59807706,-0.704466208,-0.136769732,-36.73751576,-0.509778353
SPAS,3,36.87633076,30.91161704,-0.394747562,0.174487481,-23.56908449,-0.1384326
SPAS,6,35.54228313,33.44775902,-0.153891046,-2.093249347,-20.36505502,-0.026295655
SPAS,7,33.74670195,44.56250156,-0.257120679,-0.270390218,-13.59042012,-0.042727377
SPAP,2,37.82528888,35.64140214,-0.535700077,1.725626452,-15.48572884,-0.119293664
SPAP,6,37.89073486,39.78345304,-0.209888683,0.255202389,-14.029361,-0.082293291
SPAP,7,34.29472826,44.47095981,-0.526719116,0.277636091,-13.68196187,-0.312325814
