Intervention,Test,Pressure,FlowRate,Pin,Force,ForceDifference,PressureDifference,FlowDifference
Diseased,1,32.99232948,49.33031627,1,-0.189637703,0,0,0
Diseased,1,32.99232948,49.33031627,2,-0.145861182,0,0,0
Diseased,1,32.99232948,49.33031627,3,0.092645691,0,0,0
Diseased,1,32.99232948,49.33031627,4,-0.043769285,0,0,0
Diseased,1,32.99232948,49.33031627,5,-0.135953232,0,0,0
Diseased,1,32.99232948,49.33031627,6,-0.184386615,0,0,0
Diseased,1,32.99232948,49.33031627,7,0.408305866,0,0,0
Diseased,1,32.99232948,49.33031627,8,0.067912185,0,0,0
Diseased,2,36.09966242,51.12713099,1,-0.416406413,0,0,0
Diseased,2,36.09966242,51.12713099,2,-0.154516904,0,0,0
Diseased,2,36.09966242,51.12713099,3,-0.045244356,0,0,0
Diseased,2,36.09966242,51.12713099,4,-0.065852392,0,0,0
Diseased,2,36.09966242,51.12713099,5,-0.28621681,0,0,0
Diseased,2,36.09966242,51.12713099,6,-0.185147927,0,0,0
Diseased,2,36.09966242,51.12713099,7,-0.132045568,0,0,0
Diseased,2,36.09966242,51.12713099,8,0.11847174,0,0,0
Diseased,3,36.70184328,54.48070153,1,-0.256314963,0,0,0
Diseased,3,36.70184328,54.48070153,2,-0.052067792,0,0,0
Diseased,3,36.70184328,54.48070153,3,0.012039103,0,0,0
Diseased,3,36.70184328,54.48070153,4,-0.050737805,0,0,0
Diseased,3,36.70184328,54.48070153,5,-0.197999869,0,0,0
Diseased,3,36.70184328,54.48070153,6,-0.041256973,0,0,0
Diseased,3,36.70184328,54.48070153,7,0.042786235,0,0,0
Diseased,3,36.70184328,54.48070153,8,-0.093658329,0,0,0
Diseased,4,35.16975284,39.47919066,1,-0.42371117,0,0,0
Diseased,4,35.16975284,39.47919066,2,-0.002880411,0,0,0
Diseased,4,35.16975284,39.47919066,3,0.026772337,0,0,0
Diseased,4,35.16975284,39.47919066,4,-0.127145109,0,0,0
Diseased,4,35.16975284,39.47919066,5,-0.220112332,0,0,0
Diseased,4,35.16975284,39.47919066,6,-0.142610401,0,0,0
Diseased,4,35.16975284,39.47919066,7,0.038319323,0,0,0
Diseased,4,35.16975284,39.47919066,8,-0.469934844,0,0,0
Diseased,5,36.97315364,55.33559282,1,-0.194687855,0,0,0
Diseased,5,36.97315364,55.33559282,2,-0.072564016,0,0,0
Diseased,5,36.97315364,55.33559282,3,-0.035750698,0,0,0
Diseased,5,36.97315364,55.33559282,4,-0.052851161,0,0,0
Diseased,5,36.97315364,55.33559282,5,-0.130568942,0,0,0
Diseased,5,36.97315364,55.33559282,6,-0.129533341,0,0,0
Diseased,5,36.97315364,55.33559282,7,-0.061737299,0,0,0
Diseased,5,36.97315364,55.33559282,8,-0.088999759,0,0,0
Diseased,6,37.63553248,53.81281404,1,-0.127595392,0,0,0
Diseased,6,37.63553248,53.81281404,2,-0.029051916,0,0,0
Diseased,6,37.63553248,53.81281404,3,-0.100694957,0,0,0
Diseased,6,37.63553248,53.81281404,4,-0.087986263,0,0,0
Diseased,6,37.63553248,53.81281404,5,-0.38833033,0,0,0
Diseased,6,37.63553248,53.81281404,6,-0.25472518,0,0,0
Diseased,6,37.63553248,53.81281404,7,-0.021351275,0,0,0
Diseased,6,37.63553248,53.81281404,8,-0.594081459,0,0,0
